Cell cycle,M Phase,G2/M Checkpoint,S
ANAPC15,ANAPC15,,
ATRIP,,ATRIP,ATRIP
AURKA,,,
BARD1,,BARD1,BARD1
BIRC5,BIRC5,,
BLM,,BLM,BLM
BRCA2,,,BRCA2
BRIP1,,BRIP1,BRIP1
BUB1,BUB1,,
CALM1,,,
CCNA2,,,CCNA2
CCNB1,CCNB1,CCNB1,
CCNB2,CCNB2,CCNB2,
CCNE1,,,
CCNE2,,,
CDC20,CDC20,,
CDC25A,,CDC25A,
CDC25C,,CDC25C,
CDC45,,CDC45,
CDC6,,CDC6,
CDC7,,CDC7,
CDCA8,CDCA8,,
CDK1,CDK1,CDK1,
CDK2,,CDK2,CDK2
CDT1,,,
CENPA,CENPA,,
CENPE,CENPE,,
CENPF,CENPF,,
CENPH,CENPH,,
CENPI,CENPI,,
CENPK,CENPK,,
CENPL,CENPL,,
CENPN,CENPN,,
CENPO,CENPO,,
CENPP,CENPP,,
CENPU,CENPU,,
CENPW,,,
CEP152,CEP152,,
CEP78,CEP78,,
CHEK1,,CHEK1,CHEK1
CIT,,,
CLSPN,,CLSPN,CLSPN
DCLRE1B,,,
DDB2,,,
DIAPH3,,,
DIDO1,,,
DNA2,,DNA2,DNA2
DTL,,,
E2F1,,,
E2F2,,,
ESCO2,,,
ESPL1,ESPL1,,
EXO1,,EXO1,EXO1
FANCB,,,
FANCG,,,
FANCL,,,
FEN1,,,FEN1
GEN1,,,GEN1
GINS1,,,
GINS2,,,
GINS3,,,
GINS4,,,
GMNN,,,
GTSE1,,GTSE1,
H2AFV,H2AFV,,
H2AFX,H2AFX,H2AFX,H2AFX
H2AFZ,H2AFZ,,
HAUS8,HAUS8,,
HIST1H2AB,HIST1H2AB,,
HIST1H2AC,HIST1H2AC,,
HIST1H2BD,HIST1H2BD,HIST1H2BD,HIST1H2BD
HIST1H2BK,HIST1H2BK,HIST1H2BK,HIST1H2BK
HIST1H2BL,HIST1H2BL,HIST1H2BL,HIST1H2BL
HIST1H2BM,HIST1H2BM,HIST1H2BM,HIST1H2BM
HIST1H2BN,HIST1H2BN,HIST1H2BN,HIST1H2BN
HIST1H2BO,HIST1H2BO,HIST1H2BO,HIST1H2BO
HIST1H3A,HIST1H3A,,
HIST2H2AC,HIST2H2AC,,
HIST2H2BE,HIST2H2BE,HIST2H2BE,HIST2H2BE
HIST2H3A,HIST2H3A,,
HIST3H2BB,HIST3H2BB,HIST3H2BB,HIST3H2BB
HJURP,,,
HMMR,,,
HSPA2,,,
KIF14,,,
KIF18A,KIF18A,,
KIF20A,KIF20A,,
KNTC1,KNTC1,,
KPNA2,,,KPNA2
LIG1,,,
LMNB1,LMNB1,,
MAD2L1,MAD2L1,,
MASTL,MASTL,,
MCM10,,MCM10,
MCM2,,MCM2,
MCM3,,MCM3,
MCM4,,MCM4,
MCM5,,MCM5,
MCM6,,MCM6,
MCM7,,MCM7,
MCM8,,MCM8,
MIS18BP1,,,
MSH2,,,
MSH6,,,
MYBL2,,,
MYH10,,,
NCAPD2,NCAPD2,,
NCAPD3,NCAPD3,,
NCAPG,NCAPG,,
NCAPG2,NCAPG2,,
NCAPH,NCAPH,,
NDC1,NDC1,,
NDC80,NDC80,,
NEK2,NEK2,,
NUF2,NUF2,,
NUP85,NUP85,,
OIP5,,,
ORC1,,ORC1,
PCNA,,,PCNA
PDS5B,PDS5B,,
PIAS1,,,
PLK1,PLK1,,
PLK4,PLK4,,
POLA1,,,
POLA2,,,
POLH,,,POLH
POLQ,,,POLQ
POLR2A,,,
PRIM1,,,
PRIM2,,,
PRKACA,PRKACA,,
PSMC3IP,,,
RAD51,,,RAD51
RAD51AP1,,,RAD51AP1
RAD51C,,,RAD51C
RBL1,,,
RFC2,,RFC2,RFC2
RFC3,,RFC3,RFC3
RFC5,,RFC5,RFC5
RMI1,,RMI1,RMI1
RMI2,,RMI2,RMI2
RPA3,,RPA3,RPA3
RRM2,,,
SKA1,SKA1,,
SKA2,SKA2,,
SKP2,,,
SMC1A,SMC1A,,
SMC2,SMC2,,
SPC24,SPC24,,
TFDP1,,,
TIPIN,,,TIPIN
TK1,,,
TMPO,TMPO,,
TOP2A,,,
TOPBP1,,TOPBP1,TOPBP1
TPX2,,,
TUBB4A,TUBB4A,,
TYMS,,,
UBE2T,,,
UNG,,,
ZWILCH,ZWILCH,,
ZWINT,ZWINT,,
