"","x"
"1","KCTD10"
"2","MAFG"
"3","VEZF1"
"4","GNA13"
"5","RNF168"
"6","PLEKHB2"
"7","FOXK2"
"8","BNIP2"
"9","OSGIN2"
"10","IST1"
"11","VEZT"
"12","PRXL2C"
"13","RAB5A"
"14","SLK"
"15","PDZD8"
"16","BTBD7"
"17","ATP1A1"
"18","UHRF1BP1"
"19","LIMS1"
"20","RAB11FIP5"
"21","PTBP1"
"22","PLEKHM2"
"23","RHOG"
"24","BICD2"
"25","PI4K2A"
"26","VMP1"
"27","TRIM35"
"28","DOT1L"
"29","GTPBP1"
"30","CREB3"
"31","ATG101"
"32","ENSG00000250899"
"33","PAFAH1B2"
"34","BAZ2A"
"35","IPPK"
"36","TET3"
"37","MARK2"
"38","LRRC8A"
"39","NUFIP2"
"40","F11R"
"41","CD59"
"42","PVR"
"43","POGK"
"44","SOD2"
"45","ANXA5"
"46","CAMSAP1"
"47","URB2"
"48","GRWD1"
"49","PMM2"
"50","PTBP3"
"51","MRTFA"
"52","CCDC6"
"53","RELA"
"54","HIPK1"
"55","SAMD8"
"56","HMOX1"
"57","RNF34"
"58","GBP2"
"59","EHD4"
"60","B3GALNT2"
"61","ARFGAP3"
"62","SGMS2"
"63","PLXNA2"
"64","NUP98"
"65","MAPK1IP1L"
"66","AGO2"
"67","GAN"
"68","CSNK1A1"
"69","GMEB2"
"70","DBF4"
"71","RNMT"
"72","PLOD2"
"73","FKBP14"
"74","MAX"
"75","BRPF1"
"76","ASB6"
"77","KPNA2"
"78","ENTPD7"
"79","CBFB"
"80","STRN4"
"81","SF3B4"
"82","SLC52A2"
"83","LHFPL2"
"84","C1orf198"
"85","BAK1"
"86","HIF1A"
"87","YWHAZ"
"88","ZNRD2"
"89","TPM3"
"90","RHOQ"
"91","PIP5K1A"
"92","MMGT1"
"93","CSRNP2"
"94","MORF4L2"
"95","CYCS"
"96","ARF4"
"97","SELENOS"
"98","SNRNP27"
"99","PPP2CB"
"100","AMD1"
"101","CCNK"
"102","ILF2"
"103","TIMM22"
"104","NUP58"
"105","ADAM17"
"106","RELB"
"107","CCT2"
"108","CNOT9"
"109","TAF1D"
"110","KIF5B"
"111","MAPRE1"
"112","TGS1"
"113","TNFRSF12A"
"114","ADO"
"115","CLIC1"
"116","DAXX"
"117","MTF1"
"118","B4GALT3"
"119","MSN"
"120","RCC2"
"121","RRP1"
"122","ANXA2"
"123","DGKH"
"124","NOP56"
"125","TCERG1"
"126","RRS1"
"127","UBASH3B"
"128","SHB"
"129","UCK2"
"130","EFL1"
"131","MLXIP"
"132","DDX21"
"133","YKT6"
"134","GNL3"
"135","WDR43"
"136","PNO1"
"137","BYSL"
"138","ATP2A2"
"139","TSR1"
"140","DIMT1"
"141","TASOR2"
"142","PARP1"
"143","SEH1L"
"144","CCDC86"
"145","NAA25"
"146","NOC3L"
"147","UTP14A"
"148","SURF6"
"149","PPAT"
"150","KCTD5"
"151","GTPBP4"
"152","ITGAV"
"153","STAM"
"154","GNL2"
"155","PTRH2"
"156","RNASEH1"
"157","WDR36"
"158","LRRC59"
"159","NOP16"
"160","SEC23B"
"161","POLR3C"
"162","TMEM185B"
"163","NOLC1"
"164","BEND3"
"165","RTL6"
"166","SART3"
"167","EIF2B2"
"168","S100A16"
"169","FADD"
"170","MYL12A"
"171","LMNB2"
"172","HNRNPA0"
"173","DAPK3"
"174","SINHCAF"
"175","E2F3"
"176","TRAF2"
"177","YBX3"
"178","TRAPPC14"
"179","PPRC1"
"180","DDX27"
"181","BHLHA15"
"182","MTMR9"
"183","TNFRSF10A"
"184","USP36"
"185","FOXK1"
"186","SMOX"
"187","PPARD"
"188","RRP12"
"189","TUBA1C"
"190","FRMD8"
"191","PLIN3"
