"","category","term","ontology","numDEInCat","adjp"
"591","GO:0001775","cell activation","BP",51,3.12511239016052e-05
"3433","GO:0006955","immune response","BP",62,5.63473348602664e-05
"11526","GO:0045058","T cell selection","BP",9,0.000128623417824887
"10972","GO:0043368","positive T cell selection","BP",8,0.000151216237849489
"3558","GO:0007186","G protein-coupled receptor signaling pathway","BP",31,0.000160776426572087
"6927","GO:0023052","signaling","BP",131,0.000187183773263628
"3530","GO:0007154","cell communication","BP",131,0.000197837804839279
"990","GO:0002376","immune system process","BP",78,0.000258002182599728
"12239","GO:0046649","lymphocyte activation","BP",31,0.000292850292086465
"16566","GO:0072678","T cell migration","BP",9,0.000491031237608369
"13193","GO:0050896","response to stimulus","BP",165,0.000512093528627388
"3541","GO:0007165","signal transduction","BP",121,0.000597164489677546
"11529","GO:0045061","thymic T cell selection","BP",6,0.000725324209067261
"13110","GO:0050776","regulation of immune response","BP",35,0.000725324209067261
"11648","GO:0045321","leukocyte activation","BP",43,0.0010349567958011
"12778","GO:0048584","positive regulation of response to stimulus","BP",62,0.00121314990002737
"11527","GO:0045059","positive thymic T cell selection","BP",5,0.00121314990002737
"1154","GO:0002684","positive regulation of immune system process","BP",36,0.00121314990002737
"3531","GO:0007155","cell adhesion","BP",47,0.00165934822030433
"6877","GO:0022610","biological adhesion","BP",47,0.00184129787309674
"21438","GO:2000404","regulation of T cell migration","BP",7,0.00191021268554721
"13157","GO:0050851","antigen receptor-mediated signaling pathway","BP",17,0.00208753991756275
"13061","GO:0050671","positive regulation of lymphocyte proliferation","BP",11,0.00225783778673656
"3535","GO:0007159","leukocyte cell-cell adhesion","BP",19,0.00233042268657206
"8546","GO:0032946","positive regulation of mononuclear cell proliferation","BP",11,0.00233042268657206
"10344","GO:0042110","T cell activation","BP",22,0.00245155830466705
"21435","GO:2000401","regulation of lymphocyte migration","BP",8,0.00245155830466705
"16564","GO:0072676","lymphocyte migration","BP",10,0.00282910535602025
"13159","GO:0050853","B cell receptor signaling pathway","BP",10,0.00291382063397133
"1152","GO:0002682","regulation of immune system process","BP",46,0.0029858803454367
"17489","GO:0098609","cell-cell adhesion","BP",32,0.00347006067625508
