PC,Cluster,ClusterName,Term,NumDEInCat,FDR
PC1,Cluster 2,Catabolic Process,cellular macromolecule catabolic process,60,0.0018217
PC1,Cluster 2,Catabolic Process,regulation of catabolic process,53,0.005755587
PC1,Cluster 2,Catabolic Process,regulation of cellular catabolic process,46,0.01051534
PC1,Cluster 2,Catabolic Process,cellular catabolic process,93,0.022131385
PC1,Cluster 2,Catabolic Process,macromolecule catabolic process,63,0.03103951
PC1,Cluster 2,Catabolic Process,catabolic process,102,0.04621088
PC1,Cluster 2,Cellular Component Organization,cellular component biogenesis,139,1.85E-06
PC1,Cluster 2,Cellular Component Organization,cellular component organization or biogenesis,239,5.23E-06
PC1,Cluster 2,Cellular Component Organization,organelle organization,155,0.001011917
PC1,Cluster 2,Cellular Component Organization,protein-containing complex assembly,70,0.01051534
PC1,Cluster 2,Cellular Component Organization,protein-containing complex subunit organization,78,0.01851723
PC1,Cluster 2,Cellular Component Organization,cellular component organization,212,0.032195151
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,macromolecule metabolic process,314,5.54E-07
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,cellular macromolecule metabolic process,281,2.18E-06
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,cellular metabolic process,339,5.81E-06
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,gene expression,210,1.04E-05
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,regulation of cellular metabolic process,224,1.40E-05
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,cellular protein metabolic process,194,2.09E-05
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,macromolecule modification,172,2.20E-05
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,positive regulation of cellular metabolic process,137,3.31E-05
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,cellular protein modification process,164,4.32E-05
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,protein modification process,164,4.32E-05
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,positive regulation of nitrogen compound metabolic process,130,4.84E-05
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,nitrogen compound metabolic process,314,5.85E-05
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,positive regulation of cellular process,202,5.93E-05
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,RNA metabolic process,173,6.66E-05
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,positive regulation of metabolic process,149,9.81E-05
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,regulation of metabolic process,238,9.81E-05
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,positive regulation of nucleobase-containing compound metabolic process,86,0.000100378
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,positive regulation of biological process,216,0.000108756
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,positive regulation of macromolecule metabolic process,139,0.000127499
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,organic substance metabolic process,336,0.000251543
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,primary metabolic process,321,0.00044862
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,positive regulation of macromolecule biosynthetic process,83,0.000531482
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,regulation of macromolecule metabolic process,219,0.000742219
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,regulation of primary metabolic process,209,0.000742219
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,protein metabolic process,199,0.000850925
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,cellular nitrogen compound metabolic process,217,0.000939924
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,regulation of nitrogen compound metabolic process,202,0.001137944
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,metabolic process,346,0.001199189
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,nucleic acid metabolic process,182,0.00131974
PC1,Cluster 2,Gene Transcription and RNA Biosynthesis,positive regulation of RNA metabolic process,76,0.001372764
