"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434","V435","V436","V437","V438","V439","V440","V441","V442","V443","V444","V445","V446","V447","V448","V449","V450","V451","V452","V453","V454","V455","V456","V457","V458","V459","V460","V461","V462","V463","V464","V465","V466","V467","V468","V469","V470","V471","V472","V473","V474","V475","V476","V477","V478","V479","V480","V481","V482","V483","V484","V485","V486","V487","V488","V489","V490","V491","V492","V493","V494","V495","V496","V497","V498","V499","V500","V501"
"Catabolic Process","PC1 Cluster 2","CDC27","ABHD5","USP36","PIK3C2A","YBX3","RNF4","RNF126","GNAI3","VMP1","UBE2D1","TNPO1","SEH1L","DNM1L","CYLD","SH3GLB1","XRN2","NUP188","HNRNPM","GTPBP1","MARK2","HMOX1","CSNK2A1","HIF1A","CHMP4B","UBE2I","GSPT1","MTMR9","SMOX","BFAR","SGTA","ERI1","RHEB","PPP2CB","EIF4G2","CSNK1A1","KCTD10","VPS26A","FAF2","NUP98","ATG101","PPP2CA","AGO2","DKC1","ARMC8","SYNCRIP","SMG7","DRAM1","ETF1","NUP153","FOXK2","RAB5A","RNF6","TMF1","TRAF2","MSN","UBE2D2","NUP58","ATP6V1B2","SELENOS","PRXL2C","MAPKAPK2","PPARD","STAM","FOXK1","YME1L1","YWHAZ","DERL1","BAG5","COPS3","ITGB1","DAPK3","CNOT9","PAFAH1B2","ATG13","LGALS8","HNRNPA0","STX12","USP12","SOCS4","UFM1","UBE2Z","NPM1","ANXA2","RNF149","USP7","RNF168","RELA","PSMD12","YTHDF2","UBE2J1","PPAT","KCTD5","RNF34","RNASEH1","FBXO45","RAB1A","BNIP2","LTN1","RNPS1","ADO","TET3","ENTPD7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gene Transcription and RNA Biosynthesis","PC1 Cluster 2","RECQL","PTBP1","CDC27","DBF4","YBX3","RNF4","PGM3","HCCS","BAK1","TNFRSF12A","NSMAF","ABHD5","CBFB","USP36","METTL1","NFKB2","RRP12","PIK3C2A","CCNK","RIF1","DIMT1","SUPT16H","WAPL","DDX20","TAF2","SNW1","UBE2D1","HIF1A","GTPBP1","MARK2","GMEB2","SART3","FTSJ1","SLK","GNAI3","RELB","BAZ2A","TRAF4","DOT1L","RNF126","CD276","DNAJC2","CREB3","SETX","TNPO1","SUPT6H","PUM3","CYLD","MTPN","FKBP1A","PRDM4","SEH1L","NUP98","CSRNP2","OGFOD1","VMP1","SPRING1","SMOX","PPARD","LRRFIP2","XRN2","PVR","E2F3","HNRNPM","TCERG1","DNM1L","HMOX1","NUP188","PLXNA2","NCL","ZBED4","SH3GLB1","CSNK2A1","CEBPZ","NANS","UBE2I","DR1","SAR1A","RHOQ","BRAP","EHD4","MORF4L2","SNU13","TNFRSF10A","AGO2","GSPT1","CD59","MED1","RANGAP1","MAX","SGTA","MED10","RNMT","KHDRBS1","MTMR9","FAM98A","CDK7","IPPK","VEZF1","RNF6","HMGA1","NOP56","EIF3J","FOXK2","GTPBP4","BFAR","PARP1","CHMP4B","TMF1","EIF4G2","GRWD1","TRIM35","DKC1","TNIP1","ERI1","TRAF2","PPRC1","ILF2","PPP2CB","MTA2","KCTD9","SMARCA5","SOD2","EIF3A","VAPA","RAC1","MAPRE1","CNOT9","SF3B4","GNL3","FKBP14","SYNCRIP","PPP2CA","NIPBL","FADD","CCNJ","CSNK1A1","ARF4","TNIP2","BRPF1","SEC24A","BLOC1S6","E2F6","WDR43","DHX15","RELA","PTBP3","MLXIP","NAA15","CCT6A","YES1","ICE1","CORO1C","BHLHA15","KCTD10","MSN","NPM1","FOXK1","EIF2B2","NAA25","CCT5","TET3","NOLC1","ZNFX1","MTF1","ETF1","ADAM17","UBA2","CCT8","MRTFA","BYSL","PPM1G","PLIN3","RHEB","MAFG","NUP153","PRXL2C","TEAD4","SENP5","FUBP1","RAP1B","E2F4","LRRC59","MAPKAPK2","CHUK","SMG7","UFM1","RNF168","TRAF3","RHOG","RPF1","AMD1","FAF2","NAA50","ADPRS","DGKH","IRAK2","RBM17","ARMC8","GTF3C4","CCT2","DDX21","SELENOS","TAF5L","GOLT1B","TAF1D","ABI1","ZNF398","DERL1","EIF2S1","EIF2S2","HNRNPAB","THAP12","RAB1A","UTP4","DDX27","PTPN12","SNRNP27","CALU","POGK","PPAT","LIMS1","ATAD1","DAXX","NUP58","UBE2D2","TFG","UBE2N","SBDS","PLXNA1","YTHDF2","ITGAV","HNRNPA0","USP7","PLEKHM2","RAN","TMEM165","MFHAS1","POLR3C","MBNL1","CKAP4","GNA13","AHCTF1","STAM","VPS26A","SAP30BP","RSL24D1","CNEP1R1","ATG101","WDR36","EFL1","RABGGTB","BTBD10","PRKCI","PMM2","CCNYL1","EIF4E","PRPF4","UCK2","COPS3","TGS1","DEGS1","PTRH2","SAMD8","RAB5A","YWHAZ","FIP1L1","ISG20L2","COPS2","ASB6","CDYL2","CRK","IL15RA","GATAD2A","USP12","DAPK3","YME1L1","PLOD2","PPP2R5E","UBASH3B","CYCS","NIFK","PPP4R1","ARPC5L","ATG13","PAFAH1B2","DRAM1","B4GALT3","UBE2Z","ANKLE2","B3GALNT2","ZUP1","UTP14A","PDXK","SINHCAF","RNF149","SLC7A1","SOCS4","F11R","RRP1","BNIP2","BEND3","HIPK1","ARF1","LGALS8","IST1","ANXA2","KMT5A","SGMS2","MORF4L1","STX12","WDR82","STK17A","DCAF13","BAG5","KPNA2","PSMD12","COPS8","BMS1","MAP3K3","LHFPL2","MIER1","ITGB1","CSNK1G1","SNRPD1","CSGALNACT2","RNF34","LYN","ATP6V1B2","RNPS1","CANT1","CLP1","RBM15B","FBXO45","ATP1A1","TSR1","LTN1","CD2BP2","RNASEH1","PTP4A2","STK40","SERPINB8","MARCHF5","RRS1","MCMBP","KCTD5","UBE2J1","UTP11","TAF13","DCAF12","ZDHHC18","IPO7","PRPF40A","ABCF1","NRAS","GAN","SOCS7","KIF5B","RCC2","AGFG1","SLC52A2","ATP2A2","PIP5K1A","ADO","ENTPD7","CLIC1","PI4K2A","PITPNB","CA13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cellular Component Organization","PC1 Cluster 2","HCCS","RECQL","PIK3C2A","CDC27","BAK1","NSMAF","TNFRSF12A","USP36","RNF4","NOP16","WAPL","DDX20","RRP12","VMP1","SART3","BAZ2A","ATP11B","GNAI3","SAR1A","SLK","CYLD","EXOC5","CD59","UBE2D1","ZW10","SEH1L","CBFB","MARK2","DNM1L","FKBP1A","OGFOD1","SH3GLB1","SNU13","RIF1","MAPRE1","SUPT16H","TNPO1","CHMP4B","EHD4","PVR","RAB10","EIF3J","DIMT1","KCTD9","GRWD1","GSPT1","PLXNA2","MTPN","NFKB2","SETX","EIF3A","XRN2","SEC23IP","NUP98","SNW1","KCTD10","NOP56","HIF1A","SOD2","SEC23B","SEC24A","CSNK1A1","SUPT6H","TFG","VAPA","CAPZA1","ERI1","DR1","BLOC1S6","CAMSAP2","PPP2CB","AGO2","DOT1L","NUP153","SGTA","MAX","MICALL1","EIF2S2","DNAJC2","TRAF2","GTPBP4","RAP1B","ETF1","PRELID3B","CAMSAP1","CORO1C","CSNK2A1","CDK7","CCDC6","RAC1","PAK1IP1","YME1L1","LRRC8A","BYSL","PRDM4","ARPC5L","HMGA1","TGS1","FAF2","RSL24D1","GORASP2","PPP2CA","RAB1A","CEBPZ","ARF1","PARP1","RPF1","MSN","SMARCA5","STX12","AHCTF1","PLEKHM2","NIFK","RHOQ","CCT8","FAM98A","YKT6","ICE1","ATG101","VDAC2","CCT2","ZNFX1","UFM1","SNRPD1","DDX27","NAA50","KCTD5","FADD","EIF4G2","MORF4L2","CD2BP2","CLP1","SBDS","RAB22A","BEND3","RRS1","GTF3C4","NPM1","RAB35","COPS8","DKC1","PPARD","DAXX","RAN","KIF5B","NIP7","UBE2D2","EIF2S1","GNL2","WDR36","TMEM165","IST1","URB2","PLXNA1","TAF5L","STAM","ABI1","EFL1","COPS3","UTP4","PIP5K1A","ISG20L2","TPM3","RAB5A","TMF1","CCT6A","SURF6","ATP6V1B2","ITGB1","PPRC1","MTA2","CCT5","RNF6","SAMD8","UTP14A","PI4K2A","F11R","RRP1","BRPF1","HIPK1","PRKCI","WDR43","GNL3","RNF168","YWHAZ","WDR82","DCAF13","NIPBL","DDX21","PDZD8","BMS1","BAG5","NOLC1","COPS2","CRK","DAPK3","TUBA1C","TSR1","ATAD1","TMEM43","ITGAV","CYCS","LIMS1","RELA","AGFG1","ATP2A2","FBXO45","ATG13","DEGS1","ANKLE2","RHOG","TIMM22","UBE2N","RCC2","BHLHA15","ANXA2","PITPNB","UTP11","E2F4","KMT5A","ADAM17","MORF4L1","BICD2","USP7","TET3","BLOC1S2","PRPF40A","MRTFA","MCMBP","MARCHF5","MIER1","CNEP1R1","ARFGAP3","OSGIN2","GAN","GAPVD1","ARF4","DENND5A","LYN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Protein Transport","PC1 Cluster 2","BAK1","USP36","ABHD5","WAPL","EXOC5","UBE2D1","DDX20","ATP11B","TNPO1","SAR1A","RNF126","RAB10","TM9SF3","NUP188","SEH1L","SH3GLB1","ZW10","CHMP4B","DNM1L","CYLD","SGTA","MICALL1","CD59","MARK2","NUP98","RANGAP1","PLXNA2","E2F3","SEC23B","UFM1","NUP153","MAPRE1","MED1","SEC23IP","FKBP1A","HIF1A","DKC1","SUPT6H","VAPA","UBE2D2","RAN","RP2","STAM","FAF2","RAB35","HMOX1","ATAD1","SEC24A","YKT6","NUP58","SMG7","BYSL","PMM2","STX12","EHD4","SRPRB","BLOC1S6","PRELID3B","CCT6A","TBC1D15","CORO1C","CCT5","VPS26A","GOLT1B","CCT8","RAB22A","NIPBL","PPARD","YWHAZ","NOLC1","CCT2","SELENOS","SRP68","PLIN3","GORASP2","SRP72","PARP1","ATG13","DERL1","TIMM22","RAB1A","TFG","KPNA2","CAPZA1","MSN","RHOQ","KPNA4","MFHAS1","IPO7","ARF1","ARMC8","RAB5A","GBP2","TRAF2","FIP1L1","KHDRBS1","GNL3","EIF4E","PRKCI","PLEKHM2","ICE1","RAB11FIP5","RAC1","ARF4","KIF5B","AGFG1","RAP1B","HMGA1","RRS1","RCC2","BICD2","FAM98A","PIP5K1A","NPM1","CKAP4","MARCHF5","ATP6V1B2","UBE2J1","CNEP1R1","AHCTF1","ZDHHC18","RNPS1","ARFGAP3","GAPVD1","ITGAV","RBM15B","ITGB1","SNRPD1","ILF2","TUBA1C","DEGS1","F11R","ATP2A2","LHFPL2","IST1","LIMS1","TMF1","UBASH3B","PI4K2A","ANXA2","PDXK","DENND5A","ATP1A1","ANXA5","BLOC1S2","LYN","RHOG","PAFAH1B2","CANT1","PDZD8","SLC30A7","PSMD12","PITPNB","NRAS","BHLHA15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","PC1 Cluster 2","SEH1L","RECQL","VMP1","SAR1A","PTBP1","METTL1","PIK3C2A","ABHD5","USP36","RNF4","CDC27","BAK1","MARK2","NOP16","SNU13","GNAI3","NUP188","RAB10","CD59","FTSJ1","RIF1","YBX3","RNF126","WAPL","MAPRE1","BYSL","HMOX1","ZW10","SEC23B","BAZ2A","ATP11B","CHMP4B","PUM3","TRAF4","CBFB","PPP2CB","GTPBP4","UTP4","DNAJC2","SH3GLB1","VAPA","PVR","NUP98","TNPO1","BFAR","RANGAP1","CYLD","PPP2CA","PAK1IP1","SURF6","MICALL1","SEC23IP","NFKB2","DIMT1","TRAF2","UBE2D1","UBE2I","RPF1","DCAF13","NUP153","SART3","SEC24A","SNW1","OGFOD1","TRAF3","DNM1L","EIF2B2","NIP7","BMS1","EIF2S1","SGTA","TFG","RNMT","TMF1","RNF168","SENP5","FKBP1A","SUPT6H","RSL24D1","TSR1","CCNK","BLOC1S6","NUP58","RAB1A","GSPT1","DDX20","AHCTF1","DOT1L","HNRNPM","UBE2N","RRS1","SUPT16H","MAPKAPK2","CORO1C","PRKCI","NOLC1","UBA2","BRAP","RHOQ","NIFK","NPM1","BAG5","ARFGAP3","PRELID3B","TMEM43","MTPN","HIF1A","UFM1","ARF1","ATP2A2","CSNK1A1","PRDM4","AGFG1","DR1","EIF4G2","GNL3","DKC1","DAXX","GORASP2","FAM98A","ANKLE2","RELA","TRIM35","RAN","ANXA2","STX12","LYN","PLEKHM2","ETF1","PITPNB","NAA50","NCL","KCTD9","RAB11FIP5","RAB22A","CAMSAP2","TGS1","PLXNA2","CNEP1R1","MORF4L2","PTBP3","ATAD1","STAM","GRWD1","PARP1","YKT6","KCTD10","MTA2","GTF3C4","MED1","KHDRBS1","CREB3","SETX","RELB","WDR82","CCT6A","EIF3A","DEGS1","GATAD2A","TAF5L","AGO2","RNF6","RAP1B","MSN","PI4K2A","BEND3","MFHAS1","CCDC86","KMT5A","PLOD2","UBE2D2","ITGB1","KIF5B","YWHAZ","TET3","BRPF1","SELENOS","CCT5","RBM15B","MED10","RAC1","CCT8","IST1","ZNFX1","XRN2","SYNCRIP","DERL1","PPARD","BLOC1S2","CAPZA1","CNOT9","ASB6","ICE1","ABI1","LGALS8","EIF4E","UBE2Z","NIPBL","BHLHA15","MORF4L1","RNF149","RAB5A","HMGA1","GTPBP1","COPS3","CCT2","ITGAV","DAPK3","GAPVD1","CLP1","RNF34","ATG13","IRAK2","HNRNPA0","FBXO45","RHOG","CSNK2A1","UBASH3B","UBE2J1","TNIP1","SMARCA5","PSMD12","SOCS4","YTHDF2","USP7","LTN1","MARCHF5","F11R","TIMM22","FOXK1","PDZD8","FOXK2","DCAF12","KCTD5","COPS2","ERI1","FADD","MTMR9","GAN","TNFRSF10A","USP12","SOCS7","KPNA2","SLC52A2","KPNA4","ADAM17","RHEB","GBP2","TNIP2","IPO7","MCMBP","MIER1","COPS8","DDX21","CRK","CSRNP2","SOD2","E2F3","YES1","TCERG1","PLXNA1","PPM1G","POLR3C","SMG7","NRAS","CHUK","MAX","PTPN12","CAMSAP1","CDK7","YME1L1","THAP12","SINHCAF","BNIP2","PTRH2","BTBD10","ATP1A1","ANXA5","NAA15","OSGIN2","VDAC2","SERPINB8","CDYL2","ARF4","E2F6","CD2BP2","LIMS1","RCC2","DENND5A","STK40","ZNF398","MAP3K3","E2F4","RNPS1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNA and Protein Localization to Telomere","PC1 Cluster 2","DKC1","WAPL","CCT6A","ZW10","CCT5","CCT8","NIPBL","CCT2","GNL3","RCC2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNA Export from Nucleus","PC1 Cluster 2","SEH1L","DDX20","TNPO1","BYSL","NUP188","UFM1","SUPT6H","NUP98","RANGAP1","DKC1","NUP153","E2F3","RAN","SMG7","NUP58","KHDRBS1","PARP1","NPM1","MED1","CCT6A","FIP1L1","MFHAS1","EIF4E","CCT5","AGFG1","AHCTF1","NOLC1","CCT8","RNPS1","KPNA2","SNRPD1","RBM15B","BICD2","KPNA4","CCT2","RRS1","IPO7","HMGA1","GBP2","CNEP1R1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NFKB Signaling","PC1 Cluster 2","TRAF4","FKBP1A","HMOX1","VAPA","UBE2I","GOLT1B","RELB","TFG","TRAF2","DDX21","FADD","TRAF3","TNIP2","TNIP1","IRAK2","CANT1","RELA","UBE2N","MIER1","MAP3K3","CHUK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNA Processing","PC1 Cluster 2","PTBP1","METTL1","NOP16","RRP12","YBX3","DDX20","SART3","USP36","SNW1","DIMT1","XRN2","HNRNPM","FTSJ1","TNPO1","NUP98","SNU13","NCL","GTPBP1","PTBP3","NOP56","SETX","KHDRBS1","ERI1","RNMT","DHX15","SUPT6H","RBM17","GTPBP4","SF3B4","BYSL","MBNL1","EIF3J","PAK1IP1","RPF1","RNPS1","PPP2CA","DDX27","GSPT1","RBM15B","CEBPZ","TCERG1","SBDS","SNRNP27","AGO2","EIF3A","DKC1","WDR36","SYNCRIP","UTP4","PRPF4","ISG20L2","PPARD","TGS1","RAN","NIFK","CDK7","MAPKAPK2","NIP7","UTP14A","FIP1L1","YWHAZ","GNL2","RRP1","HNRNPA0","WDR43","SMG7","SNRPD1","NPM1","EIF2S2","URB2","DCAF13","CD2BP2","PSMD12","RSL24D1","DDX21","ETF1","CLP1","YTHDF2","EFL1","BMS1","NOLC1","PRPF40A","TSR1","SURF6","RRS1","MED1","UTP11","RELA","CNOT9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mitochondrial Membrane","PC2 Cluster 1","BCL2L13","MRPL19","CPNE3","MLX","MRPL37","SDHB","MRS2","AFG3L2","NDUFS2","TMBIM6","CLPX","TEX2","GHITM","UQCRFS1","TACO1","MRPL45","ETFA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
