© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
TWEAK Signaling	7.2E00	2.5E-01	NaN	CHUK,CYCS,FADD,NFKB2,RELA,RELB,TNFRSF12A,TRAF2,TRAF3	
mTOR Signaling	6.84E00	9.31E-02	NaN	ATG13,EIF3A,EIF3J,EIF4E,EIF4G2,FKBP1A,HIF1A,HMOX1,NRAS,PIK3C2A,PPP2CA,PPP2CB,PPP2R5E,PRKCI,RAC1,RAP1B,RHEB,RHOG,RHOQ	
Small Cell Lung Cancer Signaling	6.84E00	1.38E-01	NaN	CHUK,CYCS,E2F3,E2F4,E2F6,MAX,NFKB2,PIK3C2A,RELA,RELB,TRAF2,TRAF3,TRAF4	
NF-κB Activation by Viruses	5.96E00	1.41E-01	NaN	CHUK,ITGAV,ITGB1,NFKB2,NRAS,PIK3C2A,PRKCI,RAP1B,RELA,RELB,TRAF2	
Regulation of eIF4 and p70S6K Signaling	5.75E00	9.14E-02	NaN	AGO2,EIF2B2,EIF2S1,EIF2S2,EIF3A,EIF3J,EIF4E,EIF4G2,ITGAV,ITGB1,NRAS,PIK3C2A,PPP2CA,PPP2CB,PPP2R5E,RAP1B	
NGF Signaling	5.72E00	1.11E-01	NaN	CHUK,CREB3,CRK,MAP3K3,NFKB2,NRAS,PIK3C2A,RAC1,RAP1B,RELA,RELB,RHOG,TRAF4	
Lymphotoxin β Receptor Signaling	5.6E00	1.67E-01	NaN	CHUK,CYCS,NFKB2,PIK3C2A,RELA,RELB,TRAF2,TRAF3,TRAF4	
Ceramide Signaling	5.34E00	1.22E-01	NaN	CYCS,NFKB2,NRAS,NSMAF,PIK3C2A,PPP2CA,PPP2CB,PPP2R5E,RAP1B,RELA,RELB	
PI3K/AKT Signaling	5.09E00	8.12E-02	NaN	CHUK,EIF4E,IL15RA,ITGAV,ITGB1,LIMS1,NFKB2,NRAS,PPP2CA,PPP2CB,PPP2R5E,RAP1B,RELA,RELB,RHEB,YWHAZ	
Induction of Apoptosis by HIV1	5.03E00	1.43E-01	NaN	BAK1,CHUK,CYCS,DAXX,FADD,NFKB2,RELA,RELB,TRAF2	
Sumoylation Pathway	4.85E00	1.09E-01	NaN	DAXX,NFKB2,RAC1,RAN,RANGAP1,RHOG,RHOQ,RNF4,SENP5,UBA2,UBE2I	
Molecular Mechanisms of Cancer	4.82E00	5.72E-02	NaN	BAK1,CDK7,CRK,CYCS,DAXX,E2F3,E2F4,E2F6,FADD,GNA13,GNAI3,HIF1A,ITGAV,ITGB1,MAX,NFKB2,NRAS,PIK3C2A,PRKCI,RAC1,RAP1B,RELA,RELB,RHOG,RHOQ	
Chronic Myeloid Leukemia Signaling	4.65E00	1.04E-01	NaN	CHUK,CRK,E2F3,E2F4,E2F6,NFKB2,NRAS,PIK3C2A,RAP1B,RELA,RELB	
RAN Signaling	4.6E00	2.94E-01	NaN	KPNA2,KPNA4,RAN,RANGAP1,TNPO1	
Prostate Cancer Signaling	4.53E00	1.01E-01	NaN	CHUK,CREB3,E2F3,E2F4,E2F6,NFKB2,NRAS,PIK3C2A,RAP1B,RELA,RELB	
Death Receptor Signaling	4.37E00	1.06E-01	NaN	CHUK,CYCS,DAXX,FADD,NFKB2,PARP1,RELA,RELB,TNFRSF10A,TRAF2	
Angiopoietin Signaling	4.36E00	1.18E-01	NaN	CHUK,CRK,NFKB2,NRAS,PIK3C2A,RAP1B,RELA,RELB,TNIP1	
Role of RIG1-like Receptors in Antiviral Innate Immunity	4.34E00	1.59E-01	NaN	CHUK,FADD,NFKB2,RELA,RELB,TRAF2,TRAF3	
Rac Signaling	4.28E00	8.76E-02	NaN	ARPC5L,ITGAV,ITGB1,NFKB2,NRAS,PIK3C2A,PIP5K1A,PRKCI,RAC1,RAP1B,RELA,RELB	
Integrin Signaling	4.28E00	7.32E-02	NaN	ARF1,ARF4,ARPC5L,CRK,ITGAV,ITGB1,LIMS1,MYL12A,MYL12B,NRAS,PIK3C2A,RAC1,RAP1B,RHOG,RHOQ	
IL-8 Signaling	4.23E00	7.25E-02	NaN	CHUK,GNA13,GNAI3,HMOX1,IRAK2,ITGAV,MYL12B,NRAS,PIK3C2A,PRKCI,RAC1,RAP1B,RELA,RHOG,RHOQ	
CXCR4 Signaling	4.13E00	7.93E-02	NaN	CRK,GNA13,GNAI3,LYN,MYL12A,MYL12B,NRAS,PIK3C2A,PRKCI,RAC1,RAP1B,RHOG,RHOQ	
Autophagy	4.13E00	7.11E-02	NaN	ATG101,ATG13,CREB3,DAPK3,DRAM1,GNAI3,GORASP2,HIF1A,NFKB2,PI4K2A,PIK3C2A,PPP2CA,PPP2CB,PPP2R5E,TRAF3	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	4.11E00	7.45E-02	NaN	CHUK,MAP3K3,NFKB2,PIK3C2A,PPP2CA,PPP2CB,PPP2R5E,PRKCI,RAC1,RAP1B,RELA,RELB,RHOG,RHOQ	
Signaling by Rho Family GTPases	4.05E00	6.42E-02	NaN	ARPC5L,GNA13,GNAI3,ITGAV,ITGB1,MSN,MYL12A,MYL12B,NFKB2,PIK3C2A,PIP5K1A,PRKCI,RAC1,RELA,RELB,RHOG,RHOQ	
HER-2 Signaling in Breast Cancer	4.01E00	7.29E-02	NaN	ARF1,ARF4,CHUK,ITGB1,LYN,NFKB2,NRAS,PIK3C2A,PRKCI,RAP1B,RELA,RELB,RHEB,YES1	
PEDF Signaling	4.01E00	1.07E-01	NaN	CHUK,NFKB2,NRAS,PIK3C2A,RAC1,RAP1B,RELA,RELB,SOD2	
CD40 Signaling	4.01E00	1.21E-01	NaN	CHUK,MAPKAPK2,NFKB2,PIK3C2A,RELA,RELB,TRAF2,TRAF3	
PPAR Signaling	4E00	9.62E-02	NaN	CHUK,MED1,NFKB2,NRAS,PPARD,RAP1B,RELA,RELB,SNW1,TRAF2	
ILK Signaling	3.99E00	7.25E-02	NaN	CREB3,HIF1A,ITGB1,LIMS1,NFKB2,PIK3C2A,PPP2CA,PPP2CB,PPP2R5E,RAC1,RELA,RELB,RHOG,RHOQ	
LPS-stimulated MAPK Signaling	3.97E00	1.06E-01	NaN	CHUK,NFKB2,NRAS,PIK3C2A,PRKCI,RAC1,RAP1B,RELA,RELB	
TNFR1 Signaling	3.97E00	1.4E-01	NaN	CHUK,CYCS,FADD,NFKB2,RELA,RELB,TRAF2	
