"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000125740",9.17160648766572,6.12236496216552,73.8458735977077,8.44607807996403e-18,1.54825057283821e-13
"ENSG00000173110",8.30433272625901,9.30952063986143,48.1126435500046,4.02423195341176e-12,3.68840979689955e-08
"ENSG00000175592",5.81232042066139,3.80607503039029,44.7688674335569,2.21720131131577e-11,1.35478390792431e-07
"ENSG00000162772",4.75945760003786,7.81707679393231,42.4679770237341,7.18489870868571e-11,3.29265945572295e-07
"ENSG00000119508",6.69608858325627,2.46042078730822,38.1074475110681,6.69540847071341e-10,2.45467065353295e-06
"ENSG00000087074",3.32244329171846,7.09599922140627,37.3231334660216,1.00090265075115e-09,3.05792441515324e-06
"ENSG00000185022",4.0366699958048,6.50041745233286,31.9539018742208,1.57874936758302e-08,4.13429352245206e-05
"ENSG00000120738",4.41983178435304,7.68796901736636,31.0952668911992,2.4566970461428e-08,5.19521568350636e-05
"ENSG00000151929",3.99468262835008,8.52766019259058,31.0223797274787,2.55070324322499e-08,5.19521568350636e-05
"ENSG00000130522",2.30686083534937,7.89711043391984,30.6102357525075,3.15425282577446e-08,5.78206085492717e-05
"ENSG00000179674",6.32891913598253,1.06841140131759,29.1115985963156,6.83267025495232e-08,0.000105506058461281
"ENSG00000204388",5.08225915028683,9.61211904491483,29.0907122936199,6.90673013766503e-08,0.000105506058461281
"ENSG00000170345",5.01887532632472,7.86233967582537,28.7459916181131,8.25205395640021e-08,0.000109216507118446
"ENSG00000136826",2.16257150568307,4.69657569694287,28.7251752591614,8.34123124574895e-08,0.000109216507118446
"ENSG00000204389",4.3106342540451,10.4713939901864,28.3822521697835,9.95739888679522e-08,0.000121686052662562
"ENSG00000120694",3.6241808809976,9.47955358093319,27.4032404587077,1.65154261558746e-07,0.000178292452464903
"ENSG00000184545",3.58620783071522,3.79310248445759,27.4009876129355,1.65346772783991e-07,0.000178292452464903
"ENSG00000162783",2.42333519104652,5.98027227677967,27.1916458177244,1.84253122284205e-07,0.00018764133247732
"ENSG00000106211",2.79549447609306,9.56467262064898,26.5687254507698,2.54327621969973e-07,0.000233379029976084
"ENSG00000059728",2.60362519510473,5.44664928271126,26.5664472266006,2.54627712591876e-07,0.000233379029976084
"ENSG00000127528",2.75247213443421,4.70900842638693,26.2593373263348,2.98508048652243e-07,0.000236011772133051
"ENSG00000140403",3.50671007103856,5.14888170638776,26.2183037872812,3.04918633132109e-07,0.000236011772133051
"ENSG00000134531",3.0083770731324,5.52654626542579,26.2035819186302,3.07252084848819e-07,0.000236011772133051
"ENSG00000177606",3.3840138846115,8.96422818984986,26.1926262596006,3.09000192635056e-07,0.000236011772133051
"ENSG00000173846",2.71409512289151,3.92842880956217,25.3886319693313,4.68671851887483e-07,0.000343648948677978
"ENSG00000109321",5.92440422033204,1.02475740643024,25.1080061993112,5.42073302655084e-07,0.000382182527345014
"ENSG00000278493",6.56710962008176,-0.635115916657055,24.2383439860653,8.51206561884437e-07,0.000577906203181616
"ENSG00000067082",3.11457741670845,8.37684912207926,24.1468561000211,8.92617705458521e-07,0.000584377684241434
"ENSG00000112773",2.01777236307012,6.34846476763271,23.5333575454045,1.22766729073934e-06,0.000770737717348955
"ENSG00000115009",5.30825177161781,6.33618815060105,23.4812548748809,1.26136771155249e-06,0.000770737717348955
"ENSG00000227300",9.65247865883549,1.11769562497147,23.1114710712869,1.52875937631605e-06,0.000903989939588692
"ENSG00000160888",1.9776216358485,5.19300547179896,22.7432101724792,1.85157192299066e-06,0.00106066140376068
"ENSG00000149257",2.85603085625872,8.28165646051578,22.2857745232138,2.34940634674964e-06,0.00130505962855357
"ENSG00000132002",3.64449146086405,10.3516968191477,21.9964656346871,2.73153007316027e-06,0.00147269640503238
"ENSG00000162616",3.43170532583496,7.4286552630842,21.5819013657543,3.39036076242169e-06,0.00177567723245577
"ENSG00000136634",3.98205223130953,1.26350436425195,21.0849598145984,4.39363125731521e-06,0.00221181262530875
"ENSG00000267270",2.84243524277201,4.11967476492219,21.0543386256264,4.46440822303332e-06,0.00221181262530875
"ENSG00000123358",4.3261962707066,4.73106311339101,20.8788604820058,4.89264442871208e-06,0.00236018592165055
"ENSG00000122877",3.67652178713668,1.39792378667025,20.663721024874,5.47434688254244e-06,0.00257308340266373
"ENSG00000112149",2.87350728668426,4.00198704377397,20.5143073112108,5.91871883798349e-06,0.00271240087547688
"ENSG00000266709",3.45787956213522,2.17888367625722,20.3089169037206,6.58927817167416e-06,0.00294605019914534
"ENSG00000114529",3.32471465620252,0.976763987422615,19.8661785986457,8.30568149666475e-06,0.00357882141939308
"ENSG00000169991",1.71900383495667,4.16546016307093,19.8457239312082,8.39503142403045e-06,0.00357882141939308
"ENSG00000144136",2.49459798740934,6.64158851502161,19.0968894527054,1.24247223182244e-05,0.00504240425248908
"ENSG00000267519",2.35942985740362,1.28575654070531,19.0951400790339,1.24361162699932e-05,0.00504240425248908
"ENSG00000108342",7.09991420972538,4.22746098089512,19.0620746585231,1.26534611103867e-05,0.00504240425248908
"ENSG00000128016",1.69069478652872,7.05136151293971,18.7149017159701,1.51791604966047e-05,0.00592019555453747
"ENSG00000188290",2.3047070153176,1.81067956677253,18.5686917096238,1.63890242607615e-05,0.00625890007758374
"ENSG00000106366",4.14846504864052,9.11959351176533,18.3585419107399,1.82996708934681e-05,0.00684594422751355
"ENSG00000286334",3.63516693066832,-0.140170622626197,18.265914104839,1.92114181430665e-05,0.00704329011961102
"ENSG00000160271",2.3336808824689,2.61281451771699,18.1822858914556,2.00737257203104e-05,0.00719410435290184
"ENSG00000225217",5.08929327151548,4.60201658134437,18.1508629158993,2.0407693325563e-05,0.00719410435290184
"ENSG00000267607",6.20100354066083,0.122826882821945,17.8510532210911,2.38887014421644e-05,0.00826233558747767
"ENSG00000178381",2.51095229803597,6.84700270676205,17.6947848575187,2.59336640086264e-05,0.00880351842485428
"ENSG00000128342",4.11422173217516,4.50159987880974,17.4286083176009,2.98302361981443e-05,0.00989851368562882
"ENSG00000229331",4.16207753300597,-1.77490457261871,17.3751814852891,3.0680614715975e-05,0.00989851368562882
"ENSG00000175505",2.65064086838438,1.89228092967031,17.3690782183907,3.07792962784814e-05,0.00989851368562882
"ENSG00000166483",2.06794661027637,5.19878645196799,17.215105316696,3.33771895318895e-05,0.0105489182984322
"ENSG00000099985",4.31032443252953,-0.0836726246994241,17.1310875463784,3.48865827081614e-05,0.0108390838580221
"ENSG00000080824",1.97057009006533,11.3645859022983,17.0789410910751,3.58577193423791e-05,0.0109551308877525
"ENSG00000173334",2.43285245411228,7.28080128458883,16.9380383839129,3.86198944774911e-05,0.0116055948469982
"ENSG00000163660",1.20735481343616,6.03199207826325,16.8533608043881,4.03817588702399e-05,0.0119393229330705
"ENSG00000013588",3.3255575710864,1.95305183621002,16.6730515339312,4.44073697581105e-05,0.0127099085156545
"ENSG00000170684",2.52883406748352,-0.981776898901549,16.6452450702284,4.50631303207071e-05,0.0127099085156545
"ENSG00000102554",2.83966548173617,3.80780027787939,16.6450342602088,4.50681388640852e-05,0.0127099085156545
"ENSG00000197019",1.63163833894457,4.6051782147626,16.4901354605797,4.89038509626495e-05,0.0135826741211565
"ENSG00000163659",2.23426015128734,6.41352943898752,16.445434551063,5.00706202533847e-05,0.013699172236788
"ENSG00000176170",2.01763930402123,3.43007435778023,15.987637076102,6.37574782204946e-05,0.0168602248422868
"ENSG00000160229",-3.97861275417421,-1.95154531975938,15.9573780099401,6.47847794343142e-05,0.0168602248422868
"ENSG00000136997",2.24518498223081,5.8974453678394,15.9047718450011,6.66105636206188e-05,0.0168602248422868
"ENSG00000178878",2.31988430467826,3.80497858564567,15.8999977142654,6.67787978574983e-05,0.0168602248422868
"ENSG00000179388",3.24742016199153,0.590256577090244,15.8932419390685,6.70175932596966e-05,0.0168602248422868
"ENSG00000169429",3.65713874210066,7.70518537242753,15.889706691264,6.71428952859602e-05,0.0168602248422868
"ENSG00000163874",2.52063471724815,5.5598641158383,15.7731647917628,7.14081930454837e-05,0.0174746055066252
"ENSG00000158050",3.08067168713824,2.41469032463655,15.7708366371696,7.14961220335437e-05,0.0174746055066252
"ENSG00000152661",2.24693570987549,4.11016522201682,15.4451148689479,8.49362044289799e-05,0.0204817579804629
"ENSG00000181652",3.3666993362927,-0.830933673868769,15.420837964436,8.60343333421876e-05,0.0204817579804629
"ENSG00000123342",2.40713589013916,3.13727835435169,15.3089415184786,9.12834104625891e-05,0.0214527717588426
"ENSG00000059804",2.03264342166183,4.91164463014314,15.2468527290651,9.43338203930281e-05,0.0218890286281595
"ENSG00000124882",5.43578557335633,0.3394663276512,15.0921595675335,0.000102387660213258,0.0234608524921155
"ENSG00000176597",2.46542350472429,2.57438754468617,14.9814482787421,0.000108573337772639,0.0245710846260524
"ENSG00000142627",2.32477634924133,6.22152445498607,14.725527315882,0.000124351193522361,0.0270085316125089
"ENSG00000235947",5.38491061526398,-1.77120892857584,14.720505732016,0.000124682851234741,0.0270085316125089
"ENSG00000181631",-2.04414013436498,1.80356780699068,14.7176127518042,0.000124874326395128,0.0270085316125089
"ENSG00000137801",1.95442108277537,6.61242692433289,14.6909496994065,0.000126653046572956,0.0270085316125089
"ENSG00000011422",2.37901182348779,3.67221711988186,14.6900918932567,0.000126710693288733,0.0270085316125089
"ENSG00000118503",2.27235726866764,7.06437457964585,14.6269471508855,0.000131027532637512,0.0276076517330831
"ENSG00000102760",2.44918687341887,2.17486548984356,14.4079742623694,0.000147177751304621,0.030200447988663
"ENSG00000169914",1.30522481828884,2.21824955013814,14.3879581286162,0.000148750513789152,0.030200447988663
"ENSG00000128594",-1.60198407470987,1.6369433227925,14.3771709283534,0.000149605121965836,0.030200447988663
"ENSG00000151014",2.40362674980021,4.61305870004448,14.3731728273436,0.000149923122959376,0.030200447988663
"ENSG00000113070",2.5294963353777,3.78957831497277,14.3318728022533,0.000153248144264755,0.0305346927447524
"ENSG00000249138",3.27759422030745,-0.550569275653551,14.1928697477605,0.000164994547926433,0.0325216672907466
"ENSG00000197753",2.02634641966438,-1.00315420373168,13.9307753107844,0.000189667477490774,0.0364133754761378
"ENSG00000143384",1.63395033594621,9.3643394239967,13.9229094271997,0.000190462823633508,0.0364133754761378
"ENSG00000143878",1.61073316285069,9.72671832605256,13.9205904306249,0.00019069794586816,0.0364133754761378
"ENSG00000131459",2.45162958542764,2.49773337793217,13.8124370025875,0.000201994679547989,0.0381728295958163
"ENSG00000158859",3.01900316427152,6.49102153550375,13.7689671796524,0.000206722944033415,0.0386677376232299
"ENSG00000110680",4.82864008579548,4.15498682340656,13.7226067974511,0.000211888580527838,0.0392336320167252
"ENSG00000142871",2.6567507493422,6.27797291419592,13.6823387757345,0.0002164808276374,0.0394315876597611
