"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000125740",9.01975104172757,6.12236496216552,72.8748994066303,1.38133843110521e-17,2.53213147805896e-13
"ENSG00000136826",3.46923441484109,4.69657569694287,66.9950944349934,2.72183584579763e-16,2.49469864446582e-12
"ENSG00000087074",4.6234313598523,7.09599922140627,64.0648147634975,1.20392568651573e-15,7.35638725317329e-12
"ENSG00000162783",3.59377728198201,5.98027227677967,54.2460294595653,1.76894223219033e-13,8.10662001457026e-10
"ENSG00000267519",3.94984493184323,1.28575654070531,49.9906650086883,1.54479160355215e-12,5.66351497694291e-09
"ENSG00000140403",5.06103129298218,5.14888170638776,47.3705254085397,5.87596086748865e-12,1.79520397769891e-08
"ENSG00000128016",2.731604175839,7.05136151293971,45.3217882180988,1.67178892171756e-11,4.37793753200066e-08
"ENSG00000173110",7.6277303875495,9.30952063986143,43.0729467502392,5.27364473251745e-11,1.20838976989722e-07
"ENSG00000162772",4.67410970974593,7.81707679393231,41.3142779641929,1.29618651982903e-10,2.55950566073675e-07
"ENSG00000175592",5.40679424979989,3.80607503039029,41.1688917135229,1.39627170407329e-10,2.55950566073675e-07
"ENSG00000059804",3.46948472452297,4.91164463014314,39.8132672600404,2.7944046011807e-10,4.65674824947668e-07
"ENSG00000113070",4.55362175209727,3.78957831497277,39.1853451201617,3.85422340250508e-10,5.87714517845458e-07
"ENSG00000185022",4.57465614538708,6.50041745233286,39.0288808891765,4.17582055287629e-10,5.87714517845458e-07
"ENSG00000130522",2.63305560156912,7.89711043391984,38.887886450817,4.48857304557112e-10,5.87714517845458e-07
"ENSG00000169429",6.49273483329391,7.70518537242753,38.4458328617395,5.62946566265609e-10,6.87958233747659e-07
"ENSG00000163874",4.21983940918965,5.5598641158383,37.9233309171236,7.35800342679104e-10,8.42997255103166e-07
"ENSG00000148926",2.65134322585019,5.59389005754637,35.3677022688022,2.72976186592106e-09,2.94348616259994e-06
"ENSG00000170345",5.71287431711914,7.86233967582537,34.870807012786,3.52324131780073e-09,3.58802981092251e-06
"ENSG00000124216",3.16437336432936,2.19233171759542,34.5185174711341,4.22215470315687e-09,4.07349041387203e-06
"ENSG00000109321",6.42242665317877,1.02475740643024,34.3203489058286,4.6746837239291e-09,4.28458136716722e-06
"ENSG00000119508",5.79151853798484,2.46042078730822,33.2467487731857,8.11753606212497e-09,7.08583588356252e-06
"ENSG00000118503",3.61508634566469,7.06437457964585,33.0760226202528,8.86249191803815e-09,7.38446997043442e-06
"ENSG00000179388",4.71212627080769,0.590256577090244,32.8370684817246,1.00215508246644e-08,7.98717600725755e-06
"ENSG00000141682",3.84459750140129,2.27805176034629,32.1785126505626,1.40637545991928e-08,1.07417785649085e-05
"ENSG00000120738",4.47256173467061,7.68796901736636,31.6966871847709,1.80229370100939e-08,1.32151383332813e-05
