"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000176170",5.8742115053331,3.43007435778023,98.2582320883223,3.67230587312126e-23,4.0281231725166e-19
"ENSG00000107249",2.73875136566488,3.5826845443831,97.902549209752,4.39487553599542e-23,4.0281231725166e-19
"ENSG00000026751",5.34867120915522,3.57199776794277,69.8366870288214,6.44234448382634e-17,3.93648722443402e-13
"ENSG00000122861",5.38732243716783,2.86116026361773,67.9075136955624,1.71346980988538e-16,7.85240377125221e-13
"ENSG00000117090",7.77352263432719,3.13298760461091,66.5208297448296,3.4621571640641e-16,1.26929605948918e-12
"ENSG00000141458",2.52754194759053,5.27031686551612,65.8812476037131,4.78926793260365e-16,1.46320117454263e-12
"ENSG00000058085",7.01865913423465,3.7791759047268,64.14144232453,1.15799897316784e-15,3.03246845387709e-12
"ENSG00000175592",7.14379143869317,3.80607503039029,61.8217901435875,3.7599050039012e-15,8.61535232831411e-12
"ENSG00000163638",5.79576191697155,5.49324533785516,59.8308268435509,1.03371488849848e-14,2.10544751345173e-11
"ENSG00000153317",2.16603262122925,4.58556234885831,58.4743929643812,2.05954175595762e-14,3.77534599284592e-11
"ENSG00000110218",2.88284420733964,5.33938947358432,57.3641355746983,3.62151142822645e-14,6.03508418098355e-11
"ENSG00000102802",6.25012586055919,1.77933348266111,57.0533260020255,4.24153450212878e-14,6.47929741321022e-11
"ENSG00000010818",3.64691779008823,5.25580217507291,56.0521675434449,7.05733589178303e-14,9.95138647940575e-11
"ENSG00000184014",2.4676083892553,5.67855982476244,55.3955219381594,9.85607285659027e-14,1.29051193952969e-10
"ENSG00000262001",4.33264413607775,0.463375742196226,54.910407301574,1.26151233660531e-13,1.54165217615413e-10
"ENSG00000169429",8.40418216550832,7.70518537242753,54.5741444678394,1.4969218118932e-13,1.71500460836339e-10
"ENSG00000163661",7.1546126911946,2.82564652940945,54.4535901595151,1.59162653705733e-13,1.71624153239988e-10
"ENSG00000175040",4.11541642769126,3.03311309091168,53.824966067486,2.19169939512648e-13,2.23200231178131e-10
"ENSG00000168394",2.28287404015038,5.2034395142552,53.4957698996478,2.59150242185197e-13,2.50025425762992e-10
"ENSG00000169908",5.65761617738288,8.34570355545544,52.7851770953418,3.72098904019805e-13,3.41047250479352e-10
"ENSG00000176915",1.92864544836876,5.42940697603212,52.6751169899436,3.93545653995966e-13,3.42140438326506e-10
"ENSG00000275302",5.89139342522688,4.24681218982507,52.5917005668282,4.1062078681922e-13,3.42140438326506e-10
"ENSG00000077150",2.86651713780116,5.54362290856,52.3382047682352,4.67196304147796e-13,3.72355454405794e-10
"ENSG00000071054",2.39980802726342,7.06648750143899,52.1977981756216,5.01823713387051e-13,3.83288770420752e-10
"ENSG00000131459",5.3623420837197,2.49773337793217,51.7585554421269,6.27627420165351e-13,4.48659266292773e-10
"ENSG00000164164",2.48543209064829,6.17015557986788,51.7314213969905,6.36361405466811e-13,4.48659266292773e-10
"ENSG00000034152",2.64126155729877,6.7484581751213,50.8197946230671,1.01247455574256e-12,6.85333751437354e-10
"ENSG00000134531",4.48353136906691,5.52654626542579,50.7543092910474,1.04682477989449e-12,6.85333751437354e-10
"ENSG00000198805",3.54634101341206,6.4170618888948,50.5548783265876,1.15878794725676e-12,7.32473857281509e-10
"ENSG00000124201",1.8645296255253,5.51599980852767,49.7693766863911,1.72921966321242e-12,1.05661085487823e-09
"ENSG00000158859",6.85380497375414,6.49102153550375,49.6144834663762,1.87127156719129e-12,1.10652513219947e-09
"ENSG00000126561",2.47109795647677,4.20939802554634,49.339922590682,2.15237308642052e-12,1.2329734702242e-09
"ENSG00000165195",2.91384834574633,4.26178000003236,48.5218868631169,3.26623166890402e-12,1.80209807988144e-09
"ENSG00000185022",5.27342434832163,6.50041745233286,48.4766220063766,3.34249821155251e-12,1.80209807988144e-09
"ENSG00000164171",3.61859126757652,2.64414305499891,48.1557420992513,3.93674415932682e-12,2.06184163384628e-09
"ENSG00000110047",1.95494136467631,5.91548000940287,47.8742746767298,4.54445479062345e-12,2.3140111324144e-09
"ENSG00000137309",2.93855728098292,5.23646447316092,47.620103781803,5.17352108324161e-12,2.56313013451086e-09
"ENSG00000070404",4.39057567499804,5.22698738817291,47.1614257907264,6.53744466631954e-12,3.15362889942904e-09
"ENSG00000133858",1.94903427851964,4.78368088455764,47.0519422590565,6.91301193102078e-12,3.20130374030466e-09
"ENSG00000128342",8.00409981188048,4.50159987880974,47.0314832647486,6.98555177634533e-12,3.20130374030466e-09
"ENSG00000152049",4.98429614200308,3.19470741875398,46.8397478896101,7.70350349322897e-12,3.44421762278976e-09
"ENSG00000115009",8.66309583135134,6.33618815060105,46.6787473114091,8.36310945686431e-12,3.6500990346138e-09
"ENSG00000109220",2.44399579301491,4.22601039913277,46.622891431415,8.6049156111428e-12,3.66829553646183e-09
"ENSG00000114529",5.59733292479211,0.976763987422615,46.553424307478,8.91543195997845e-12,3.7142905285992e-09
"ENSG00000163162",1.92773755195412,5.53871994579197,46.3792338260678,9.74427730848735e-12,3.79665826060737e-09
"ENSG00000101361",1.90118850266455,5.2343904924465,46.3685393740932,9.79760722030229e-12,3.79665826060737e-09
"ENSG00000118503",4.45307308059636,7.06437457964585,46.3668395313008,9.80611067252787e-12,3.79665826060737e-09
"ENSG00000087074",3.78249124650468,7.09599922140627,46.3399510380774,9.94160692319862e-12,3.79665826060737e-09
"ENSG00000136826",2.80838326796493,4.69657569694287,45.9054828628029,1.24098144717741e-11,4.64253692004269e-09
"ENSG00000163739",6.60898135841609,5.34277803565232,45.6754167869543,1.39563346073185e-11,5.11667139373512e-09
"ENSG00000011422",4.62549276136815,3.67221711988186,45.6011158896998,1.44958974605561e-11,5.21028032057753e-09
"ENSG00000116560",1.51237705862599,6.84274710255296,45.4761196210974,1.54511228905466e-11,5.44681795589633e-09
"ENSG00000173110",7.92855695671894,9.30952063986143,45.3528996551736,1.64544214253365e-11,5.57908579723407e-09
"ENSG00000169245",6.92950799302401,4.66789242615481,45.3246972056656,1.66930764970026e-11,5.57908579723407e-09
"ENSG00000162747",-3.57725611236031,2.03140172220599,45.3192712575218,1.67393878592479e-11,5.57908579723407e-09
"ENSG00000162783",3.23377587477889,5.98027227677967,45.2271576335464,1.75455080507957e-11,5.73617055801275e-09
"ENSG00000173926",4.02442084555526,1.72832898635638,45.1672277390084,1.80907247499589e-11,5.73617055801275e-09
"ENSG00000267270",4.46811867951996,4.11967476492219,45.1579432622131,1.81766948980153e-11,5.73617055801275e-09
"ENSG00000261618",7.18380187499614,3.50500064043173,45.1108768672495,1.86188401629427e-11,5.73617055801275e-09
"ENSG00000147324",2.0285768827845,5.40070391345356,45.0944880560169,1.87753114113122e-11,5.73617055801275e-09
"ENSG00000166920",5.32697442586195,0.351432674852835,45.0548793692078,1.91589288872827e-11,5.75741517102917e-09
"ENSG00000134070",2.34126515061171,4.81526059238218,44.9070221882962,2.06615595763061e-11,6.10882336440753e-09
"ENSG00000006432",2.56873474207696,3.0744049519305,44.8735463590341,2.1017821295735e-11,6.1155187646368e-09
"ENSG00000183696",2.23229789572839,4.35334589346778,44.7407895665374,2.24922493201597e-11,6.44227222324763e-09
"ENSG00000072401",2.36418240514176,4.19049389871318,44.6616137559675,2.34204247066305e-11,6.47167523259166e-09
"ENSG00000123908",2.42796016444057,5.16888136101891,44.6430951492875,2.36429924608446e-11,6.47167523259166e-09
"ENSG00000172738",5.23342337607065,0.674298510888858,44.6421803464147,2.36540418189756e-11,6.47167523259166e-09
"ENSG00000250519",2.70689585054464,0.642056169001377,44.5840754149103,2.43665503594848e-11,6.56857697999581e-09
"ENSG00000116514",2.93469366489431,4.85920226228687,44.5123039906227,2.5276368310744e-11,6.60842879224732e-09
"ENSG00000131374",-1.26496050324065,4.94270027760188,44.5117342333433,2.5283725283761e-11,6.60842879224732e-09
"ENSG00000104689",1.98315092532479,3.71650281068425,44.4877096688729,2.55959000736217e-11,6.60842879224732e-09
"ENSG00000164181",4.13298443850844,1.85074563102708,44.373074783929,2.71394188583043e-11,6.90962065404967e-09
"ENSG00000100401",2.46106001963954,6.82700646281326,44.2066074779005,2.95482222860555e-11,7.32042543845387e-09
"ENSG00000135823",2.12432017183742,3.84549621055042,44.2063797368086,2.95516601628709e-11,7.32042543845387e-09
"ENSG00000083799",2.00637946857998,5.88888550711716,44.0544746373747,3.1936296314874e-11,7.71425610669367e-09
"ENSG00000073756",6.71528393595008,4.35186906097139,44.0516039219087,3.19831686273918e-11,7.71425610669367e-09
"ENSG00000157111",3.5131168230483,1.28386582194455,43.9225920155708,3.41622782344714e-11,8.13284054955968e-09
"ENSG00000125347",3.13863995572093,6.01111950154894,43.6752416801451,3.87644916002833e-11,9.00578029844409e-09
"ENSG00000110104",2.08699082326775,3.31823795301245,43.6728615270591,3.88116656798365e-11,9.00578029844409e-09
"ENSG00000163597",1.54534961379883,4.2544933309244,43.2905067315188,4.71867330954003e-11,1.07812230928497e-08
"ENSG00000198604",1.80703393486764,5.54473305805241,43.2718228828335,4.76394670514878e-11,1.07812230928497e-08
"ENSG00000171345",3.82919602027473,3.0618349177691,43.2269366422841,4.87449687621728e-11,1.08968783216999e-08
"ENSG00000163874",4.58177410559123,5.5598641158383,43.180018406377,4.99279745770059e-11,1.0991027028448e-08
"ENSG00000163734",8.41263886102713,4.32315082323786,43.1629552779866,5.0365297604584e-11,1.0991027028448e-08
"ENSG00000234883",5.10320843483119,0.509505575783155,42.9013081120079,5.75721487379439e-11,1.2350161381957e-08
"ENSG00000197965",2.05834708018583,5.80605497205169,42.8721096480842,5.84378782982597e-11,1.2350161381957e-08
"ENSG00000047365",2.03101964845042,4.36546393311904,42.866202942248,5.86145895057696e-11,1.2350161381957e-08
"ENSG00000082269",1.90838390716148,3.54352952766722,42.7268711310169,6.29417017689626e-11,1.31111856264415e-08
"ENSG00000120217",5.20095564737409,4.63085964815269,42.5321140508401,6.95311864346839e-11,1.43210806576875e-08
"ENSG00000176994",1.63728219973436,4.29189150633516,42.5095948200508,7.03363401633718e-11,1.43259494614974e-08
"ENSG00000101421",1.65880567513462,6.18621594627607,42.4854612816548,7.12095749589536e-11,1.43444254788195e-08
"ENSG00000076604",2.22199439781642,5.65327910425734,42.4389539999038,7.29230933329936e-11,1.45123663247877e-08
"ENSG00000187513",3.20129904868503,4.57651497150028,42.4201745587237,7.36266471117374e-11,1.45123663247877e-08
"ENSG00000125845",3.99891494245056,4.88887435837081,42.3516054541775,7.62537139922222e-11,1.48702854382067e-08
"ENSG00000106211",3.65953839599411,9.56467262064898,42.1801340040929,8.32413376358043e-11,1.60289035748003e-08
"ENSG00000145779",3.5723033689483,4.53677088347454,42.163698971239,8.39438515727908e-11,1.60289035748003e-08
"ENSG00000166197",2.07585560859818,6.35218601025146,42.0689550915119,8.81109559316141e-11,1.66511539503342e-08
"ENSG00000006555",3.2751666480501,3.85893205782867,41.9481792700913,9.37246134386478e-11,1.75312845810597e-08
