"","symbol","PC1 Percent Contribution","Loading"
"ENSG00000179010","MRFAP1","0.00511801099030198","0.0150954384291071"
"ENSG00000166200","COPS2","0.00492171256458754","0.0148031195789691"
"ENSG00000204371","EHMT2","0.00486422929684316","-0.0147164189731347"
"ENSG00000100109","TFIP11","0.00485944377055901","0.0147091780377663"
"ENSG00000100902","PSMA6","0.00485829084634146","0.0147074330259528"
"ENSG00000075785","RAB7A","0.00484282277662616","0.0146840012293202"
"ENSG00000083937","CHMP2B","0.00482973283670121","0.0146641426918205"
"ENSG00000176105","YES1","0.00480842433515714","0.0146317582586596"
"ENSG00000117133","RPF1","0.00475493540851993","0.0145501488067715"
"ENSG00000124226","RNF114","0.00473277818409983","0.0145162085599942"
"ENSG00000197780","TAF13","0.00471808674054578","0.0144936605120189"
"ENSG00000100220","RTCB","0.00471736785429888","0.0144925562836839"
"ENSG00000118680","MYL12B","0.00471141458422152","0.0144834086676781"
"ENSG00000004961","HCCS","0.00471079728365905","0.014482459811551"
"ENSG00000173137","ADCK5","0.00471056533141217","-0.0144821032603938"
"ENSG00000087263","OGFOD1","0.00470889582576755","0.0144795366793055"
"ENSG00000148335","NTMT1","0.00470230261513151","0.0144693962897806"
"ENSG00000175224","ATG13","0.00469856399856664","0.0144636431209966"
"ENSG00000121579","NAA50","0.00469507357154564","0.0144582698122473"
"ENSG00000136758","YME1L1","0.0046786808421633","0.014433007402433"
"ENSG00000185721","DRG1","0.00467786082245997","0.0144317425299743"
"ENSG00000113407","TARS1","0.00467403881175735","0.0144258456523449"
"ENSG00000113575","PPP2CA","0.00467258140774139","0.0144235964279186"
"ENSG00000163636","PSMD6","0.00467194822868058","0.014422619127808"
"ENSG00000239697","TNFSF12","0.0046605971575006","-0.0144050877116846"
"ENSG00000120705","ETF1","0.00465541742764576","0.0143970806684576"
"ENSG00000113712","CSNK1A1","0.00464279146444531","0.014377544243382"
"ENSG00000169612","RAMAC","0.00463305673623344","0.0143624633454594"
"ENSG00000101782","RIOK3","0.00462224751768616","0.0143456992877204"
"ENSG00000187535","IFT140","0.00461997769354298","-0.0143421765195224"
"ENSG00000144566","RAB5A","0.00459863853529992","0.0143090157322017"
"ENSG00000104164","BLOC1S6","0.00459858420208807","0.0143089312009786"
"ENSG00000101421","CHMP4B","0.0045963049741242","0.0143053847444188"
"ENSG00000099246","RAB18","0.0045903511345468","0.0142961164771726"
"ENSG00000137876","RSL24D1","0.00455031963558428","0.0142336432434388"
"ENSG00000136897","MRPL50","0.00454697824929129","0.0142284162661579"
"ENSG00000048405","ZNF800","0.004543026327989","0.0142222317408213"
"ENSG00000101558","VAPA","0.00454130317672491","0.0142195342679112"
"ENSG00000023734","STRAP","0.00453414734301228","0.0142083268309909"
"ENSG00000124688","MAD2L1BP","0.00452542044613725","0.0141946468252052"
"ENSG00000197170","PSMD12","0.00452022974139435","0.0141865037850613"
"ENSG00000131508","UBE2D2","0.00451554413428215","0.014179149112638"
"ENSG00000176853","FAM91A1","0.00451435416208699","0.0141772806883182"
"ENSG00000134001","EIF2S1","0.00451355479415377","0.0141760254295498"
"ENSG00000213341","CHUK","0.00451334838921541","0.0141757012909007"
"ENSG00000180096","SEPTIN1","0.0045122495009423","-0.0141739754701942"
"ENSG00000103429","BFAR","0.00451178790910391","0.0141732504705322"
"ENSG00000100519","PSMC6","0.00450838397476851","0.0141679029322675"
"ENSG00000163399","ATP1A1","0.00450550916742046","0.01416338507324"
"ENSG00000138138","ATAD1","0.00450298345351316","0.014159414637034"
"ENSG00000178307","TMEM11","0.00450245125035144","0.0141585778687017"
"ENSG00000198060","MARCHF5","0.00448499512614198","0.0141311046212163"
"ENSG00000088930","XRN2","0.00447484724825892","0.0141151088478038"
"ENSG00000067596","DHX8","0.00446032247848708","0.0140921823285873"
"ENSG00000163938","GNL3","0.00445193366078324","0.014078924051189"
"ENSG00000104863","LIN7B","0.00443682599206045","-0.0140550152855722"
"ENSG00000084733","RAB10","0.00442925854116571","0.014043024052528"
"ENSG00000135018","UBQLN1","0.00442636075700869","0.0140384295690227"
"ENSG00000153975","ZUP1","0.00442087303000064","0.0140297245666434"
"ENSG00000130340","SNX9","0.0044188810563475","0.0140265634273938"
"ENSG00000122692","SMU1","0.00441639056987334","0.0140226101766159"
"ENSG00000126062","TMEM115","0.00441476526505999","0.0140200296628786"
"ENSG00000163374","YY1AP1","0.0044065980826664","0.0140070553438737"
"ENSG00000084623","EIF3I","0.00440490527339654","0.0140043646570544"
"ENSG00000138111","MFSD13A","0.00439893427809194","-0.013994869747736"
"ENSG00000021300","PLEKHB1","0.00439792522851946","-0.0139932645490274"
"ENSG00000067048","DDX3Y","0.00439580801514655","0.013989895881779"
"ENSG00000147533","GOLGA7","0.00439028905006258","0.0139811109216315"
"ENSG00000180957","PITPNB","0.00438808705981147","0.0139776043038609"
"ENSG00000114354","TFG","0.00438504063601637","0.013972751494549"
"ENSG00000198492","YTHDF2","0.00438499392559993","0.0139726770739412"
"ENSG00000265354","TIMM23","0.00438219250850637","0.0139682130369464"
"ENSG00000151247","EIF4E","0.00438106965181601","0.0139664233727243"
"ENSG00000138002","IFT172","0.00437909035931719","-0.0139632681204514"
"ENSG00000166741","NNMT","0.00437900919341775","0.013963138716126"
"ENSG00000103342","GSPT1","0.00437533994509007","0.0139572875111923"
"ENSG00000134108","ARL8B","0.00437435917194476","0.0139557230956091"
"ENSG00000114209","PDCD10","0.00437373329076813","0.0139547246708676"
"ENSG00000168040","FADD","0.00437332564679311","0.0139540743463496"
"ENSG00000066697","MSANTD3","0.00437304848364749","0.0139536321638171"
"ENSG00000157224","NULL","0.00437118376281228","0.0139506568477324"
"ENSG00000073008","PVR","0.00437102597922018","0.0139504050618623"
"ENSG00000177728","TMEM94","0.00436917348390348","-0.0139474485707663"
"ENSG00000140830","TXNL4B","0.00436614284477792","0.0139426104685441"
"ENSG00000107625","DDX50","0.0043619076362447","0.0139358465820153"
"ENSG00000062650","WAPL","0.00436161242427493","0.013935374988085"
"ENSG00000143570","SLC39A1","0.00435850370786396","0.013930407920097"
"ENSG00000064726","BTBD1","0.00435790717518733","0.0139294545851411"
"ENSG00000101654","RNMT","0.00435303272094013","0.0139216621421632"
"ENSG00000091527","CDV3","0.00435142543087537","0.0139190917255624"
"ENSG00000100744","GSKIP","0.00435082984083303","0.0139181391232196"
"ENSG00000197324","LRP10","0.00435048369217284","0.0139175854540101"
"ENSG00000204070","SYS1","0.00434331651666345","0.0139061165115223"
"ENSG00000142046","TMEM91","0.00432404274883077","-0.0138752275278863"
"ENSG00000131100","ATP6V1E1","0.00432109693676335","0.0138705003802961"
"ENSG00000110422","HIPK3","0.00431865139333325","0.0138665747900636"
"ENSG00000174840","PDE12","0.00430951713370729","0.0138519026241639"
"ENSG00000111711","GOLT1B","0.00430611971580156","0.0138464414577147"
"ENSG00000171865","RNASEH1","0.00430419060114585","0.0138433395507532"
"ENSG00000087269","NOP14","0.00430357613425101","0.0138423513768702"
"ENSG00000149658","YTHDF1","0.0043023071893493","0.0138403104607042"
"ENSG00000239213","NULL","0.00430042933385428","-0.0138372896466917"
"ENSG00000198876","DCAF12","0.00429987055930491","0.0138363906461659"
"ENSG00000085721","RRN3","0.00429899512363186","0.0138349820588159"
"ENSG00000198231","DDX42","0.00429577179755886","0.0138297944487636"
"ENSG00000117625","RCOR3","0.00428935892650308","-0.0138194678047059"
"ENSG00000076685","NT5C2","0.00428898703592125","0.0138188687126957"
"ENSG00000204084","INPP5B","0.0042886846869342","-0.0138183816286175"
"ENSG00000169756","LIMS1","0.00428786429877007","0.0138170598971596"
"ENSG00000171490","RSL1D1","0.00428268305494999","0.0138087094468406"
"ENSG00000004897","CDC27","0.00428235561566557","0.0138081815534254"
"ENSG00000163866","SMIM12","0.00428134923986518","0.0138065589609171"
"ENSG00000141076","UTP4","0.00427603376575683","0.0137979855889012"
"ENSG00000142188","TMEM50B","0.00427577908759232","-0.0137975746826547"
"ENSG00000038358","EDC4","0.00427465589647774","0.0137957623426299"
"ENSG00000170191","NANP","0.00427439812768852","0.0137953463827663"
"ENSG00000146109","ABT1","0.00427216304125312","0.0137917391119344"
"ENSG00000120727","PAIP2","0.00427195973816183","0.013791410948364"
"ENSG00000270189","NULL","0.00427140507835585","-0.0137905155993784"
"ENSG00000174485","DENND4A","0.00426916308406426","0.0137868959104378"
"ENSG00000000419","DPM1","0.00426787992356407","0.0137848238263534"
"ENSG00000164695","CHMP4C","0.00426578086650384","0.0137814335376225"
"ENSG00000132603","NIP7","0.00426291680877177","0.0137768063134461"
"ENSG00000147224","PRPS1","0.00426280292495896","0.0137766222885425"
"ENSG00000235257","ITGA9-AS1","0.0042616322503488","-0.0137747304523904"
"ENSG00000138069","RAB1A","0.00426022512437618","0.0137724561616861"
"ENSG00000169564","PCBP1","0.00425967553220653","0.0137715677722259"
"ENSG00000197771","MCMBP","0.00425743112897662","0.0137679392066845"
"ENSG00000119537","KDSR","0.00425371380910696","0.0137619272467659"
"ENSG00000136536","MARCHF7","0.00425173484559838","0.0137587256303243"
"ENSG00000118217","ATF6","0.00424967004883697","0.0137553843563386"
"ENSG00000134470","IL15RA","0.00424926170307012","0.0137547234711585"
"ENSG00000170545","SMAGP","0.0042483157532453","0.0137531923813628"
"ENSG00000164323","CFAP97","0.00424704775364591","0.0137511397627605"
"ENSG00000196295","NULL","0.00424248898116079","-0.0137437575583871"
"ENSG00000100883","SRP54","0.0042403931380435","0.0137403623441425"
"ENSG00000180008","SOCS4","0.00423865179495221","0.0137375407729845"
"ENSG00000117505","DR1","0.00423621989047598","0.0137335992861791"
"ENSG00000141378","PTRH2","0.00423616592438606","0.0137335118083057"
"ENSG00000005844","ITGAL","0.00423475645800914","-0.0137312268962102"
"ENSG00000122786","CALD1","0.00423426300039248","-0.0137304268530478"
"ENSG00000076053","RBM7","0.00423273611873613","0.0137279510234626"
"ENSG00000233864","NULL","0.00423085212335573","0.0137248955205702"
"ENSG00000173611","SCAI","0.00422784660836528","-0.0137200197051911"
"ENSG00000172890","NADSYN1","0.00422427628644431","-0.0137142253567109"
"ENSG00000134686","PHC2","0.00422398734414327","0.0137137563192562"
"ENSG00000152492","CCDC50","0.00422391727334185","0.0137136425715336"
"ENSG00000063978","RNF4","0.00422316242874238","0.0137124171531737"
"ENSG00000196182","STK40","0.00421740446701481","0.0137030660442193"
"ENSG00000110321","EIF4G2","0.00421610497455956","0.0137009547453159"
