"","x"
"1","ENSG00000000003"
"2","ENSG00000000419"
"3","ENSG00000000457"
"4","ENSG00000000460"
"5","ENSG00000000938"
"6","ENSG00000000971"
"7","ENSG00000001036"
"8","ENSG00000001084"
"9","ENSG00000001167"
"10","ENSG00000001460"
"11","ENSG00000001461"
"12","ENSG00000001497"
"13","ENSG00000001561"
"14","ENSG00000001617"
"15","ENSG00000001626"
"16","ENSG00000001629"
"17","ENSG00000001630"
"18","ENSG00000001631"
"19","ENSG00000002016"
"20","ENSG00000002330"
"21","ENSG00000002549"
"22","ENSG00000002586"
"23","ENSG00000002587"
"24","ENSG00000002726"
"25","ENSG00000002822"
"26","ENSG00000002834"
"27","ENSG00000002919"
"28","ENSG00000002933"
"29","ENSG00000003056"
"30","ENSG00000003096"
"31","ENSG00000003137"
"32","ENSG00000003147"
"33","ENSG00000003249"
"34","ENSG00000003393"
"35","ENSG00000003400"
"36","ENSG00000003402"
"37","ENSG00000003436"
"38","ENSG00000003509"
"39","ENSG00000003756"
"40","ENSG00000003987"
"41","ENSG00000003989"
"42","ENSG00000004059"
"43","ENSG00000004139"
"44","ENSG00000004142"
"45","ENSG00000004399"
"46","ENSG00000004455"
"47","ENSG00000004468"
"48","ENSG00000004478"
"49","ENSG00000004487"
"50","ENSG00000004534"
"51","ENSG00000004660"
"52","ENSG00000004700"
"53","ENSG00000004766"
"54","ENSG00000004776"
"55","ENSG00000004777"
"56","ENSG00000004779"
"57","ENSG00000004799"
"58","ENSG00000004838"
"59","ENSG00000004864"
"60","ENSG00000004866"
"61","ENSG00000004897"
"62","ENSG00000004939"
"63","ENSG00000004961"
"64","ENSG00000004975"
"65","ENSG00000005001"
"66","ENSG00000005007"
"67","ENSG00000005020"
"68","ENSG00000005022"
"69","ENSG00000005059"
"70","ENSG00000005075"
"71","ENSG00000005100"
"72","ENSG00000005108"
"73","ENSG00000005156"
"74","ENSG00000005175"
"75","ENSG00000005187"
"76","ENSG00000005189"
"77","ENSG00000005194"
"78","ENSG00000005206"
"79","ENSG00000005238"
"80","ENSG00000005243"
"81","ENSG00000005249"
"82","ENSG00000005302"
"83","ENSG00000005339"
"84","ENSG00000005379"
"85","ENSG00000005381"
"86","ENSG00000005421"
"87","ENSG00000005436"
"88","ENSG00000005448"
"89","ENSG00000005469"
"90","ENSG00000005471"
"91","ENSG00000005483"
"92","ENSG00000005486"
"93","ENSG00000005513"
"94","ENSG00000005700"
"95","ENSG00000005801"
"96","ENSG00000005810"
"97","ENSG00000005812"
"98","ENSG00000005844"
"99","ENSG00000005882"
"100","ENSG00000005884"
"101","ENSG00000005889"
"102","ENSG00000005893"
"103","ENSG00000005961"
"104","ENSG00000005981"
"105","ENSG00000006007"
"106","ENSG00000006015"
"107","ENSG00000006016"
"108","ENSG00000006025"
"109","ENSG00000006042"
"110","ENSG00000006047"
"111","ENSG00000006062"
"112","ENSG00000006118"
"113","ENSG00000006125"
"114","ENSG00000006194"
"115","ENSG00000006210"
"116","ENSG00000006282"
"117","ENSG00000006327"
"118","ENSG00000006432"
"119","ENSG00000006451"
"120","ENSG00000006453"
"121","ENSG00000006459"
"122","ENSG00000006468"
"123","ENSG00000006530"
"124","ENSG00000006534"
"125","ENSG00000006555"
"126","ENSG00000006576"
"127","ENSG00000006607"
"128","ENSG00000006611"
"129","ENSG00000006625"
"130","ENSG00000006634"
"131","ENSG00000006638"
"132","ENSG00000006652"
"133","ENSG00000006695"
"134","ENSG00000006704"
"135","ENSG00000006712"
"136","ENSG00000006715"
"137","ENSG00000006740"
"138","ENSG00000006744"
"139","ENSG00000006756"
"140","ENSG00000006757"
"141","ENSG00000006831"
"142","ENSG00000006837"
"143","ENSG00000007001"
"144","ENSG00000007047"
"145","ENSG00000007062"
"146","ENSG00000007080"
"147","ENSG00000007129"
"148","ENSG00000007168"
"149","ENSG00000007171"
"150","ENSG00000007202"
"151","ENSG00000007216"
"152","ENSG00000007237"
"153","ENSG00000007255"
"154","ENSG00000007264"
"155","ENSG00000007312"
"156","ENSG00000007314"
"157","ENSG00000007341"
"158","ENSG00000007350"
"159","ENSG00000007372"
"160","ENSG00000007376"
"161","ENSG00000007384"
"162","ENSG00000007392"
"163","ENSG00000007402"
"164","ENSG00000007516"
"165","ENSG00000007520"
"166","ENSG00000007541"
"167","ENSG00000007545"
"168","ENSG00000007866"
"169","ENSG00000007908"
"170","ENSG00000007923"
"171","ENSG00000007933"
"172","ENSG00000007944"
"173","ENSG00000007952"
"174","ENSG00000007968"
"175","ENSG00000008018"
"176","ENSG00000008056"
"177","ENSG00000008083"
"178","ENSG00000008086"
"179","ENSG00000008118"
"180","ENSG00000008128"
"181","ENSG00000008130"
"182","ENSG00000008226"
"183","ENSG00000008256"
"184","ENSG00000008277"
"185","ENSG00000008282"
"186","ENSG00000008283"
"187","ENSG00000008294"
"188","ENSG00000008300"
"189","ENSG00000008311"
"190","ENSG00000008323"
"191","ENSG00000008324"
"192","ENSG00000008382"
"193","ENSG00000008394"
"194","ENSG00000008405"
"195","ENSG00000008438"
"196","ENSG00000008441"
"197","ENSG00000008513"
"198","ENSG00000008516"
"199","ENSG00000008517"
"200","ENSG00000008710"
"201","ENSG00000008735"
"202","ENSG00000008838"
"203","ENSG00000008853"
"204","ENSG00000008869"
"205","ENSG00000008952"
"206","ENSG00000008988"
"207","ENSG00000009307"
"208","ENSG00000009335"
"209","ENSG00000009413"
"210","ENSG00000009694"
"211","ENSG00000009724"
"212","ENSG00000009765"
"213","ENSG00000009780"
"214","ENSG00000009790"
"215","ENSG00000009830"
"216","ENSG00000009844"
"217","ENSG00000009950"
"218","ENSG00000009954"
"219","ENSG00000010017"
"220","ENSG00000010030"
"221","ENSG00000010072"
"222","ENSG00000010165"
"223","ENSG00000010219"
"224","ENSG00000010244"
"225","ENSG00000010256"
"226","ENSG00000010270"
"227","ENSG00000010278"
"228","ENSG00000010292"
"229","ENSG00000010295"
"230","ENSG00000010310"
"231","ENSG00000010318"
"232","ENSG00000010319"
"233","ENSG00000010322"
"234","ENSG00000010327"
"235","ENSG00000010361"
"236","ENSG00000010379"
"237","ENSG00000010404"
"238","ENSG00000010438"
"239","ENSG00000010539"
"240","ENSG00000010610"
"241","ENSG00000010626"
"242","ENSG00000010671"
"243","ENSG00000010704"
"244","ENSG00000010803"
"245","ENSG00000010810"
"246","ENSG00000010818"
"247","ENSG00000010932"
"248","ENSG00000011007"
"249","ENSG00000011009"
"250","ENSG00000011021"
"251","ENSG00000011028"
"252","ENSG00000011052"
"253","ENSG00000011105"
"254","ENSG00000011114"
"255","ENSG00000011132"
"256","ENSG00000011143"
"257","ENSG00000011198"
"258","ENSG00000011201"
"259","ENSG00000011243"
"260","ENSG00000011258"
"261","ENSG00000011260"
"262","ENSG00000011275"
"263","ENSG00000011295"
"264","ENSG00000011304"
"265","ENSG00000011347"
"266","ENSG00000011376"
"267","ENSG00000011405"
"268","ENSG00000011422"
"269","ENSG00000011426"
"270","ENSG00000011451"
"271","ENSG00000011454"
"272","ENSG00000011465"
"273","ENSG00000011478"
"274","ENSG00000011485"
"275","ENSG00000011523"
"276","ENSG00000011566"
"277","ENSG00000011600"
"278","ENSG00000011638"
"279","ENSG00000012048"
"280","ENSG00000012061"
"281","ENSG00000012124"
"282","ENSG00000012171"
"283","ENSG00000012174"
"284","ENSG00000012211"
"285","ENSG00000012223"
"286","ENSG00000012232"
"287","ENSG00000012504"
"288","ENSG00000012660"
"289","ENSG00000012779"
"290","ENSG00000012817"
"291","ENSG00000012822"
"292","ENSG00000012963"
"293","ENSG00000012983"
"294","ENSG00000013016"
"295","ENSG00000013275"
"296","ENSG00000013288"
"297","ENSG00000013297"
"298","ENSG00000013306"
"299","ENSG00000013364"
"300","ENSG00000013374"
"301","ENSG00000013375"
"302","ENSG00000013392"
"303","ENSG00000013441"
"304","ENSG00000013503"
"305","ENSG00000013523"
"306","ENSG00000013561"
"307","ENSG00000013563"
"308","ENSG00000013573"
"309","ENSG00000013583"
"310","ENSG00000013588"
"311","ENSG00000013619"
"312","ENSG00000013725"
"313","ENSG00000013810"
"314","ENSG00000014123"
"315","ENSG00000014138"
"316","ENSG00000014164"
"317","ENSG00000014216"
"318","ENSG00000014641"
"319","ENSG00000014824"
"320","ENSG00000014914"
"321","ENSG00000014919"
"322","ENSG00000015133"
"323","ENSG00000015153"
"324","ENSG00000015171"
"325","ENSG00000015285"
"326","ENSG00000015475"
"327","ENSG00000015479"
"328","ENSG00000015520"
"329","ENSG00000015532"
"330","ENSG00000015676"
"331","ENSG00000016391"
"332","ENSG00000016402"
"333","ENSG00000016864"
"334","ENSG00000017260"
"335","ENSG00000017427"
"336","ENSG00000017483"
"337","ENSG00000017797"
"338","ENSG00000018189"
"339","ENSG00000018236"
"340","ENSG00000018280"
"341","ENSG00000018408"
"342","ENSG00000018510"
"343","ENSG00000018610"
"344","ENSG00000018625"
"345","ENSG00000018699"
"346","ENSG00000018869"
"347","ENSG00000019102"
"348","ENSG00000019144"
"349","ENSG00000019169"
"350","ENSG00000019485"
"351","ENSG00000019505"
"352","ENSG00000019549"
"353","ENSG00000019582"
"354","ENSG00000019991"
"355","ENSG00000019995"
"356","ENSG00000020129"
"357","ENSG00000020181"
"358","ENSG00000020256"
"359","ENSG00000020426"
"360","ENSG00000020577"
"361","ENSG00000020633"
"362","ENSG00000020922"
"363","ENSG00000021300"
"364","ENSG00000021355"
"365","ENSG00000021461"
"366","ENSG00000021488"
"367","ENSG00000021574"
"368","ENSG00000021645"
"369","ENSG00000021762"
"370","ENSG00000021776"
"371","ENSG00000021826"
"372","ENSG00000021852"
"373","ENSG00000022267"
"374","ENSG00000022277"
"375","ENSG00000022556"
"376","ENSG00000022567"
"377","ENSG00000022840"
"378","ENSG00000022976"
"379","ENSG00000023041"
"380","ENSG00000023171"
"381","ENSG00000023191"
"382","ENSG00000023228"
"383","ENSG00000023287"
"384","ENSG00000023318"
"385","ENSG00000023330"
"386","ENSG00000023445"
"387","ENSG00000023516"
"388","ENSG00000023572"
"389","ENSG00000023608"
"390","ENSG00000023697"
"391","ENSG00000023734"
"392","ENSG00000023839"
"393","ENSG00000023892"
"394","ENSG00000023902"
"395","ENSG00000023909"
"396","ENSG00000024048"
"397","ENSG00000024422"
"398","ENSG00000024526"
"399","ENSG00000024862"
"400","ENSG00000025039"
"401","ENSG00000025156"
"402","ENSG00000025293"
"403","ENSG00000025423"
"404","ENSG00000025434"
"405","ENSG00000025708"
"406","ENSG00000025770"
"407","ENSG00000025772"
"408","ENSG00000025796"
"409","ENSG00000025800"
"410","ENSG00000026025"
"411","ENSG00000026036"
"412","ENSG00000026103"
"413","ENSG00000026297"
"414","ENSG00000026508"
"415","ENSG00000026559"
"416","ENSG00000026652"
"417","ENSG00000026751"
"418","ENSG00000026950"
"419","ENSG00000027001"
"420","ENSG00000027075"
"421","ENSG00000027697"
"422","ENSG00000027847"
"423","ENSG00000027869"
"424","ENSG00000028116"
"425","ENSG00000028137"
"426","ENSG00000028203"
"427","ENSG00000028277"
"428","ENSG00000028310"
"429","ENSG00000028528"
"430","ENSG00000028839"
"431","ENSG00000029153"
"432","ENSG00000029363"
"433","ENSG00000029364"
"434","ENSG00000029534"
"435","ENSG00000029639"
"436","ENSG00000029725"
"437","ENSG00000029993"
"438","ENSG00000030066"
"439","ENSG00000030110"
"440","ENSG00000030419"
"441","ENSG00000030582"
"442","ENSG00000031003"
"443","ENSG00000031081"
"444","ENSG00000031691"
"445","ENSG00000031698"
"446","ENSG00000031823"
"447","ENSG00000032219"
"448","ENSG00000032389"
"449","ENSG00000032444"
"450","ENSG00000032742"
"451","ENSG00000033011"
"452","ENSG00000033030"
"453","ENSG00000033050"
"454","ENSG00000033100"
"455","ENSG00000033122"
"456","ENSG00000033170"
"457","ENSG00000033178"
"458","ENSG00000033327"
"459","ENSG00000033627"
"460","ENSG00000033800"
"461","ENSG00000033867"
"462","ENSG00000034053"
"463","ENSG00000034152"
"464","ENSG00000034239"
"465","ENSG00000034510"
"466","ENSG00000034533"
"467","ENSG00000034677"
"468","ENSG00000034693"
"469","ENSG00000034713"
"470","ENSG00000035115"
"471","ENSG00000035141"
"472","ENSG00000035403"
"473","ENSG00000035499"
"474","ENSG00000035664"
"475","ENSG00000035681"
"476","ENSG00000035687"
"477","ENSG00000035720"
"478","ENSG00000035862"
"479","ENSG00000035928"
"480","ENSG00000036054"
"481","ENSG00000036257"
"482","ENSG00000036448"
"483","ENSG00000036473"
"484","ENSG00000036530"
"485","ENSG00000036549"
"486","ENSG00000036672"
"487","ENSG00000037042"
"488","ENSG00000037241"
"489","ENSG00000037280"
"490","ENSG00000037474"
"491","ENSG00000037637"
"492","ENSG00000037749"
"493","ENSG00000037757"
"494","ENSG00000037897"
"495","ENSG00000038002"
"496","ENSG00000038210"
"497","ENSG00000038219"
"498","ENSG00000038274"
"499","ENSG00000038295"
"500","ENSG00000038358"
"501","ENSG00000038382"
"502","ENSG00000038427"
"503","ENSG00000038532"
"504","ENSG00000038945"
"505","ENSG00000039068"
"506","ENSG00000039123"
"507","ENSG00000039139"
"508","ENSG00000039319"
"509","ENSG00000039523"
"510","ENSG00000039537"
"511","ENSG00000039560"
"512","ENSG00000039650"
"513","ENSG00000040199"
"514","ENSG00000040275"
"515","ENSG00000040341"
"516","ENSG00000040487"
"517","ENSG00000040531"
"518","ENSG00000040608"
"519","ENSG00000040633"
"520","ENSG00000040933"
"521","ENSG00000041353"
"522","ENSG00000041357"
"523","ENSG00000041515"
"524","ENSG00000041802"
"525","ENSG00000041880"
"526","ENSG00000041982"
"527","ENSG00000041988"
"528","ENSG00000042062"
"529","ENSG00000042088"
"530","ENSG00000042286"
"531","ENSG00000042317"
"532","ENSG00000042429"
"533","ENSG00000042445"
"534","ENSG00000042493"
"535","ENSG00000042753"
"536","ENSG00000042781"
"537","ENSG00000042832"
"538","ENSG00000042980"
"539","ENSG00000043093"
"540","ENSG00000043143"
"541","ENSG00000043462"
"542","ENSG00000043514"
"543","ENSG00000043591"
"544","ENSG00000044012"
"545","ENSG00000044090"
"546","ENSG00000044115"
"547","ENSG00000044446"
"548","ENSG00000044459"
"549","ENSG00000044524"
"550","ENSG00000044574"
"551","ENSG00000046604"
"552","ENSG00000046647"
"553","ENSG00000046651"
"554","ENSG00000046653"
"555","ENSG00000046889"
"556","ENSG00000047056"
"557","ENSG00000047188"
"558","ENSG00000047230"
"559","ENSG00000047249"
"560","ENSG00000047315"
"561","ENSG00000047346"
"562","ENSG00000047365"
"563","ENSG00000047410"
"564","ENSG00000047457"
"565","ENSG00000047578"
"566","ENSG00000047579"
"567","ENSG00000047597"
"568","ENSG00000047621"
"569","ENSG00000047634"
"570","ENSG00000047644"
"571","ENSG00000047648"
"572","ENSG00000047849"
"573","ENSG00000047932"
"574","ENSG00000048028"
"575","ENSG00000048052"
"576","ENSG00000048140"
"577","ENSG00000048162"
"578","ENSG00000048342"
"579","ENSG00000048392"
"580","ENSG00000048405"
"581","ENSG00000048471"
"582","ENSG00000048540"
"583","ENSG00000048544"
"584","ENSG00000048649"
"585","ENSG00000048707"
"586","ENSG00000048740"
"587","ENSG00000048828"
"588","ENSG00000048991"
"589","ENSG00000049089"
"590","ENSG00000049130"
"591","ENSG00000049167"
"592","ENSG00000049192"
"593","ENSG00000049239"
"594","ENSG00000049245"
"595","ENSG00000049246"
"596","ENSG00000049249"
"597","ENSG00000049323"
"598","ENSG00000049449"
"599","ENSG00000049540"
"600","ENSG00000049541"
"601","ENSG00000049618"
"602","ENSG00000049656"
"603","ENSG00000049759"
"604","ENSG00000049768"
"605","ENSG00000049769"
"606","ENSG00000049860"
"607","ENSG00000049883"
"608","ENSG00000050130"
"609","ENSG00000050165"
"610","ENSG00000050327"
"611","ENSG00000050344"
"612","ENSG00000050393"
"613","ENSG00000050405"
"614","ENSG00000050426"
"615","ENSG00000050555"
"616","ENSG00000050628"
"617","ENSG00000050730"
"618","ENSG00000050748"
"619","ENSG00000050767"
"620","ENSG00000050820"
"621","ENSG00000051009"
"622","ENSG00000051108"
"623","ENSG00000051128"
"624","ENSG00000051180"
"625","ENSG00000051341"
"626","ENSG00000051382"
"627","ENSG00000051523"
"628","ENSG00000051596"
"629","ENSG00000051620"
"630","ENSG00000051825"
"631","ENSG00000052126"
"632","ENSG00000052344"
"633","ENSG00000052723"
"634","ENSG00000052749"
"635","ENSG00000052795"
"636","ENSG00000052802"
"637","ENSG00000052841"
"638","ENSG00000053108"
"639","ENSG00000053254"
"640","ENSG00000053328"
"641","ENSG00000053371"
"642","ENSG00000053372"
"643","ENSG00000053438"
"644","ENSG00000053501"
"645","ENSG00000053702"
"646","ENSG00000053747"
"647","ENSG00000053770"
"648","ENSG00000053900"
"649","ENSG00000053918"
"650","ENSG00000054116"
"651","ENSG00000054118"
"652","ENSG00000054148"
"653","ENSG00000054179"
"654","ENSG00000054219"
"655","ENSG00000054267"
"656","ENSG00000054277"
"657","ENSG00000054282"
"658","ENSG00000054392"
"659","ENSG00000054523"
"660","ENSG00000054598"
"661","ENSG00000054611"
"662","ENSG00000054654"
"663","ENSG00000054690"
"664","ENSG00000054793"
"665","ENSG00000054803"
"666","ENSG00000054938"
"667","ENSG00000054965"
"668","ENSG00000054967"
"669","ENSG00000054983"
"670","ENSG00000055044"
"671","ENSG00000055070"
"672","ENSG00000055118"
"673","ENSG00000055130"
"674","ENSG00000055147"
"675","ENSG00000055163"
"676","ENSG00000055208"
