"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000125740",8.4180879611484,6.46472339253394,77.580855009115,1.27399015823608e-18,2.34274050198032e-14
"ENSG00000175592",6.69218319204795,3.5220326376557,75.3326258589574,3.97732863676873e-18,3.65695481507701e-14
"ENSG00000185022",5.12488627433499,6.20686167977149,65.6896258799544,5.27829748925242e-16,3.23542041766209e-12
"ENSG00000163661",6.24838469778478,2.66492284785931,63.8503908232357,1.34235717823985e-15,6.17115153766314e-12
"ENSG00000173110",8.48046814588067,8.36800449155091,61.0751790050902,5.49364024374451e-15,2.02045100884436e-11
"ENSG00000058085",6.59395080032403,3.33281095130144,58.7608464135738,1.78049320031064e-14,4.99063081248917e-11
"ENSG00000115602",7.07268794894298,4.90411048796414,58.6332922793991,1.89974526550787e-14,4.99063081248917e-11
"ENSG00000184292",4.50244280643813,2.99771511986754,56.9045950204046,4.5747566464237e-14,1.05156499963857e-10
"ENSG00000162783",3.81509439543191,6.10039645168738,55.8891066560027,7.66762414850033e-14,1.56666600518636e-10
"ENSG00000087074",4.5927239556114,7.1903336281694,52.5281201972367,4.24131718099987e-13,7.79935816414066e-10
"ENSG00000189143",4.80980830141441,2.80970280316841,50.5985594528939,1.13328193359464e-12,1.89453831607926e-09
"ENSG00000169429",9.38971436401154,7.90480510817011,47.6542243954707,5.08425618878006e-12,7.79119892128971e-09
"ENSG00000184545",4.15392287298841,3.50358835958483,42.6336490514014,6.60139466043934e-11,9.33792664698608e-08
"ENSG00000006652",2.47144756410364,4.83598899658343,41.6814622148501,1.07422718490514e-10,1.39710525837549e-07
"ENSG00000070404",4.21175460618718,5.25487560951171,41.5659214491792,1.13962580214435e-10,1.39710525837549e-07
"ENSG00000167767",4.70388795615522,0.333705724774578,41.0573868420238,1.47824415269722e-10,1.69896448274682e-07
"ENSG00000135480",3.21515217939187,3.45594814097711,40.4451882160611,2.02209827288564e-10,2.18731559647611e-07
"ENSG00000113070",4.7771504033794,3.54754906979039,39.1520191630251,3.92057589619038e-10,4.00530389750249e-07
"ENSG00000171345",3.50002530755984,2.66707149903465,38.9020937832005,4.45602409841511e-10,4.31272774451344e-07
"ENSG00000166592",4.92681149135192,2.88305082595149,38.7204916699899,4.89047824378346e-10,4.4965502212467e-07
"ENSG00000128342",7.51142332561877,4.68796263124619,38.6148515322606,5.16246014725994e-10,4.52059426895062e-07
"ENSG00000109321",6.86112342419102,1.01296001540905,38.1320043560812,6.61167148667252e-10,5.36495386735646e-07
"ENSG00000251230",6.08440311669136,1.57364987897492,38.103140572916,6.71020386911733e-10,5.36495386735646e-07
"ENSG00000023445",4.25119709081669,8.28752172799643,37.0060138222866,1.17765464251284e-09,9.02328800882027e-07
"ENSG00000176170",3.86548818911379,3.54231041317168,36.3229023898232,1.67187622132364e-09,1.22976527335681e-06
"ENSG00000132003",3.13683247611502,2.53035721522525,36.0883927194208,1.88566714371161e-09,1.33367435021972e-06
"ENSG00000102554",4.62354956445693,3.66147515550701,35.921089562794,2.05472606705379e-09,1.39942065359452e-06
"ENSG00000163734",7.88434414555489,4.54070926536805,35.4620297656199,2.60071194271009e-09,1.70801756837485e-06
"ENSG00000118503",4.12454593371821,7.51820711460155,35.1690083479731,3.0229626562606e-09,1.916871044344e-06
"ENSG00000163874",4.3774971045431,6.00736608551268,34.9494643650021,3.3837447136067e-09,2.07412271795045e-06
