"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000023445",6.49160597250872,8.28752172799643,75.073362282266,4.53544354533109e-18,8.34022713550934e-14
"ENSG00000175592",6.22690101668394,3.5220326376557,71.957481547393,2.19884516975159e-17,1.35849985523554e-13
"ENSG00000176170",5.72684547063819,3.54231041317168,71.4508483056417,2.84251561927975e-17,1.35849985523554e-13
"ENSG00000077150",3.18186391320142,5.74475140113586,71.3742559200221,2.95502714717611e-17,1.35849985523554e-13
"ENSG00000163661",6.24267827510848,2.66492284785931,67.1969231124756,2.45697284672605e-16,9.03625473568905e-13
"ENSG00000166927",-2.86536532001171,4.42773304886196,56.7849696044639,4.86168116065102e-14,1.40918985355332e-10
"ENSG00000104856",3.85608384299186,4.17735380418818,56.5915245707544,5.36425524763349e-14,1.40918985355332e-10
"ENSG00000185022",4.43204410648041,6.20686167977149,55.3958691900174,9.85433187498605e-14,2.26514136061398e-10
"ENSG00000166920",5.61776525937226,1.04908620114804,54.863997812635,1.29165536017628e-13,2.4793301640139e-10
"ENSG00000275302",5.75525452382407,4.21437884133159,54.7796915760494,1.34826807548747e-13,2.4793301640139e-10
"ENSG00000107249",3.13821069444382,3.8604184492074,52.8091127947766,3.67591782088384e-13,5.76674697983774e-10
"ENSG00000117090",6.41249961071432,2.83136459449885,52.7065362072459,3.8730004283086e-13,5.76674697983774e-10
"ENSG00000050730",9.20554705479489,3.1445311486793,52.6058314827405,4.07676930436079e-13,5.76674697983774e-10
"ENSG00000173110",7.26531300485122,8.36800449155091,51.3039065099176,7.91180371663132e-13,1.03921541817952e-09
"ENSG00000163874",5.32886517467172,6.00736608551268,50.8330932679398,1.00563777969137e-12,1.17142843463925e-09
"ENSG00000058085",5.86607697402388,3.33281095130144,50.8067175993695,1.01924275133112e-12,1.17142843463925e-09
"ENSG00000241644",-3.0553030268658,3.78226186465463,50.6690669125751,1.09329156669509e-12,1.18261991882094e-09
"ENSG00000123685",5.30722805792472,1.55503803081807,50.4823729797187,1.20239923504186e-12,1.22838441851027e-09
"ENSG00000049249",6.87902376843027,1.6919451610451,49.3613327742138,2.12900981601813e-12,2.06054534246092e-09
"ENSG00000115009",9.40556421659855,7.02269120898867,48.184583786404,3.87926272256283e-12,3.56678811026039e-09
"ENSG00000122861",5.70864061208374,3.60262058827401,47.4951474099883,5.51402718975913e-12,4.82844980916574e-09
"ENSG00000106366",6.8451677030225,9.1903308727315,47.2229902555875,6.33529866485188e-12,5.29544577945278e-09
"ENSG00000169429",8.9994105963072,7.90480510817011,46.4020601924495,9.63141911538551e-12,7.70052896142714e-09
"ENSG00000120217",5.73307763107871,4.97945988832818,45.8451767521419,1.27977840602509e-11,9.75646341222911e-09
"ENSG00000171659",-4.39916429331374,1.10941957133044,45.7750841130619,1.32639939804083e-11,9.75646341222911e-09
"ENSG00000163638",4.94988640062875,5.45970174716137,45.2001219960345,1.77894004490005e-11,1.25818955714104e-08
"ENSG00000006555",3.74112834069005,3.89494909248551,44.8159621390236,2.16450974325414e-11,1.47419146921113e-08
"ENSG00000128342",8.12509200565527,4.68796263124619,44.5664483502972,2.45869188256825e-11,1.6147458938767e-08
"ENSG00000162747",-3.35866470394884,2.45359514565173,44.2012402242475,2.96293504800029e-11,1.87880733095439e-08
"ENSG00000145779",3.84958108593341,5.13321510298142,43.9222755240705,3.41678027425128e-11,2.09437241544022e-08
"ENSG00000169908",5.28782328093776,8.09990506918557,43.2908031097377,4.71795862728856e-11,2.79866261926482e-08
"ENSG00000251230",6.31780086752185,1.57364987897492,42.7283250943068,6.28949358756456e-11,3.6142967994289e-08
"ENSG00000026751",4.61604204242241,3.66954461870208,42.6203068414087,6.64657669242259e-11,3.70375450899876e-08
"ENSG00000118503",4.40573774060017,7.51820711460155,42.1190908023594,8.58806830011389e-11,4.64488199914101e-08
"ENSG00000151014",4.39003327674238,4.56071746645836,41.5543606942987,1.14638489510989e-10,6.02310623890735e-08
"ENSG00000139926",2.9089738420696,4.58642453605894,41.2981681449019,1.30691311410805e-10,6.64573155011717e-08
"ENSG00000141458",2.46609478909793,5.26729850350154,41.1530092158614,1.40766371882923e-10,6.64573155011717e-08
"ENSG00000253882",5.01790068275382,0.170143341660786,41.1181689792495,1.4329804943948e-10,6.64573155011717e-08
"ENSG00000276070",5.25489079002441,2.0099572076756,41.1015056752144,1.44524957085631e-10,6.64573155011717e-08
"ENSG00000158859",6.35000622599596,6.58218420331282,41.1010474228534,1.44558846051817e-10,6.64573155011717e-08
"ENSG00000196954",2.5955627014418,5.85590251344489,40.7691222947779,1.71318787005605e-10,7.68385652255141e-08
"ENSG00000110042",3.1918111169115,6.88296407464793,40.2483733225861,2.23641481228899e-10,9.50652197569585e-08
"ENSG00000261618",8.09761910796813,3.74389918848074,40.2163476003481,2.27337890489601e-10,9.50652197569585e-08
"ENSG00000010818",3.69583539378937,5.44536150574969,40.2152482433042,2.27465858355874e-10,9.50652197569585e-08
"ENSG00000185215",4.08693526143182,7.05063245347724,40.0558688825358,2.4680212087318e-10,1.00854315571931e-07
"ENSG00000210077",3.38095508998901,4.88212227543591,40.005107077346,2.53299735116053e-10,1.01259322370632e-07
"ENSG00000179674",8.01557967177033,1.36211905014775,39.259584467922,3.7104253473576e-10,1.38983335538867e-07
"ENSG00000073737",4.04041320596388,1.76612609222497,39.2477368553182,3.73300812652523e-10,1.38983335538867e-07
"ENSG00000102802",6.6773530344071,2.01178065877294,39.245199056588,3.73786329997501e-10,1.38983335538867e-07
"ENSG00000160271",3.26268316327424,4.97270719452252,39.2238386111146,3.77898024739974e-10,1.38983335538867e-07
"ENSG00000011422",4.21346646586335,3.69107442560324,39.1062038694325,4.01366566238895e-10,1.44720191893471e-07
"ENSG00000170961",7.86856738601083,1.03740786849691,38.990850044071,4.25796553723539e-10,1.50576400508118e-07
"ENSG00000204610",3.99354532591188,4.62567230668698,38.7697501899902,4.76860780646825e-10,1.65452696138009e-07
"ENSG00000167207",4.94067346390511,2.60133452253387,38.4496044062391,5.61859695118017e-10,1.90835266379289e-07
"ENSG00000010030",4.85130412945671,2.46005990520708,38.4188886926922,5.70772725589261e-10,1.90835266379289e-07
"ENSG00000164164",2.57435592911548,6.18295811923836,38.2104401273065,6.35117014928313e-10,2.08556549777085e-07
"ENSG00000134070",2.54120387054639,4.66756674247636,38.1046386552414,6.70505387654942e-10,2.16314448659416e-07
"ENSG00000164181",4.51125551905568,2.32593939883384,38.0136253758356,7.02523033656712e-10,2.2273613906747e-07
"ENSG00000165195",3.16246877232807,4.32921107088137,37.87416696463,7.54578249760445e-10,2.32082350359246e-07
"ENSG00000086544",3.66298416344719,6.1539629891119,37.8672896683558,7.57242972513717e-10,2.32082350359246e-07
"ENSG00000163734",8.06619396376987,4.54070926536805,37.6318759754535,8.54368287984657e-10,2.57557023733604e-07
"ENSG00000033867",2.49058057901706,3.69324811338249,37.5035949572978,9.1244652359658e-10,2.70628695522863e-07
"ENSG00000142627",3.26656517297434,5.73299369583961,37.3722036627079,9.7603330091763e-10,2.84893275723402e-07
"ENSG00000090339",5.40770149705188,8.55616205170624,37.2534683228482,1.03730344198375e-09,2.98046453041236e-07
"ENSG00000103966",3.28508682712095,6.12111516480887,37.1205335853125,1.11048181152465e-09,3.12855485325543e-07
"ENSG00000114529",6.11457160681842,0.784014101273195,37.0826244532938,1.13228194019165e-09,3.12855485325543e-07
"ENSG00000163739",7.09766845534566,6.09993608826023,37.0522760234538,1.15004262830648e-09,3.12855485325543e-07
"ENSG00000162897",7.63746956716106,5.61414015411311,37.0406895432779,1.15689667747767e-09,3.12855485325543e-07
"ENSG00000173212",5.6319184638843,2.85311574984945,36.801362683089,1.30798794466171e-09,3.48384627060547e-07
