"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000187955",-2.86274989046389,4.26034492460327,35.5117796518997,2.53512815349926e-09,4.66184716146979e-05
"ENSG00000205978",-3.06460090946788,3.06796641829953,27.4443979060754,1.61676529572833e-07,0.00133765732594763
"ENSG00000107562",-2.50146440640625,7.07962630946303,26.8645361542727,2.18226764796503e-07,0.00133765732594763
"ENSG00000090104",-3.49691343168028,3.71272646636424,24.9922362071952,5.75616326447864e-07,0.00222692467798147
"ENSG00000108821",-2.45151724053659,5.70945255008888,24.8946427520865,6.05504561961355e-07,0.00222692467798147
"ENSG00000139329",-2.1748763870343,3.48325923649047,24.2207801938314,8.59004405746882e-07,0.00239945224021947
"ENSG00000110042",2.86577464571266,6.88296407464793,24.1025742460691,9.13381134457355e-07,0.00239945224021947
"ENSG00000184702",-3.34941512639858,1.23537789297877,23.2782902736347,1.40173322629703e-06,0.00293648956923713
"ENSG00000228262",-4.22419412574975,0.661785573025769,23.1704391936715,1.48258943277776e-06,0.00293648956923713
"ENSG00000168542",-2.73056771718883,6.71721753706643,22.7674460507145,1.82836735611736e-06,0.00293648956923713
"ENSG00000178184",-3.00321248852597,2.43009738812933,22.6080607506636,1.98649407032301e-06,0.00293648956923713
"ENSG00000263761",-2.60044077521165,4.05147769742777,22.5692719659311,2.02700869465506e-06,0.00293648956923713
"ENSG00000168386",-2.21023932876631,3.28914756294384,22.5234537044675,2.07593476535335e-06,0.00293648956923713
"ENSG00000069424",-2.33395818184945,3.02241144765264,22.3304587844738,2.29536861518547e-06,0.00301496667604611
"ENSG00000122756",-2.6641688531162,2.2848385808726,21.9371263651132,2.81730438415247e-06,0.00344697024919325
"ENSG00000166126",2.5163695729003,5.0205003018557,21.8170961330417,2.99915840921703e-06,0.00344697024919325
"ENSG00000187474",-2.65790827408042,2.25389736780464,20.6875832167568,5.40654639425344e-06,0.00584829303787803
"ENSG00000143341",-1.92016731994381,3.71791758445449,20.3354599558684,6.49850195768793e-06,0.00642291025056634
"ENSG00000177989",-1.79449076968736,3.22087344853996,20.2953057663318,6.63632034154986e-06,0.00642291025056634
"ENSG00000189143",-2.7886009679508,2.80970280316841,20.0793884668631,7.42930444327613e-06,0.00675558134278238
