"","Species","Sex","Treatment","Tissue","Replicate","Group"
"OOMCA1","OO","Male","Control","Abdomen",1,"OOMCA"
"OOMCA2","OO","Male","Control","Abdomen",2,"OOMCA"
"OOMCA3","OO","Male","Control","Abdomen",3,"OOMCA"
"OOMCH1","OO","Male","Control","Head",1,"OOMCH"
"OOMCH2","OO","Male","Control","Head",2,"OOMCH"
"OOMCH3","OO","Male","Control","Head",3,"OOMCH"
"OOMCT1","OO","Male","Control","Thorax",1,"OOMCT"
"OOMCT2","OO","Male","Control","Thorax",2,"OOMCT"
"OOMCT3","OO","Male","Control","Thorax",3,"OOMCT"
"OOMRA1","OO","Male","Rapa","Abdomen",1,"OOMRA"
"OOMRA2","OO","Male","Rapa","Abdomen",2,"OOMRA"
"OOMRA3","OO","Male","Rapa","Abdomen",3,"OOMRA"
"OOMRH1","OO","Male","Rapa","Head",1,"OOMRH"
"OOMRH2","OO","Male","Rapa","Head",2,"OOMRH"
"OOMRH3","OO","Male","Rapa","Head",3,"OOMRH"
"OOMRT1","OO","Male","Rapa","Thorax",1,"OOMRT"
"OOMRT2","OO","Male","Rapa","Thorax",2,"OOMRT"
"OOMRT3","OO","Male","Rapa","Thorax",3,"OOMRT"
"OOFCA1","OO","Female","Control","Abdomen",1,"OOFCA"
"OOFCA3","OO","Female","Control","Abdomen",3,"OOFCA"
"OOFCA4","OO","Female","Control","Abdomen",4,"OOFCA"
"OOFCH1","OO","Female","Control","Head",1,"OOFCH"
"OOFCH3","OO","Female","Control","Head",3,"OOFCH"
"OOFCH4","OO","Female","Control","Head",4,"OOFCH"
"OOFCT1","OO","Female","Control","Thorax",1,"OOFCT"
"OOFCT3","OO","Female","Control","Thorax",3,"OOFCT"
"OOFCT4","OO","Female","Control","Thorax",4,"OOFCT"
"OOFRA1","OO","Female","Rapa","Abdomen",1,"OOFRA"
"OOFRA5","OO","Female","Rapa","Abdomen",5,"OOFRA"
"OOFRA6","OO","Female","Rapa","Abdomen",6,"OOFRA"
"OOFRH1","OO","Female","Rapa","Head",1,"OOFRH"
"OOFRH5","OO","Female","Rapa","Head",5,"OOFRH"
"OOFRH6","OO","Female","Rapa","Head",6,"OOFRH"
"OOFRT1","OO","Female","Rapa","Thorax",1,"OOFRT"
"OOFRT5","OO","Female","Rapa","Thorax",5,"OOFRT"
"OOFRT6","OO","Female","Rapa","Thorax",6,"OOFRT"
"SOMCA1","SO","Male","Control","Abdomen",1,"SOMCA"
"SOMCA2","SO","Male","Control","Abdomen",2,"SOMCA"
"SOMCA3","SO","Male","Control","Abdomen",3,"SOMCA"
"SOMCH1","SO","Male","Control","Head",1,"SOMCH"
"SOMCH2","SO","Male","Control","Head",2,"SOMCH"
"SOMCH3","SO","Male","Control","Head",3,"SOMCH"
"SOMCT1","SO","Male","Control","Thorax",1,"SOMCT"
"SOMCT2","SO","Male","Control","Thorax",2,"SOMCT"
"SOMCT3","SO","Male","Control","Thorax",3,"SOMCT"
"SOMRA1","SO","Male","Rapa","Abdomen",1,"SOMRA"
"SOMRA2","SO","Male","Rapa","Abdomen",2,"SOMRA"
"SOMRA3","SO","Male","Rapa","Abdomen",3,"SOMRA"
"SOMRH1","SO","Male","Rapa","Head",1,"SOMRH"
"SOMRH2","SO","Male","Rapa","Head",2,"SOMRH"
"SOMRH3","SO","Male","Rapa","Head",3,"SOMRH"
"SOMRT1","SO","Male","Rapa","Thorax",1,"SOMRT"
"SOMRT2","SO","Male","Rapa","Thorax",2,"SOMRT"
"SOMRT3","SO","Male","Rapa","Thorax",3,"SOMRT"
"SOFCA1","SO","Female","Control","Abdomen",1,"SOFCA"
"SOFCA3","SO","Female","Control","Abdomen",3,"SOFCA"
"SOFCA5","SO","Female","Control","Abdomen",5,"SOFCA"
"SOFCH1","SO","Female","Control","Head",1,"SOFCH"
"SOFCH3","SO","Female","Control","Head",3,"SOFCH"
"SOFCH5","SO","Female","Control","Head",5,"SOFCH"
"SOFCT1","SO","Female","Control","Thorax",1,"SOFCT"
"SOFCT3","SO","Female","Control","Thorax",3,"SOFCT"
"SOFCT5","SO","Female","Control","Thorax",5,"SOFCT"
"SOFRA1","SO","Female","Rapa","Abdomen",1,"SOFRA"
"SOFRA3","SO","Female","Rapa","Abdomen",3,"SOFRA"
"SOFRA4","SO","Female","Rapa","Abdomen",4,"SOFRA"
"SOFRH1","SO","Female","Rapa","Head",1,"SOFRH"
"SOFRH3","SO","Female","Rapa","Head",3,"SOFRH"
"SOFRH4","SO","Female","Rapa","Head",4,"SOFRH"
"SOFRT1","SO","Female","Rapa","Thorax",1,"SOFRT"
"SOFRT3","SO","Female","Rapa","Thorax",3,"SOFRT"
"SOFRT4","SO","Female","Rapa","Thorax",4,"SOFRT"
