"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"483","GO:0001568",1.65514735363177e-20,1,57,600,"blood vessel development","BP",1.92198264726485e-16
"4730","GO:0010604",1.85875143450821e-20,1,139,2950,"positive regulation of macromolecule metabolic process","BP",1.92198264726485e-16
"726","GO:0001944",2.63117091439014e-20,1,58,627,"vasculature development","BP",1.92198264726485e-16
"4534","GO:0009893",7.59767566886482e-20,1,145,3210,"positive regulation of metabolic process","BP",4.16238661518759e-16
"12836","GO:0048514",1.40042711385403e-19,1,52,525,"blood vessel morphogenesis","BP",5.16351118137122e-16
"4747","GO:0010628",1.53003684698579e-19,1,104,1870,"positive regulation of gene expression","BP",5.16351118137122e-16
"12903","GO:0048646",1.80103668345875e-19,1,69,903,"anatomical structure formation involved in morphogenesis","BP",5.16351118137122e-16
"4577","GO:0010033",1.88500910153189e-19,1,131,2767,"response to organic substance","BP",5.16351118137122e-16
"16568","GO:0072359",4.25322642864085e-19,1,69,919,"circulatory system development","BP",1.03561337730262e-15
"9480","GO:0035239",5.06739336644031e-19,1,61,733,"tube morphogenesis","BP",1.11046858232173e-15
"14302","GO:0060255",1.10485218937776e-18,1,197,5339,"regulation of macromolecule metabolic process","BP",2.20106644345674e-15
"9517","GO:0035295",4.87002897997666e-18,1,66,890,"tube development","BP",8.89348458893404e-15
"455","GO:0001525",5.79179188311063e-18,1,46,450,"angiogenesis","BP",9.76317902511433e-15
"10455","GO:0042221",8.05811030353496e-18,1,149,3543,"response to chemical","BP",1.26132449422618e-14
"3635","GO:0007275",9.71043272261828e-18,1,167,4184,"multicellular organism development","BP",1.41862948455638e-14
"13474","GO:0051173",1.60423747657944e-17,1,124,2652,"positive regulation of nitrogen compound metabolic process","BP",2.19720375386011e-14
"4975","GO:0010941",4.54468378649125e-17,1,83,1416,"regulation of cell death","BP",5.85836473512761e-14
"13503","GO:0051239",5.47026639795688e-17,1,122,2624,"regulation of multicellular organismal process","BP",6.44067178997359e-14
"10868","GO:0043067",5.58422761748189e-17,1,79,1307,"regulation of programmed cell death","BP",6.44067178997359e-14
"4529","GO:0009888",6.91241359315046e-17,1,87,1513,"tissue development","BP",7.57393157401496e-14
"13225","GO:0050793",7.5893029779482e-17,1,109,2195,"regulation of developmental process","BP",7.9196183551789e-14
"7648","GO:0031325",8.53009363931274e-17,1,127,2813,"positive regulation of cellular metabolic process","BP",8.43912359498733e-14
"10810","GO:0042981",8.85734428605953e-17,1,78,1289,"regulation of apoptotic process","BP",8.43912359498733e-14
"7646","GO:0031323",1.73672166797159e-16,1,189,5204,"regulation of cellular metabolic process","BP",1.58577160966372e-13
"12835","GO:0048513",1.8271977950018e-16,1,124,2728,"animal organ development","BP",1.60164849918677e-13
"13472","GO:0051171",1.99843257206628e-16,1,180,4840,"regulation of nitrogen compound metabolic process","BP",1.68437120708694e-13
"12838","GO:0048518",2.07629942377076e-16,1,187,5171,"positive regulation of biological process","BP",1.68518613231527e-13
"16753","GO:0080090",2.62002228945034e-16,1,184,5015,"regulation of primary metabolic process","BP",2.05054173039339e-13
"21224","GO:2000026",2.75532631440252e-16,1,93,1733,"regulation of multicellular organismal development","BP",2.0820765811661e-13
"6371","GO:0019222",3.02800901321422e-16,1,202,5808,"regulation of metabolic process","BP",2.21185965051921e-13
"12842","GO:0048522",3.72329322173157e-16,1,175,4695,"positive regulation of cellular process","BP",2.63200798906534e-13
"13010","GO:0048856",4.08385974251547e-16,1,173,4577,"anatomical structure development","BP",2.79667819992137e-13
"13417","GO:0051094",7.88517393695972e-16,1,72,1153,"positive regulation of developmental process","BP",5.0405948644605e-13
"13296","GO:0050896",7.90030295851292e-16,1,227,7019,"response to stimulus","BP",5.0405948644605e-13
"12839","GO:0048519",8.0683012349636e-16,1,172,4617,"negative regulation of biological process","BP",5.0405948644605e-13
"10416","GO:0042127",8.28061582187542e-16,1,79,1357,"regulation of cell population proliferation","BP",5.0405948644605e-13
"12843","GO:0048523",9.23446656722821e-16,1,160,4114,"negative regulation of cellular process","BP",5.46930000957403e-13
"12957","GO:0048731",1.20012479536024e-15,1,151,3766,"system development","BP",6.92093020145378e-13
"15730","GO:0070887",1.29309517244476e-15,1,122,2756,"cellular response to chemical stimulus","BP",7.26586861768063e-13
"3450","GO:0006954",2.0847735255128e-15,1,50,634,"inflammatory response","BP",1.14214317595219e-12
"4532","GO:0009891",2.91033419176294e-15,1,88,1644,"positive regulation of biosynthetic process","BP",1.55553813361691e-12
"13226","GO:0050794",4.61531441042367e-15,1,259,8630,"regulation of cellular process","BP",2.40809523785772e-12
"8310","GO:0032501",4.95130513460382e-15,1,192,5495,"multicellular organismal process","BP",2.52332327255135e-12
"3890","GO:0008219",5.80509527112953e-15,1,92,1817,"cell death","BP",2.89120131298937e-12
"15943","GO:0071310",6.00944456149253e-15,1,106,2254,"cellular response to organic substance","BP",2.92646595823439e-12
"12005","GO:0045944",7.621550415125e-15,1,63,949,"positive regulation of transcription by RNA polymerase II","BP",3.63084034341411e-12
"3924","GO:0008283",7.81920394502563e-15,1,85,1589,"cell population proliferation","BP",3.64574543087855e-12
"8311","GO:0032502",8.92565470436693e-15,1,179,4971,"developmental process","BP",4.02823625208562e-12
"7651","GO:0031328",9.0071906704479e-15,1,86,1614,"positive regulation of cellular biosynthetic process","BP",4.02823625208562e-12
"12870","GO:0048583",1.02580857726755e-14,1,143,3600,"regulation of response to stimulus","BP",4.49591383244824e-12
"4479","GO:0009653",1.28038271480143e-14,1,104,2177,"anatomical structure morphogenesis","BP",5.50162878669775e-12
"4766","GO:0010648",1.54010848952106e-14,1,71,1195,"negative regulation of cell communication","BP",6.49037258449318e-12
"6971","GO:0023057",1.75622640171487e-14,1,71,1198,"negative regulation of signaling","BP",7.26149912588295e-12
"7064","GO:0030154",2.42482790202251e-14,1,132,3180,"cell differentiation","BP",9.84031086017061e-12
"4666","GO:0010468",2.65935795152798e-14,1,153,4004,"regulation of gene expression","BP",1.05958491181426e-11
"11796","GO:0045595",2.99896047461153e-14,1,82,1529,"regulation of cell differentiation","BP",1.17355749715423e-11
"4704","GO:0010557",3.45692556775292e-14,1,82,1528,"positive regulation of macromolecule biosynthetic process","BP",1.32903626125855e-11
