"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"2648","GO:0005730",1.16749931768233e-15,1,360,877,"nucleolus","CC",1.38818339395619e-11
"9005","GO:0034097",1.26693747737172e-15,1,415,1038,"response to cytokine","BP",1.38818339395619e-11
"4747","GO:0010628",2.3680126670734e-15,1,701,1870,"positive regulation of gene expression","BP",1.72975431954155e-11
"4534","GO:0009893",5.09031801602538e-15,1,1126,3210,"positive regulation of metabolic process","BP",2.7887307250795e-11
"6370","GO:0019221",1.30823658213077e-14,1,281,668,"cytokine-mediated signaling pathway","BP",5.07464567709943e-11
"15963","GO:0071345",1.38942566681558e-14,1,384,961,"cellular response to cytokine stimulus","BP",5.07464567709943e-11
"4730","GO:0010604",4.66724899524479e-14,1,1038,2950,"positive regulation of macromolecule metabolic process","BP",1.4611156354542e-10
"2597","GO:0005634",1.79906851928725e-13,1,2052,6324,"nucleus","CC",4.9280984414576e-10
"4577","GO:0010033",2.10539756427642e-13,1,969,2767,"response to organic substance","BP",5.07371067788561e-10
"7345","GO:0030684",2.31528277716784e-13,1,53,76,"preribosome","CC",5.07371067788561e-10
"7648","GO:0031325",3.12007695871785e-13,1,989,2813,"positive regulation of cellular metabolic process","BP",6.21576058848572e-10
"15943","GO:0071310",3.8532802513582e-13,1,808,2254,"cellular response to organic substance","BP",6.28652945758235e-10
"1582","GO:0003723",3.95042521356562e-13,1,565,1545,"RNA binding","MF",6.28652945758235e-10
"7646","GO:0031323",4.01621850899666e-13,1,1726,5204,"regulation of cellular metabolic process","BP",6.28652945758235e-10
"12839","GO:0048519",5.97182979534284e-13,1,1539,4617,"negative regulation of biological process","BP",8.72444520900954e-10
"7973","GO:0031981",7.47670587596434e-13,1,1440,4300,"nuclear lumen","CC",1.02402832853677e-09
"14302","GO:0060255",8.39444626386465e-13,1,1759,5339,"regulation of macromolecule metabolic process","BP",1.08209350250782e-09
"13474","GO:0051173",1.08260937863906e-12,1,934,2652,"positive regulation of nitrogen compound metabolic process","BP",1.31801677352757e-09
"5584","GO:0016070",2.13637643594225e-12,1,1311,3892,"RNA metabolic process","BP",2.46402911669676e-09
"2607","GO:0005654",2.31205671148473e-12,1,1229,3622,"nucleoplasm","CC",2.53332053877382e-09
"4665","GO:0010467",3.93516295138395e-12,1,1604,4882,"gene expression","BP",4.10643623412514e-09
"13472","GO:0051171",4.17068099394631e-12,1,1606,4840,"regulation of nitrogen compound metabolic process","BP",4.15437742278816e-09
"4666","GO:0010468",5.93861422606766e-12,1,1346,4004,"regulation of gene expression","BP",5.65820835434986e-09
"16753","GO:0080090",7.00874063012524e-12,1,1657,5015,"regulation of primary metabolic process","BP",6.39956425702352e-09
"4532","GO:0009891",1.02941583169351e-11,1,606,1644,"positive regulation of biosynthetic process","BP",9.02344741429264e-09
"6371","GO:0019222",1.16638021124017e-11,1,1888,5808,"regulation of metabolic process","BP",9.71457981875869e-09
"7651","GO:0031328",1.19692276675406e-11,1,596,1614,"positive regulation of cellular biosynthetic process","BP",9.71457981875869e-09
"13514","GO:0051254",1.6462729400133e-11,1,522,1382,"positive regulation of RNA metabolic process","BP",1.28844375740898e-08
"6919","GO:0022613",1.93216592506647e-11,1,184,433,"ribonucleoprotein complex biogenesis","BP",1.46005117523816e-08
"2541","GO:0005515",2.41395092375408e-11,1,3392,11109,"protein binding","MF",1.76331068477156e-08
