"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"18178","GO:1901360",3.11948348876695e-15,1,930,4345,"organic cyclic compound metabolic process","BP",6.52724223221867e-11
"16752","GO:0097159",6.16039095108175e-15,1,912,4230,"organic cyclic compound binding","MF",6.52724223221867e-11
"10146","GO:0042254",9.28858357500903e-15,1,100,285,"ribosome biogenesis","BP",6.56114581793388e-11
"18181","GO:1901363",1.69805894343963e-14,1,898,4169,"heterocyclic compound binding","MF",8.99589176760728e-11
"6757","GO:0022613",2.56961785556266e-14,1,126,394,"ribonucleoprotein complex biogenesis","BP",1.08905543954457e-10
"5437","GO:0016070",6.04387692156999e-14,1,724,3277,"RNA metabolic process","BP",2.1345965974165e-10
"2584","GO:0005730",9.63777869054051e-14,1,208,746,"nucleolus","CC",2.91763097473206e-10
"3237","GO:0006725",1.66098657338527e-13,1,888,4178,"cellular aromatic compound metabolic process","BP",4.39974580957592e-10
"15483","GO:0071345",1.94138400584615e-13,1,173,580,"cellular response to cytokine stimulus","BP",4.57109649643176e-10
"11846","GO:0046483",1.43521346105378e-12,1,872,4126,"heterocycle metabolic process","BP",2.76131592224543e-09
"9049","GO:0034641",1.46321114526409e-12,1,958,4631,"cellular nitrogen compound metabolic process","BP",2.76131592224543e-09
"4471","GO:0010033",1.56367283596551e-12,1,487,2092,"response to organic substance","BP",2.76131592224543e-09
"8772","GO:0034097",2.5098862696184e-12,1,188,665,"response to cytokine","BP",3.88441225725209e-09
"3370","GO:0006950",2.56626735885655e-12,1,597,2681,"response to stress","BP",3.88441225725209e-09
"2841","GO:0006139",2.90472775672289e-12,1,850,4018,"nucleobase-containing compound metabolic process","BP",3.94026319483665e-09
"9064","GO:0034660",2.97504653472636e-12,1,127,412,"ncRNA metabolic process","BP",3.94026319483665e-09
"8984","GO:0034470",3.54321411674876e-12,1,110,344,"ncRNA processing","BP",4.41672060870723e-09
"2965","GO:0006364",3.89488553000739e-12,1,73,200,"rRNA processing","BP",4.58536218146592e-09
"2983","GO:0006396",4.49430201054317e-12,1,212,795,"RNA processing","BP",5.01256599502213e-09
"3393","GO:0006986",5.60764227773873e-12,1,49,104,"response to unfolded protein","BP",5.94157737537807e-09
"5439","GO:0016072",9.90978940810251e-12,1,74,207,"rRNA metabolic process","BP",9.99992130224287e-09
"16508","GO:0090304",1.86319046041574e-11,1,779,3659,"nucleic acid metabolic process","BP",1.79467586575773e-08
"10621","GO:0043231",2.02725389785436e-11,1,1620,8469,"intracellular membrane-bounded organelle","CC",1.81488883586153e-08
"10140","GO:0042221",2.05546373746764e-11,1,601,2716,"response to chemical","BP",1.81488883586153e-08
"2534","GO:0005634",2.56431564091198e-11,1,1133,5637,"nucleus","CC",2.17361650986263e-08
"1535","GO:0003676",3.12401705105759e-11,1,582,2638,"nucleic acid binding","MF",2.5461940511139e-08
"3371","GO:0006952",3.44103913635742e-11,1,264,1051,"defense response","BP",2.70070593846482e-08
"1557","GO:0003723",4.57435380760152e-11,1,249,989,"RNA binding","MF",3.46196898346013e-08
"10617","GO:0043227",1.11513307400081e-10,1,1693,8922,"membrane-bounded organelle","CC",8.14854654177625e-08
"7162","GO:0030684",2.03101205411981e-10,0.999999999964172,38,78,"preribosome","CC",1.43463921462843e-07
"15461","GO:0071310",2.12588171129812e-10,1,390,1659,"cellular response to organic substance","BP",1.45321159174576e-07
"4556","GO:0010467",2.69327113778763e-10,1,876,4268,"gene expression","BP",1.7835346462768e-07
"9637","GO:0035966",3.5367101265744e-10,0.99999999991881,53,128,"response to topologically incorrect protein","BP",2.27110376643146e-07
"16228","GO:0080090",5.444316645148e-10,1,885,4270,"regulation of primary metabolic process","BP",3.39325041256856e-07
"4358","GO:0009607",8.27741672952166e-10,1,236,950,"response to biotic stimulus","BP",5.0116210832941e-07
"15263","GO:0070887",1.1809135630284e-09,1,473,2112,"cellular response to chemical stimulus","BP",6.95131647614859e-07
"4430","GO:0009893",1.37179213700474e-09,1,614,2841,"positive regulation of metabolic process","BP",7.85666139872092e-07
"4364","GO:0009617",2.12775254014205e-09,1,127,455,"response to bacterium","BP",1.14156691166579e-06
"10606","GO:0043207",2.15481461312027e-09,1,229,926,"response to external biotic stimulus","BP",1.14156691166579e-06
"13335","GO:0051707",2.15481461312027e-09,1,229,926,"response to other organism","BP",1.14156691166579e-06
"4357","GO:0009605",2.95692464548613e-09,1,398,1754,"response to external stimulus","BP",1.5282973210365e-06
"3790","GO:0008202",4.97746653605581e-09,1,81,248,"steroid metabolic process","BP",2.51136888965616e-06
"11087","GO:0044419",5.93496677888664e-09,1,266,1117,"interspecies interaction between organisms","BP",2.92483444212528e-06
"18180","GO:1901362",6.49176130069267e-09,1,627,2947,"organic cyclic compound biosynthetic process","BP",3.12652076643133e-06
"2533","GO:0005622",6.77625340686087e-09,1,1957,10592,"intracellular","CC",3.1910130209953e-06
"7463","GO:0031323",8.76409739695943e-09,1,906,4442,"regulation of cellular metabolic process","BP",4.03739104215146e-06
"9036","GO:0034620",9.06795361847135e-09,0.999999997822051,36,78,"cellular response to unfolded protein","BP",4.08848947083035e-06
"3373","GO:0006954",1.19735090203361e-08,1,136,500,"inflammatory response","BP",5.27619207048443e-06
"4426","GO:0009889",1.22001515480033e-08,1,635,2989,"regulation of biosynthetic process","BP",5.27619207048443e-06
"10993","GO:0044237",1.38405492050083e-08,1,1457,7612,"cellular metabolic process","BP",5.8659015640666e-06
"6204","GO:0019221",2.1427160944242e-08,1,82,261,"cytokine-mediated signaling pathway","BP",8.90319544253788e-06
"4123","GO:0009058",2.92819788416354e-08,1,860,4271,"biosynthetic process","BP",1.19329694929441e-05
"18251","GO:1901576",3.29180987791687e-08,1,846,4197,"organic substance biosynthetic process","BP",1.3161649645837e-05
"7772","GO:0031981",3.67502922223581e-08,1,709,3458,"nuclear lumen","CC",1.44217674534072e-05
"6205","GO:0019222",3.79132784010202e-08,1,982,4896,"regulation of metabolic process","BP",1.46076415017458e-05
"7465","GO:0031325",4.1137237505184e-08,1,539,2506,"positive regulation of cellular metabolic process","BP",1.55667714280777e-05
"10994","GO:0044238",4.66239950144505e-08,1,1416,7385,"primary metabolic process","BP",1.7333492602653e-05
"3166","GO:0006631",5.54821103422565e-08,1,98,334,"fatty acid metabolic process","BP",2.027105862522e-05
"16236","GO:0080134",5.67599401070719e-08,1,249,1039,"regulation of response to stress","BP",2.03864388272705e-05
"7276","GO:0030968",6.08392630238265e-08,0.99999998671022,29,60,"endoplasmic reticulum unfolded protein response","BP",2.1273459686949e-05
"13056","GO:0051171",6.12373668493175e-08,1,843,4139,"regulation of nitrogen compound metabolic process","BP",2.1273459686949e-05
"14750","GO:0062012",6.4487429530429e-08,1,88,291,"regulation of small molecule metabolic process","BP",2.20411793416019e-05
