"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"3165","GO:0006629",1.81104691110742e-15,1,326,1041,"lipid metabolic process","BP",3.83778950932774e-11
"3166","GO:0006631",3.64182546937205e-13,1,128,334,"fatty acid metabolic process","BP",3.85869617607316e-09
"3790","GO:0008202",6.47253242946608e-13,1,102,248,"steroid metabolic process","BP",4.57198115709386e-09
"8275","GO:0032787",2.38202358633303e-12,1,173,503,"monocarboxylic acid metabolic process","BP",1.05039315407972e-08
"10140","GO:0042221",2.47839449313321e-12,1,714,2716,"response to chemical","BP",1.05039315407972e-08
"11013","GO:0044281",1.01088108905881e-11,1,398,1410,"small molecule metabolic process","BP",3.5702635263742e-08
"2806","GO:0006082",2.4558915652908e-11,1,256,833,"organic acid metabolic process","BP",7.43468545143963e-08
"11000","GO:0044255",3.92060171133597e-11,1,246,799,"cellular lipid metabolic process","BP",9.56796802205688e-08
"6356","GO:0019752",4.06359832940927e-11,1,242,783,"carboxylic acid metabolic process","BP",9.56796802205688e-08
"4471","GO:0010033",7.53477792863447e-11,1,560,2092,"response to organic substance","BP",1.59669479085693e-07
"9119","GO:0034754",1.42045149555519e-10,0.999999999974212,43,79,"cellular hormone metabolic process","BP",2.73643524021e-07
"10744","GO:0043436",1.5806408175853e-10,1,248,816,"oxoacid metabolic process","BP",2.79127996378751e-07
"15263","GO:0070887",2.43594616001159e-10,1,561,2112,"cellular response to chemical stimulus","BP",3.97077962129273e-07
"11015","GO:0044283",6.04321683900336e-10,1,160,490,"small molecule biosynthetic process","BP",9.14727200252288e-07
"3373","GO:0006954",6.87938240129408e-10,1,162,500,"inflammatory response","BP",9.71873283105485e-07
"4357","GO:0009605",1.78286530406033e-09,1,469,1754,"response to external stimulus","BP",2.36129366614641e-06
"4426","GO:0009889",7.30964595901704e-09,1,753,2989,"regulation of biosynthetic process","BP",9.00782344720057e-06
"18313","GO:1901700",7.65140021941438e-09,1,304,1076,"response to oxygen-containing compound","BP",9.00782344720057e-06
"4024","GO:0008610",9.1797459568699e-09,1,150,466,"lipid biosynthetic process","BP",1.02383156090542e-05
"4364","GO:0009617",1.0089377490724e-08,1,144,455,"response to bacterium","BP",1.02796832980635e-05
"10244","GO:0042445",1.01870298362198e-08,0.99999999658626,57,130,"hormone metabolic process","BP",1.02796832980635e-05
"3371","GO:0006952",1.07102858505254e-08,1,294,1051,"defense response","BP",1.03164394299311e-05
"12034","GO:0046890",1.7095487058588e-08,0.99999999379541,62,148,"regulation of lipid biosynthetic process","BP",1.57508898373277e-05
"10132","GO:0042180",2.69038867721158e-08,0.999999989401823,69,173,"cellular ketone metabolic process","BP",2.37550110244961e-05
"3370","GO:0006950",2.86625968054751e-08,1,672,2681,"response to stress","BP",2.42955635561929e-05
"3219","GO:0006694",6.04060344381134e-08,0.99999997907812,53,124,"steroid biosynthetic process","BP",4.92332413760793e-05
"7206","GO:0030855",6.39692497443182e-08,1,135,413,"epithelial cell differentiation","BP",5.02063841234018e-05
"15461","GO:0071310",8.3634845050345e-08,1,439,1659,"cellular response to organic substance","BP",6.23745707607576e-05
"7466","GO:0031326",8.53599429975919e-08,1,729,2924,"regulation of cellular biosynthetic process","BP",6.23745707607576e-05
"10993","GO:0044237",1.15218067449183e-07,1,1731,7612,"cellular metabolic process","BP",8.13862022438548e-05
"6199","GO:0019216",1.25588269904836e-07,1,101,297,"regulation of lipid metabolic process","BP",8.30115214674026e-05
"10606","GO:0043207",1.29270926734193e-07,1,257,926,"response to external biotic stimulus","BP",8.30115214674026e-05
"13335","GO:0051707",1.29270926734193e-07,1,257,926,"response to other organism","BP",8.30115214674026e-05
"4857","GO:0010941",1.36824606168106e-07,1,348,1298,"regulation of cell death","BP",8.52779479208332e-05
"357","GO:0000977",1.50858324205687e-07,1,260,909,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF",9.1338249949792e-05
"10176","GO:0042304",2.4571536934543e-07,0.999999958623545,23,38,"regulation of fatty acid biosynthetic process","BP",0.000144637621994417
"8772","GO:0034097",2.80697425654862e-07,1,194,665,"response to cytokine","BP",0.00016076376073114
"18265","GO:1901615",2.94930376264246e-07,1,121,378,"organic hydroxy compound metabolic process","BP",0.000164470252721464
"2959","GO:0006357",3.25683107690979e-07,1,462,1769,"regulation of transcription by RNA polymerase II","BP",0.000176962839361013
"4386","GO:0009725",3.89374788599889e-07,1,158,517,"response to hormone","BP",0.000206281028630506
"4757","GO:0010817",4.78444331382811e-07,1,114,351,"regulation of hormone levels","BP",0.000247285703081296
"3220","GO:0006695",5.44279491416923e-07,0.999999889372479,25,45,"cholesterol biosynthetic process","BP",0.000262716158770708
"18650","GO:1902653",5.44279491416923e-07,0.999999889372479,25,45,"secondary alcohol biosynthetic process","BP",0.000262716158770708
"4358","GO:0009607",5.45491528758019e-07,1,259,950,"response to biotic stimulus","BP",0.000262716158770708
"2798","GO:0006066",5.87881644294945e-07,1,90,266,"alcohol metabolic process","BP",0.000273355201350522
"8739","GO:0033993",5.93381117555755e-07,1,159,530,"response to lipid","BP",0.000273355201350522
"2966","GO:0006366",6.11297409602532e-07,0.999999737014969,473,1821,"transcription by RNA polymerase II","BP",0.000275617093763559
"10994","GO:0044238",7.96545110821993e-07,0.999999523767433,1682,7385,"primary metabolic process","BP",0.000351658071738101
"3124","GO:0006575",8.84059903934321e-07,0.999999653218261,53,137,"cellular modified amino acid metabolic process","BP",0.00038232884539331
"3279","GO:0006805",9.78553449394789e-07,0.999999697780798,37,82,"xenobiotic metabolic process","BP",0.000413657010503192
"17704","GO:0120254",1.01011939521963e-06,0.999999664831789,41,93,"olefinic compound metabolic process","BP",0.000413657010503192
"5466","GO:0016126",1.01506132538181e-06,0.999999772418616,26,49,"sterol biosynthetic process","BP",0.000413657010503192
"6200","GO:0019217",1.09751118334059e-06,0.999999667603157,36,78,"regulation of fatty acid metabolic process","BP",0.000438818103512649
