"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"8702","GO:0033764",3.50018639763722e-10,0.999999999982312,12,30,"steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF",7.41724499523302e-06
"2625","GO:0005783",9.32885553028218e-10,1,95,1336,"endoplasmic reticulum","CC",9.88438887711048e-06
"3219","GO:0006694",1.91430866597157e-09,0.99999999968049,22,124,"steroid biosynthetic process","BP",1.35220383135345e-05
"5508","GO:0016229",5.58198144815018e-09,0.999999999594177,12,37,"steroid dehydrogenase activity","MF",2.95719422169376e-05
"5639","GO:0016491",4.52505429452138e-08,1,52,639,"oxidoreductase activity","MF",0.000191780851110405
"3790","GO:0008202",1.08048649110582e-07,0.99999997029855,29,248,"steroid metabolic process","BP",0.000328977774776045
"5709","GO:0016614",1.08670870814606e-07,0.999999979443561,19,119,"oxidoreductase activity, acting on CH-OH group of donors","MF",0.000328977774776045
"5711","GO:0016616",1.77303532589827e-07,0.99999996720353,18,111,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF",0.000469654894888877
"1594","GO:0003854",2.80336353248843e-07,0.999999995152329,6,9,"3-beta-hydroxy-delta5-steroid dehydrogenase activity","MF",0.000649296749269076
"2806","GO:0006082",3.06402127917076e-07,1,62,833,"organic acid metabolic process","BP",0.000649296749269076
"6356","GO:0019752",5.55680379309961e-07,0.999999825409184,59,783,"carboxylic acid metabolic process","BP",0.00107049299254158
"3220","GO:0006695",8.12259220373183e-07,0.999999910187585,11,45,"cholesterol biosynthetic process","BP",0.00132404501068678
"18650","GO:1902653",8.12259220373183e-07,0.999999910187585,11,45,"secondary alcohol biosynthetic process","BP",0.00132404501068678
"11013","GO:0044281",9.98001369738477e-07,0.999999649965734,89,1410,"small molecule metabolic process","BP",0.00143798766748548
"10744","GO:0043436",1.01787622161683e-06,0.999999673941068,60,816,"oxoacid metabolic process","BP",0.00143798766748548
"11736","GO:0046165",1.36135184654271e-06,0.999999722221616,17,113,"alcohol biosynthetic process","BP",0.00180302543625542
"5466","GO:0016126",1.97571749884272e-06,0.999999756716831,11,49,"sterol biosynthetic process","BP",0.00213255435527187
"13177","GO:0051385",2.00109845711224e-06,0.999999972612644,5,7,"response to mineralocorticoid","BP",0.00213255435527187
"13188","GO:0051412",2.00109845711224e-06,0.999999972612644,5,7,"response to corticosterone","BP",0.00213255435527187
"9119","GO:0034754",2.01269817872858e-06,0.999999657673895,14,79,"cellular hormone metabolic process","BP",0.00213255435527187
"11015","GO:0044283",2.20995657752418e-06,0.999999127800304,41,490,"small molecule biosynthetic process","BP",0.00215650914368159
"5822","GO:0016829",2.23883729701264e-06,0.999999446102291,20,158,"lyase activity","MF",0.00215650914368159
"10244","GO:0042445",3.1631776880842e-06,0.999999270891718,18,130,"hormone metabolic process","BP",0.00291438688644314
"5842","GO:0016860",3.33101891774712e-06,0.99999962045393,10,43,"intramolecular oxidoreductase activity","MF",0.0029411509119158
"4024","GO:0008610",4.77244716047451e-06,0.999998085023041,39,466,"lipid biosynthetic process","BP",0.00404531711110462
"3165","GO:0006629",1.23270507273441e-05,0.999993741412204,68,1041,"lipid metabolic process","BP",0.00995683823482306
"3124","GO:0006575",1.26862645623247e-05,0.999996880047258,17,137,"cellular modified amino acid metabolic process","BP",0.00995683823482306
"10128","GO:0042175",1.31898817393062e-05,0.999994370348859,40,509,"nuclear outer membrane-endoplasmic reticulum membrane network","CC",0.00996193851731135
"13686","GO:0055114",1.36329676278623e-05,0.999993705087011,50,720,"oxidation-reduction process","BP",0.00996193851731135
"3166","GO:0006631",1.63379016609375e-05,0.999993904689008,30,334,"fatty acid metabolic process","BP",0.0115405491365642
"1577","GO:0003824",1.73179391995205e-05,0.999988942536765,218,4486,"catalytic activity","MF",0.0118382080508722
"5781","GO:0016765",2.03646720635247e-05,0.999997022104888,10,57,"transferase activity, transferring alkyl or aryl (other than methyl) groups","MF",0.0134858676780672
"11000","GO:0044255",2.1864057749279e-05,0.999989240464023,55,799,"cellular lipid metabolic process","BP",0.0140400378110597
"5751","GO:0016709",2.53939087842653e-05,0.99999675284685,9,41,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","MF",0.0158271270896284
"18265","GO:1901615",2.77093217767896e-05,0.99998897350518,32,378,"organic hydroxy compound metabolic process","BP",0.0167768067934842
"9066","GO:0034663",3.27159844416699e-05,0.99999870773374,5,11,"endoplasmic reticulum chaperone complex","CC",0.0192579007306508
"12644","GO:0050051",3.37965871918548e-05,0.999999453940052,4,6,"leukotriene-B4 20-monooxygenase activity","MF",0.0193563102481782
"3794","GO:0008207",3.56260158405708e-05,0.999996000319611,8,33,"C21-steroid hormone metabolic process","BP",0.019531646277575
"2798","GO:0006066",3.59461188629807e-05,0.999987347011785,25,266,"alcohol metabolic process","BP",0.019531646277575
"8275","GO:0032787",6.75907369992663e-05,0.999969424563695,38,503,"monocarboxylic acid metabolic process","BP",0.0358078826937863
"18649","GO:1902652",6.98983125307835e-05,0.999982053838418,15,122,"secondary alcohol metabolic process","BP",0.0361271985570691
"3249","GO:0006749",7.99442036674042e-05,0.999987704099343,9,54,"glutathione metabolic process","BP",0.0403356576170468
"5845","GO:0016863",8.87919224548518e-05,0.999995160255447,5,14,"intramolecular oxidoreductase activity, transposing C=C bonds","MF",0.0437084743738563
"18267","GO:1901617",9.07542292694861e-05,0.999972476501758,18,168,"organic hydroxy compound biosynthetic process","BP",0.0437084743738563
"5837","GO:0016853",0.000117588959904693,0.999968202798379,15,131,"isomerase activity","MF",0.0553739477631189
"1569","GO:0003756",0.000227826847401481,0.999984394296933,5,15,"protein disulfide isomerase activity","MF",0.100646354098882
"5846","GO:0016864",0.000227826847401481,0.999984394296933,5,15,"intramolecular oxidoreductase activity, transposing S-S bonds","MF",0.100646354098882
"12843","GO:0050830",0.000227975319557659,0.999954210378902,10,72,"defense response to Gram-positive bacterium","BP",0.100646354098882
"4130","GO:0009066",0.000246035647769668,0.999968159340014,7,34,"aspartate family amino acid metabolic process","BP",0.106402885956878
"2631","GO:0005789",0.000255092491367053,0.99988020460009,35,486,"endoplasmic reticulum membrane","CC",0.108113299691184
"14811","GO:0070059",0.000278307066300812,0.999949125499404,9,56,"intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","BP",0.115639314548637
"9147","GO:0034976",0.000341229023350111,0.99987614346172,20,219,"response to endoplasmic reticulum stress","BP",0.137688147643944
"1941","GO:0004497",0.000344366562461848,0.999907541491405,13,109,"monooxygenase activity","MF",0.137688147643944
"5748","GO:0016705",0.000352266111442783,0.99988433715734,17,168,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF",0.138238354955259
"12100","GO:0047023",0.000369320140139838,0.999982765301208,4,10,"androsterone dehydrogenase activity","MF",0.14229569254006
"3791","GO:0008203",0.000401413997382028,0.999890229425406,13,113,"cholesterol metabolic process","BP",0.151899357473617
"6747","GO:0022417",0.000422583453089782,0.999992346790246,3,5,"protein maturation by protein folding","BP",0.156688853289806
"10132","GO:0042180",0.00042885911428478,0.999856524618076,17,173,"cellular ketone metabolic process","BP",0.156688853289806
"3846","GO:0008295",0.000453114680132517,0.999991591996255,3,5,"spermidine biosynthetic process","BP",0.16109244638597
"9637","GO:0035966",0.000460576640357515,0.999864595005264,14,128,"response to topologically incorrect protein","BP",0.16109244638597
"10438","GO:0042832",0.000463717579611351,0.999946482135544,6,26,"defense response to protozoan","BP",0.16109244638597
"6986","GO:0030292",0.000549020291883527,0.999989106215545,3,5,"protein tyrosine kinase inhibitor activity","MF",0.187649822666191
"4132","GO:0009068",0.000583637067905162,0.99996795452231,4,11,"aspartate family amino acid catabolic process","BP",0.196315128666322
"4757","GO:0010817",0.000626475708038522,0.999721791274978,27,351,"regulation of hormone levels","BP",0.207431980141317
"3728","GO:0008106",0.000680555536865079,0.999936149406467,5,20,"alcohol dehydrogenase (NADP+) activity","MF",0.221871575103198
"5465","GO:0016125",0.000700086480301068,0.999796043210864,13,120,"sterol metabolic process","BP",0.223240960692094
"3768","GO:0008172",0.000710385554643922,0.999981703546173,3,6,"S-methyltransferase activity","MF",0.223240960692094
"11223","GO:0045047",0.000716360026759587,0.999907340878448,6,32,"protein targeting to ER","BP",0.223240960692094
"3393","GO:0006986",0.00073603188295786,0.99979759985695,12,104,"response to unfolded protein","BP",0.226047125097971
"8621","GO:0033559",0.00079717885012739,0.999793866186157,11,92,"unsaturated fatty acid metabolic process","BP",0.241328814472136
"2476","GO:0005496",0.000833976968772478,0.999800571323293,10,79,"steroid binding","MF",0.24843208766424
"473","GO:0001562",0.00084408995855907,0.999888749880687,6,29,"response to protozoan","BP",0.24843208766424
