"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ensembl","symbol"
"1371","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000097007","ABL1"
"137.1","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000115170","ACVR1"
"137.2","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000135503","ACVR1B"
"137.3","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000151150","ANK3"
"137.4","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000135046","ANXA1"
"137.5","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000134982","APC"
"137.6","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000100823","APEX1"
"137.7","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000142192","APP"
"137.8","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000143761","ARF1"
"137.9","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000067560","RHOA"
"137.10","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000143878","RHOB"
"137.11","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000155366","RHOC"
"137.12","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000138175","ARL3"
"137.13","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000139352","ASCL1"
"137.14","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000070669","ASNS"
"137.15","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000149311","ATM"
"137.16","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000085224","ATRX"
"137.17","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000156273",NA
"137.18","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000087088","BAX"
"137.19","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000140463","BBS4"
"137.20","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000060982","BCAT1"
"137.21","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000110092","CCND1"
"137.22","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000171791","BCL2"
"137.23","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000171552","BCL2L1"
"137.24","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000113916","BCL6"
"137.25","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000015475","BID"
"137.26","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000197299","BLM"
"137.27","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000125378","BMP4"
"137.28","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000012048","BRCA1"
"137.29","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000139618","BRCA2"
"137.30","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000185650","ZFP36L1"
"137.31","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000152518","ZFP36L2"
"137.32","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000174808","BTC"
"137.33","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000133639","BTG1"
"137.34","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000169679","BUB1"
"137.35","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000156970","BUB1B"
"137.36","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000143933","CALM2"
"137.37","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000106144","CASP2"
"137.38","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000105971","CAV2"
"137.39","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000145386","CCNA2"
"137.40","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000134057","CCNB1"
"137.41","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000118971","CCND2"
"137.42","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000112576","CCND3"
"137.43","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000105173","CCNE1"
"137.44","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000162063","CCNF"
"137.45","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000113328","CCNG1"
"137.46","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000138764","CCNG2"
"137.47","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000178562","CD28"
"137.48","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000170312","CDK1"
"137.49","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000248333","CDK11B"
"137.50","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000096401","CDC5L"
"137.51","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000122545","SEPT7"
"137.52","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000094804","CDC6"
"137.53","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000117399","CDC20"
"137.54","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000164045","CDC25A"
"137.55","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000101224","CDC25B"
"137.56","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000158402","CDC25C"
"137.57","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000004897","CDC27"
"137.58","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000099804","CDC34"
"137.59","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000140945","CDH13"
"137.60","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000123374","CDK2"
"137.61","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000135446","CDK4"
"137.62","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000105810","CDK6"
"137.63","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000124762","CDKN1A"
"137.64","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000111276","CDKN1B"
"137.65","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000147889","CDKN2A"
"137.66","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000147883","CDKN2B"
"137.67","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000123080","CDKN2C"
"137.68","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000129355","CDKN2D"
"137.69","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000100526","CDKN3"
"137.70","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000115163","CENPA"
"137.71","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000145241","CENPC"
"137.72","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000138778","CENPE"
"137.73","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000117724","CENPF"
"137.74","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000147400","CETN2"
"137.75","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000153140","CETN3"
"137.76","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000172757","CFL1"
"137.77","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000180198","RCC1"
"137.78","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000149554","CHEK1"
"137.79","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000053254","FOXN3"
"137.80","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000173207","CKS1B"
"137.81","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000123975","CKS2"
"137.82","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000141367","CLTC"
"137.83","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000173846","PLK3"
"137.84","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000115966","ATF2"
"137.85","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000141551","CSNK1D"
"137.86","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000213923","CSNK1E"
"137.87","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000168036","CTNNB1"
"137.88","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000083799","CYLD"
