© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
POR	1.018	enzyme	Activated	2.878	5.11E-29	1.18E-25	ACADL,ACAT2,ACLY,Acot1,ADH4,Akr1c14,Aldh1a7,APOA4,AQP8,CPT1A,CYB5B,CYP1A1,CYP1A2,CYP26A1,CYP2C18,CYP2C8,CYP4A11,CYP7A1,DHCR7,EHHADH,ELOVL5,ETHE1,FABP2,FDFT1,FDPS,FGL1,GCK,GSTA5,Gstm3,Gstm6,HADHB,HMGCS1,HMOX1,HSD3B1,Hsd3b4 (includes others),HSPH1,KDR,LSS,MVK,NR0B2,NRG4,NSDHL,PMVK,POR,RETSAT,SC5D,SLC22A5,SLC23A2,VNN1	 
PPARA	 	ligand-dependent nuclear receptor	Activated	2.740	2.12E-22	2.44E-19	ABCB11,ABCG5,ABCG8,ACAA1,ACADL,ACAT2,Acot1,ACOT2,ANGPTL4,APOA4,AQP8,CDKN1A,CEBPB,CHRNA2,CPT1A,CYB5B,CYP2C8,CYP4A11,Cyp4a14,CYP7A1,DHCR7,DYNLL1,EHHADH,ELOVL5,ETHE1,FABP2,FDFT1,FDPS,G0S2,G6PC,GCK,Gsta4,HADHB,HMGCS1,HNF4A,HSD3B1,IL1B,KYAT1,LAMB3,LSS,MGLL,MVK,MYC,NFKBIA,NSDHL,PEX11A,PHLDA1,PLIN5,PMVK,PNPLA2,POR,PTGR1,RETSAT,RFX4,SC5D,SELENBP1,SLC27A1,SREBF1,TALDO1,TNF,VNN1	 
RORC	 	ligand-dependent nuclear receptor	 	 	4.54E-15	3.49E-12	ABCG5,ACOT2,Aox3,APOA4,AQP8,ATP1B1,CISH,Cyp2c70,CYP2C8,CYP4A11,Cyp4a14,FDFT1,G6PC,GSTA5,GSTM2,HSD3B1,Hsd3b4 (includes others),IGFBP1,IL1B,Keg1,NLRP3,NSDHL,POR,SELENBP1,SLC15A4,SLC16A10,SLC2A3,SLC41A2,Slco1a1	 
RORA	 	ligand-dependent nuclear receptor	 	-0.889	7.04E-15	4.05E-12	ABCG5,ACOT2,Aox3,APOA4,AQP8,ATP1B1,CCL3L3,CISH,Cyp2c70,CYP2C8,CYP4A11,Cyp4a14,FDFT1,G6PC,GSTA5,GSTM2,HSD3B1,Hsd3b4 (includes others),IGFBP1,IL1B,Keg1,NFKBIA,NSDHL,POR,SELENBP1,SLC15A4,SLC16A10,SLC2A3,SLC41A2,Slco1a1,TNF	 
ACOX1	 	enzyme	Inhibited	-3.962	3.49E-14	1.61E-11	ACAA1,ACADL,ACOT2,ADAMTS1,CDKN1A,CRAT,CYP1A2,CYP26A1,CYP2C8,CYP4A11,Cyp4a14,CYP4F12,DDIT3,EHHADH,ETS2,G6PC,GADD45A,HSD3B1,IGFBP1,IMPACT,LHPP,MGLL,PEX11A,PHLDA1,SELENBP1,SLC20A1,SLC22A25,TRIB3,XBP1	76 (2)
HSF1	 	transcription regulator	Activated	2.664	6.90E-12	2.56E-09	ACADL,ACLY,AHSA1,BAG3,CEBPB,DNAJA1,DNAJB1,HDAC5,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,HSPA8,HSPB1,HSPE1,HSPH1,IL1B,INHBB,SREBF1,STIP1,TNF,UBC	 
NFE2L2	 	transcription regulator	 	1.207	7.78E-12	2.56E-09	ABCB11,ALAS1,ALDOA,APOA4,ATF3,CA3,CDC34,CELA1,CHORDC1,CXCL2,CXCL3,Cyp4a14,DHCR7,DYNLL1,FKBP5,GCLC,GNA14,Gsta4,GSTA5,Gstm3,Gstm6,HACD3,HMOX1,HSD3B1,HSP90AA1,HSP90AB1,IFRD1,IL1A,IL1B,MGLL,MORF4L2,NAT8B,NR0B2,Pmaip1,RRS1,SLC3A1,SOCS3,SREBF1,STIP1,TALDO1,TKT,TNF,UGT2B28,XBP1	171 (13)
DUSP1	-1.238	phosphatase	 	-1.339	9.25E-12	2.66E-09	CCL3L3,CIDEC,CXCL2,CXCL3,DUSP1,IER3,IL1A,IL1B,MEFV,MGLL,PEX11A,PNRC1,RETSAT,SERPINA12,SERPINE1,TNF,VNN1	157 (14)
PPARG	 	ligand-dependent nuclear receptor	 	0.033	9.03E-11	2.31E-08	ACAA1,ACADL,ANGPTL4,ARL4D,BCL6,CIDEC,CRAT,CXCL2,CXCL3,CYP26A1,CYP4A11,Cyp4a14,CYP4B1,DHRS3,EHHADH,FDPS,G6PC,GCK,HCAR2,HES1,HSD3B7,IL1B,LAMB3,LHPP,MGLL,NOS3,NR2F2,PEX11A,PLIN5,PMVK,PTPRF,PYGL,RGL1,SERPINE1,SREBF1,TKT,TNF,TRIB3,VNN1,YWHAG	132 (14)
SCAP	 	other	Inhibited	-3.218	1.05E-10	2.41E-08	ACLY,ACSS2,ATF3,DDIT3,DHCR7,EHHADH,FDFT1,FDPS,Gstm6,HMGCS1,ID1,LSS,MVK,NSDHL,PMVK,RDH11,SC5D,SREBF1,TRIB3	 
