"","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000034936",-3.48280119653713,2.90751857949046,362.671514570976,7.3769227395093e-81,1.38885324416742e-76
"ENSMUSG00000047822",3.89904131061269,4.88885186411042,167.457565552108,2.65756259546602e-38,2.50169654924194e-34
"ENSMUSG00000002289",-3.13544506816336,5.3234796931989,124.199225443639,7.61960517148349e-29,4.78181021878399e-25
"ENSMUSG00000032599",-2.18365175044158,3.20442605331587,119.950644915065,6.48543473564458e-28,3.05253199419952e-24
"ENSMUSG00000020644",2.03496068674576,5.62679463366487,105.162005511795,1.12547376195529e-24,4.23785890326646e-21
"ENSMUSG00000020108",-3.16535207331479,1.92333061151823,96.6466257370407,8.28734962561257e-23,2.27619395066471e-19
"ENSMUSG00000053175",2.65007751901589,3.2489312617026,96.6050916132108,8.46303588179367e-23,2.27619395066471e-19
"ENSMUSG00000027398",3.68233559499426,1.18662516728807,90.055307524202,2.31594576318397e-21,5.45028886043307e-18
"ENSMUSG00000020429",-4.66241241414748,5.23660899426734,85.2584326657055,2.61809551441278e-20,5.47676491664994e-17
"ENSMUSG00000035356",1.82167488082376,2.35677119616988,83.6359586005146,5.94812352314804e-20,1.11985321570308e-16
"ENSMUSG00000040891",1.56442240137305,5.67203684868417,80.3024032122929,3.21278089618049e-19,5.49882053930819e-16
"ENSMUSG00000007872",2.93944233189093,4.69700028443068,73.7364752491222,8.92738746057687e-18,1.40063269766901e-14
"ENSMUSG00000024014",1.91149036343837,2.90388640804451,72.0881890584852,2.05791790961869e-17,2.98034003726085e-14
"ENSMUSG00000036478",-1.30770344466918,4.03525651957409,71.2696534491654,3.11591587831912e-17,4.19023916007957e-14
"ENSMUSG00000047109",1.71068191957163,2.06076361505007,70.9454404189086,3.67241454492879e-17,4.60936990915829e-14
"ENSMUSG00000020484",1.6885478969785,7.16211532168599,70.8033545518832,3.94665425908258e-17,4.64397873348423e-14
"ENSMUSG00000071856",-1.23839021991554,4.95442982295386,70.6442997038968,4.27802023656541e-17,4.73778158787159e-14
"ENSMUSG00000053113",3.78927038982861,4.10663919339781,69.7890209227838,6.59992190901996e-17,6.59321076011343e-14
"ENSMUSG00000028413",1.43084233669598,4.97907766812241,69.7729853640146,6.65379531747783e-17,6.59321076011343e-14
"ENSMUSG00000036390",3.7186160161924,0.953565803335335,69.1890912287778,8.94614996153597e-17,8.42145826629189e-14
"ENSMUSG00000009772",1.7641174576864,3.06156533675848,67.2022240868736,2.45037532780245e-16,2.19681982364461e-13
"ENSMUSG00000017144",1.26225536121723,3.62969217747538,65.1932009929577,6.79034003150155e-16,5.81098780786726e-13
"ENSMUSG00000089809",-1.53482594288189,3.38842296048715,64.7811568358456,8.36956990193963e-16,6.85103880625293e-13
"ENSMUSG00000051124",1.40201729336684,2.47622218760502,63.5769028674301,1.54226905636668e-15,1.20984581350898e-12
"ENSMUSG00000047492",1.6170621102118,4.91693937019142,60.0686026039129,9.16080738191384e-15,6.80182653766911e-12
"ENSMUSG00000029380",5.29139070136516,4.49276284225267,60.0192759924562,9.39329101712418e-15,6.80182653766911e-12
"ENSMUSG00000022951",2.06765808194016,4.07782786509553,57.5447604710079,3.30374805670655e-14,2.30369128383756e-11
"ENSMUSG00000025195",-1.04384451717524,4.11542857808825,56.3014363960381,6.21699915621884e-14,4.18026582550472e-11
"ENSMUSG00000026435",-1.61597313936956,4.50696823738955,55.8321695169438,7.89293625475702e-14,5.12414865063139e-11
"ENSMUSG00000026475",-4.35112191621277,2.27802087056122,55.4858449097632,9.41344287520084e-14,5.90756296704687e-11
"ENSMUSG00000039782",-1.80131536310183,3.37783700935026,53.9294696092968,2.07817202420289e-13,1.26212079676348e-10
"ENSMUSG00000078650",-3.66844383742927,6.81204970841612,53.0924774444253,3.18208753711411e-13,1.87216131441398e-10
"ENSMUSG00000020037",-2.71273563048269,0.0713391954651477,52.4419021753186,4.43166593977338e-13,2.52833256509435e-10
"ENSMUSG00000074622",-1.8661211520305,4.84970628178098,51.6901966448738,6.49864270928413e-13,3.59852783199095e-10
"ENSMUSG00000037266",-1.14112187869146,4.62107995647649,50.624612345743,1.11833755010751e-12,6.01569744453547e-10
"ENSMUSG00000031431",-2.08269255834231,6.49438495419046,49.6552722508466,1.83276911348823e-12,9.58487336101193e-10
"ENSMUSG00000029385",-2.17532253571454,3.25661484172358,47.719304851547,4.91824691636163e-12,2.50259012687407e-09
"ENSMUSG00000019997",-2.17548539503588,2.27274528555492,47.4971662272921,5.50835150246497e-12,2.72909825623442e-09
"ENSMUSG00000018899",1.43270366558663,3.64620921906061,47.1217739664544,6.67104580399456e-12,3.22040459876424e-09
"ENSMUSG00000037411",3.47576660683935,0.388819825127142,46.9595383647144,7.24674435052869e-12,3.41086139718509e-09
"ENSMUSG00000002910",-1.74699660038302,1.73834992796157,46.6511883126506,8.48155332828327e-12,3.89468791491681e-09
"ENSMUSG00000045314",1.53838311379712,1.90522792466146,46.3594976445688,9.84292334148291e-12,4.41220756547854e-09
"ENSMUSG00000024190",-1.96854476399216,3.92604499385416,45.6535151153641,1.41132579730036e-11,6.05719108607503e-09
"ENSMUSG00000021281",1.24634828353502,3.33504112569902,45.6475816125479,1.41560741375313e-11,6.05719108607503e-09
"ENSMUSG00000029591",1.70077855283441,1.14222759832,44.9453261427501,2.02613235886285e-11,8.47688753784685e-09
"ENSMUSG00000040363",1.16446580731479,3.57325688933098,44.0790726512963,3.15374743832314e-11,1.29077397872412e-08
"ENSMUSG00000013275",1.63424771856525,1.8197922400407,43.7616491786755,3.70902246143067e-11,1.46716464827546e-08
"ENSMUSG00000110251",-2.2707906065965,2.18934251202201,43.7450677840866,3.74058018363106e-11,1.46716464827546e-08
"ENSMUSG00000038028",1.03361966997968,2.41129940739214,43.646751462679,3.93329489830341e-11,1.51126822551752e-08
"ENSMUSG00000067825",1.12605100610751,4.29046147461703,42.4549781962375,7.23280855598443e-11,2.72344173367038e-08
"ENSMUSG00000001670",-1.87783425847163,9.82594336132524,42.413563965602,7.38759201259303e-11,2.72718029060959e-08
"ENSMUSG00000053841",0.984950227934135,3.87541751151935,42.3402546641983,7.66975566596782e-11,2.77689403698416e-08
"ENSMUSG00000027405",1.23237204030938,3.66670465006552,40.8312927798874,1.65954289928479e-10,5.89513474808204e-08
"ENSMUSG00000022528",2.19487643093908,1.98791813688367,40.6580049882158,1.8134282949688e-10,6.32248416840325e-08
"ENSMUSG00000027513",-2.01919155761884,10.3822851290247,39.7405678170476,2.90037946000041e-10,9.9282625624414e-08
"ENSMUSG00000051495",-1.32047948944952,4.99138648808478,39.3875808480367,3.47500079052856e-10,1.16828285505859e-07
"ENSMUSG00000022218",2.49682399408871,2.8474891436324,39.026733942337,4.18041532102073e-10,1.38078384647118e-07
"ENSMUSG00000004500",1.41421880070998,2.20430486490108,37.667193119749,8.39038743711512e-10,2.72354869445804e-07
"ENSMUSG00000030087",-1.24629535019803,6.06140677441537,37.400702694705,9.61874653604043e-10,3.06935832261073e-07
"ENSMUSG00000085834",-4.00678479558845,2.04228923792042,37.1786049883682,1.07789925701094e-09,3.38226821862417e-07
"ENSMUSG00000048489",-2.59570997467288,2.80798448233188,36.9584890642169,1.2067116064614e-09,3.72438678931948e-07
"ENSMUSG00000024052",-1.66429634806433,7.1671670594271,36.7860310549495,1.31831467874537e-09,4.00321136399019e-07
"ENSMUSG00000045502",4.75730953101723,-1.42613079902345,36.4531234983755,1.56382323589795e-09,4.67334921623027e-07
"ENSMUSG00000050244",1.11066491142169,3.71302532831793,36.0493456286419,1.92383382119797e-09,5.61535578207185e-07
"ENSMUSG00000033618",-1.50983291423393,2.57699486520856,36.0078443411583,1.96524772960008e-09,5.61535578207185e-07
"ENSMUSG00000018068",1.02788778227335,2.6250895205763,36.0046014249765,1.9685211749973e-09,5.61535578207185e-07
"ENSMUSG00000082838",-1.25344586096272,1.02398228940723,35.9003476191507,2.07671661568728e-09,5.83557369008126e-07
"ENSMUSG00000020205",1.99350686123827,3.12476709308427,35.8407380870289,2.14123513630662e-09,5.92838733988892e-07
"ENSMUSG00000033658",0.746599335077953,4.24771845164141,35.28518647214,2.84789994130034e-09,7.77063944853066e-07
"ENSMUSG00000107605",-3.68751714086135,-1.93959717642909,35.0832515971339,3.15906207407633e-09,8.4965230955193e-07
"ENSMUSG00000018166",-1.41541414883286,5.80880024521184,34.8490498052915,3.56283400417894e-09,9.44753180234886e-07
"ENSMUSG00000038279",1.1042723376502,3.27929049581727,34.7175701299343,3.8117577550537e-09,9.9672171186661e-07
"ENSMUSG00000055491",1.33013078607049,1.90265232418071,34.2694463738329,4.79856473174798e-09,1.23756956444684e-06
"ENSMUSG00000053801",1.18244486456044,2.29061390586854,33.1327367424526,8.6077213168159e-09,2.18996715177963e-06
"ENSMUSG00000029416",-1.04728912812731,2.99088893417397,32.436674194929,1.23140467951013e-08,3.09115412015164e-06
"ENSMUSG00000041075",1.0603652471333,3.19315935183892,32.0425404470464,1.5083315873393e-08,3.73649457826802e-06
"ENSMUSG00000026034",-0.854422655593885,4.12138359501218,31.680540905873,1.8173402547641e-08,4.43436254933144e-06
"ENSMUSG00000030031",1.1912844590249,1.36490521035783,31.6558318897516,1.84061031806966e-08,4.43436254933144e-06
"ENSMUSG00000033107",-1.92738110137958,5.03086915814871,31.6347466982857,1.86070346522114e-08,4.43436254933144e-06
"ENSMUSG00000022204",1.01882083973431,2.42639877145662,31.4477083574919,2.04884281474656e-08,4.82169545915418e-06
"ENSMUSG00000014599",1.46962059260868,2.27868784118051,31.2758172125769,2.23850714662633e-08,5.1838079073355e-06
"ENSMUSG00000029708",0.966043585938055,3.54610395062782,31.2591741778545,2.25778004143789e-08,5.1838079073355e-06
"ENSMUSG00000023988",0.984288873904792,2.77992714267222,30.8850836881178,2.73767894849829e-08,6.20991344137076e-06
"ENSMUSG00000056313",-1.3156043585445,3.34104545612751,30.7062899883034,3.00190361279681e-08,6.72819515691971e-06
"ENSMUSG00000074794",1.8777812254919,6.83804210737649,30.3998230406884,3.5156022710168e-08,7.78685223016862e-06
"ENSMUSG00000035021",0.899697686232218,3.14930568810751,30.2265589123282,3.84409239339192e-08,8.41543342911507e-06
"ENSMUSG00000037405",1.59928476413151,3.01897151723716,30.0581226516637,4.19288583529493e-08,9.07350133575834e-06
"ENSMUSG00000032834",0.986630408765436,3.02798772151112,29.8446929632737,4.68076380666538e-08,1.00141750213738e-05
"ENSMUSG00000030521",1.09966429356911,2.68751758490318,29.7873837148039,4.82119230552257e-08,1.01987177006824e-05
"ENSMUSG00000022353",1.05585809602833,6.2055608117272,29.4361747698822,5.7788816803811e-08,1.20887783773928e-05
"ENSMUSG00000020653",-1.23905275087359,2.10235653802768,29.3810699039888,5.94555887942284e-08,1.23007732992191e-05
"ENSMUSG00000021638",-1.19872854744966,3.30289855598025,29.1371095791296,6.74329050673593e-08,1.37995576489475e-05
"ENSMUSG00000004100",1.16075051332426,3.06673729236387,29.091196100219,6.90500556129552e-08,1.39785526561839e-05
"ENSMUSG00000066278",1.160700824476,1.39395570933653,28.9846199400915,7.29552348145014e-08,1.46120021899215e-05
"ENSMUSG00000028211",-1.72734082549135,6.86505858377261,28.6995775551797,8.45221677884642e-08,1.67505142416149e-05
"ENSMUSG00000024247",0.820979674557682,2.8654341824078,28.4369535754123,9.6799879173042e-08,1.89838679707381e-05
"ENSMUSG00000081886",2.39480604057884,-0.501732314190769,28.3837420423856,9.94973867861728e-08,1.93117247528173e-05
"ENSMUSG00000042354",1.13763418129597,2.88915803854046,28.0965825401805,1.15409473296714e-07,2.21715729975228e-05
"ENSMUSG00000074063",2.13421811688401,5.0449003214474,27.8247895011802,1.32813429219181e-07,2.52573578980759e-05
"ENSMUSG00000025229",-2.86868405944302,-0.677782232755189,27.719130549784,1.40268691677096e-07,2.63296958670424e-05
"ENSMUSG00000038335",1.0924370741279,3.34663489495195,27.6868249507864,1.42630825690398e-07,2.63296958670424e-05
"ENSMUSG00000105909",-2.00200421950042,0.694832425095443,27.6865955780006,1.42647738802694e-07,2.63296958670424e-05
"ENSMUSG00000033102",-1.07375210152283,3.57677997147247,27.6515827702834,1.45253167351856e-07,2.65503046770232e-05
"ENSMUSG00000045092",0.831224455249472,4.95537874277557,27.244268149524,1.79305897680431e-07,3.24595397656681e-05
"ENSMUSG00000053617",-0.790648849605245,4.33575623795546,27.1099007129812,1.92211009760036e-07,3.43992761463857e-05
"ENSMUSG00000030888",0.89287342417208,2.97964218536595,27.0952302661694,1.93675214931582e-07,3.43992761463857e-05
"ENSMUSG00000015176",1.0933273261566,3.5658532833192,27.0423547142908,1.99045910885766e-07,3.50227791051058e-05
"ENSMUSG00000047496",-1.3416327093645,2.6413682584578,27.0130678673067,2.02084621169741e-07,3.52282144700251e-05
"ENSMUSG00000075227",0.828568578793071,2.67815606504962,26.8474388926063,2.20165925910506e-07,3.80281090561201e-05
"ENSMUSG00000026819",-1.56588854167286,6.38284425377935,26.7896307512934,2.26851320003703e-07,3.88266345609975e-05
"ENSMUSG00000041483",-0.863536621819219,4.48198617576431,26.527152411287,2.59859889680589e-07,4.407551480195e-05
"ENSMUSG00000045776",-1.89484814398317,1.21058441871123,26.3768952348443,2.80880345920344e-07,4.72154845771635e-05
"ENSMUSG00000037025",1.28665109649015,3.8777801763577,26.3517169988926,2.84565825057505e-07,4.74116883925456e-05
"ENSMUSG00000035385",3.48936638796789,-0.950806180028112,26.307407039338,2.91169830907089e-07,4.80864421621734e-05
"ENSMUSG00000002578",4.44533096182182,-1.61440904765734,26.1835050411546,3.10463196310263e-07,5.08268747559419e-05
"ENSMUSG00000019850",1.44610233960214,2.13831543538423,25.9568255266977,3.49138814975444e-07,5.66658316339887e-05
"ENSMUSG00000034855",2.43217584220637,1.6313230456902,25.908275271354,3.58031004944453e-07,5.76123908554634e-05
"ENSMUSG00000026077",-3.35319613121398,-0.848307082562808,25.8115192446225,3.76435129731379e-07,6.00605439614633e-05
"ENSMUSG00000075232",0.925350896660976,4.96749451538752,25.7812858636347,3.82378106645011e-07,6.04960723849212e-05
"ENSMUSG00000001768",-0.923126542529954,2.91706003842803,25.7079623497617,3.97184943281408e-07,6.23150077263255e-05
"ENSMUSG00000046352",0.974392611533196,7.49280919224369,25.4190680137337,4.61335551422528e-07,7.17815241870408e-05
"ENSMUSG00000052632",-1.07354742466205,1.73680159283966,25.3884087723888,4.68726080995498e-07,7.2333655138543e-05
"ENSMUSG00000030064",-0.831633692472114,4.26717442191241,25.3436350987969,4.7973272099212e-07,7.34303084399889e-05
"ENSMUSG00000022534",2.48770557038364,-1.13364089491551,25.2729889714998,4.97628935289055e-07,7.55553222958632e-05
"ENSMUSG00000060096",0.889735506774107,3.49873546944252,25.2421845167467,5.05640494441576e-07,7.61575487108125e-05
"ENSMUSG00000033159",-0.694829579965384,4.40282613927054,25.2190148528281,5.11751512077071e-07,7.64662358561508e-05
"ENSMUSG00000042510",-1.89724782709039,1.21836061578471,25.1848704303835,5.20892354741516e-07,7.72192154544766e-05
"ENSMUSG00000041229",0.769561218657858,3.12565661961056,25.1447337893265,5.31846913390313e-07,7.76916695086806e-05
"ENSMUSG00000022094",1.0983031386078,7.19290442926745,25.1429736097227,5.32332573783386e-07,7.76916695086806e-05
"ENSMUSG00000019577",-1.07374493976844,1.49994657050245,25.049091850347,5.58890717873694e-07,8.09402734262157e-05
"ENSMUSG00000070002",0.819456129438676,3.02853267332016,24.7904170076144,6.39144383005654e-07,9.18562694568508e-05
"ENSMUSG00000041798",1.82808071801268,6.09912916819962,24.7309729371198,6.59163178775385e-07,9.4015645203062e-05
"ENSMUSG00000020919",-0.706287734136747,4.63257216137715,24.6829161641104,6.75805797107977e-07,9.56646296402397e-05
"ENSMUSG00000019189",0.952705343459373,2.82084191150365,24.6014532743636,7.04985472508839e-07,9.90504588874919e-05
"ENSMUSG00000027905",0.759891166906211,2.59254424549391,24.5327832680659,7.30561981684868e-07,0.000101883632808748
"ENSMUSG00000078813",0.940656544001054,1.68564342847309,24.4082545441228,7.79340497930198e-07,0.000107887084959793
"ENSMUSG00000024732",1.15992312618687,2.68590737381139,24.3629186549928,7.9789857006064e-07,0.000109649900573224
"ENSMUSG00000030847",1.16281410425926,3.96595457837016,24.2255874117707,8.56863040011667e-07,0.000116899713436954
"ENSMUSG00000056708",1.46714581445455,2.13111665388736,24.1693703307517,8.82243125178868e-07,0.000119496340415414
"ENSMUSG00000033294",1.08299766941214,1.52245806272664,24.1192618727647,9.05500162074442e-07,0.000121770368224111
"ENSMUSG00000029657",1.30083646695938,4.29804186710866,24.0534117189277,9.37000937846154e-07,0.00012511288409099
"ENSMUSG00000059708",1.09306445314013,2.01198157685801,24.0375367981438,9.44758009573131e-07,0.000125260274973474
"ENSMUSG00000028893",-1.24831600108668,1.45825121473298,23.8344930431639,1.04984216229449e-06,0.000137593079135424
"ENSMUSG00000066170",-2.24278157846001,-0.0827053058037717,23.8298216650046,1.05239302042286e-06,0.000137593079135424
"ENSMUSG00000021754",0.711454273078512,3.554400394258,23.6986209628791,1.12663237304815e-06,0.000145373115884503
"ENSMUSG00000032038",0.758035977385302,5.0815614824195,23.6974085102464,1.12734237632854e-06,0.000145373115884503
"ENSMUSG00000039620",-1.57313669966998,0.506710060182772,23.6709849864103,1.14292773977857e-06,0.000146380275896675
"ENSMUSG00000109089",-1.1849722807565,1.80814220795172,23.6154513359351,1.17639102763073e-06,0.000149648066737863
"ENSMUSG00000044548",1.14903213638806,1.20380531419803,23.5844867997022,1.19547441594806e-06,0.000151055012275531
"ENSMUSG00000020642",-1.42966822979564,1.63715413977254,23.1821433114876,1.47359321922181e-06,0.000184484490107131
"ENSMUSG00000019989",-0.924370497676635,3.97262217868647,23.174270228895,1.47963871069085e-06,0.000184484490107131
"ENSMUSG00000044167",-0.908174514622062,4.35990550404677,23.0749380518765,1.55808413666386e-06,0.000192987171322174
"ENSMUSG00000001774",0.865248177017568,4.3866502086722,22.9764321980948,1.63999656220995e-06,0.000201805328606057
"ENSMUSG00000027722",1.06617058671131,1.82837588314694,22.8723147861702,1.73127618487592e-06,0.000211654134627656
"ENSMUSG00000025995",0.822031564788478,2.64031289834288,22.8249595521703,1.77446193549663e-06,0.000215534160384485
"ENSMUSG00000022964",1.24098526455743,1.34600051069839,22.6844042225123,1.90911100338202e-06,0.000230402774747905
"ENSMUSG00000032691",1.65319660640995,-0.334312693494694,22.6480345225938,1.94559141980263e-06,0.000233309870449835
"ENSMUSG00000003541",2.11783956154205,-0.701421175271678,22.5741915989359,2.02182462090181e-06,0.000240917038846319
"ENSMUSG00000032715",-1.70670546152906,0.188049723294924,22.539080795068,2.05911600132483e-06,0.000243817465138004
"ENSMUSG00000044763",0.727148002727285,3.67739803769088,22.5119465190813,2.0884074908428e-06,0.000243890382236884
"ENSMUSG00000028654",-1.94097905944929,1.84214154349009,22.508177601824,2.09250897013297e-06,0.000243890382236884
"ENSMUSG00000021149",0.913094400717504,4.36327235107241,22.4913964083643,2.11086921339837e-06,0.000243890382236884
"ENSMUSG00000020706",0.68829427405055,4.69814519631478,22.4907779351371,2.11154896184268e-06,0.000243890382236884
"ENSMUSG00000039981",-1.40730632836514,0.41783046027397,22.4654793775267,2.13954298392969e-06,0.000245616925356368
"ENSMUSG00000035878",-0.811390500877162,5.74978542954251,22.3974922237809,2.21663254141261e-06,0.000252924490043486
"ENSMUSG00000052557",0.971625052573209,2.79675747499311,22.3695081184284,2.24916718614558e-06,0.000255090786828692
"ENSMUSG00000024440",0.873924852184696,2.78411059098366,22.3266449614631,2.29993168338906e-06,0.000259286310198598
"ENSMUSG00000025511",0.837801671956731,3.16709660141718,22.2485937189159,2.39534153004995e-06,0.000268435089203872
"ENSMUSG00000023341",1.54630407911488,1.62261428321082,22.2323989562322,2.41563009360864e-06,0.00026910690989568
"ENSMUSG00000018727",-1.32097647315014,0.566054230097548,22.2128298243765,2.44037618129041e-06,0.000270264484500909
"ENSMUSG00000049950",1.6132554125712,0.781395597139129,22.1969761385367,2.46061027243958e-06,0.000270911752042222
"ENSMUSG00000035049",1.0606654127475,2.1192882348023,22.0752737475185,2.62165013395887e-06,0.000286963994604905
"ENSMUSG00000025198",0.843893736449269,3.42571092918906,22.0337436045751,2.67899012845203e-06,0.000291545359239112
