© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Role of PKR in Interferon Induction and Antiviral Response	7.4E00	1.71E-01	1.414	ATF3,EIF2S1,ELP1,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,HSPA5,IL1B,IRF1,MAP2K6,MAVS,MYD88,NFKBIA,NLRP3,RELB,STAT2,STAT3,TIRAP,TNF,TNFRSF1A,TRAF6	
Acute Phase Response Signaling	6.59E00	1.39E-01	0.943	APCS,CEBPB,ELP1,HMOX1,IL1B,MAP2K6,MAP3K1,MAP3K14,MYD88,NFKBIA,PIK3R1,RASD1,RELB,RIPK1,SAA1,SAA2-SAA4,SERPINE1,SOCS2,SOCS3,STAT3,TNF,TNFRSF1A,TNFRSF1B,TRAF6	
IL-9 Signaling	5.95E00	2.86E-01	-0.378	BCL3,CISH,IRS2,PIK3R1,RELB,SOCS2,SOCS3,STAT3,STAT5B,TNF	
Unfolded protein response	5.4E00	1.69E-01	2.111	ATF4,CEBPB,CEBPD,CEBPG,CEBPZ,DNAJA1,DNAJB5,DNAJC12,EIF2AK3,HSPA1A/HSPA1B,Hspa1b,HSPA5,HSPH1,SYVN1,XBP1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.36E00	9.42E-02	NaN	ATF4,CCND1,CEBPB,CEBPD,CEBPG,CEBPZ,CSF1,ELP1,FZD7,ICAM1,IL17RA,IL1B,MAP2K6,MAP3K14,MYD88,NFKBIA,PIK3R1,RASD1,RIPK1,ROCK2,SOCS3,SRC,STAT3,TLR2,TNF,TNFRSF1A,TNFRSF1B,TRAF6,VEGFA	
Toll-like Receptor Signaling	4.26E00	1.62E-01	1.265	IL1B,MAP2K6,MAP3K1,MAP3K14,MYD88,NFKBIA,RELB,TIRAP,TLR2,TNF,TNFAIP3,TRAF6	
IL-6 Signaling	4.17E00	1.28E-01	0.832	CEBPB,ELP1,IL1B,MAP2K6,MAP3K14,NFKBIA,PIK3R1,RASD1,RELB,SOCS3,STAT3,TNF,TNFRSF1A,TNFRSF1B,TRAF6,VEGFA	
IL-10 Signaling	3.89E00	1.59E-01	NaN	ELP1,HMOX1,IL1B,MAP2K6,MAP3K14,NFKBIA,RELB,SOCS3,STAT3,TNF,TRAF6	
Glucocorticoid Receptor Signaling	3.77E00	7.69E-02	NaN	CXCL3,DUSP1,ELP1,FOXO3,G6PC,GTF2F1,GTF2F2,GTF2H1,HSP90AA1,HSPA1A/HSPA1B,Hspa1b,HSPA5,ICAM1,IL17RA,IL1B,KRT19,MAP3K1,MAP3K14,NDUFA4L2,NDUFS6,NFKBIA,PCK1,PDK4,PIK3R1,POLR2H,PRKAB1,RASD1,RPS6KA5,SERPINE1,SGK1,SRC,STAT3,STAT5B,TAF2,TAF4B,TAT,TLR2,TNF,TRAF6,TSC22D3	
PXR/RXR Activation	3.75E00	1.67E-01	NaN	ALAS1,CYP2B6,CYP7A1,FOXO1,FOXO3,G6PC,HNF4A,IGFBP1,PPARGC1A,TNF	
Coronavirus Pathogenesis Pathway	3.53E00	1.03E-01	-0.688	ATF4,CCND1,CCNE1,E2F2,E2F4,EIF2AK3,HDAC11,HDAC5,IL17RA,IL1B,MAVS,NFKBIA,NLRP3,NPC1,RELB,RIPK1,SERPINE1,STAT2,STAT3	
TNFR2 Signaling	3.53E00	2.19E-01	0.000	MAP3K1,MAP3K14,NFKBIA,RELB,TNF,TNFAIP3,TNFRSF1B	
Role of JAK2 in Hormone-like Cytokine Signaling	3.53E00	2.19E-01	NaN	IRS2,PTPN1,SH2B2,SOCS2,SOCS3,STAT3,STAT5B	
Induction of Apoptosis by HIV1	3.51E00	1.56E-01	1.667	CXCR4,DAXX,ELP1,MAP3K14,NFKBIA,RELB,RIPK1,TNF,TNFRSF1A,TNFRSF1B	
Role of IL-17A in Psoriasis	3.49E00	4.44E-01	2.000	CXCL3,IL17RA,S100A8,S100A9	
Cell Cycle: G1/S Checkpoint Regulation	3.45E00	1.54E-01	-1.000	CCND1,CCNE1,CDC25A,CDC34,E2F2,E2F4,FOXO1,GNL3,HDAC11,HDAC5	
CD40 Signaling	3.4E00	1.52E-01	1.667	ELP1,ICAM1,MAP2K6,MAP3K14,NFKBIA,PIK3R1,RELB,STAT3,TNFAIP3,TRAF6	
PPAR Signaling	3.35E00	1.24E-01	-1.265	ELP1,HSP90AA1,IL1B,MAP3K14,NFKBIA,PPARGC1A,RASD1,RELB,STAT5B,TNF,TNFRSF1A,TNFRSF1B,TRAF6	
IL-17A Signaling in Fibroblasts	3.27E00	2E-01	NaN	CEBPB,CEBPD,IL17RA,NFKBIA,NFKBIZ,RELB,TRAF6	
Osteoarthritis Pathway	3.27E00	9.33E-02	1.414	ATF4,BMP2,CASP4,CEBPB,DDIT4,FOXO3,FZD7,HES1,IL1B,MTF1,MYBBP1A,PPARGC1A,PRKAB1,RELB,S100A8,S100A9,TLR2,TNF,TNFRSF1A,TNFRSF1B,VEGFA	
Death Receptor Signaling	3.26E00	1.28E-01	1.897	ACTG1,DAXX,ELP1,MAP3K14,NFKBIA,PARP16,RELB,RIPK1,TIPARP,TNF,TNFRSF1A,TNFRSF1B	
JAK/Stat Signaling	3.22E00	1.34E-01	-1.000	CEBPB,CISH,PIK3R1,PTPN1,RASD1,RELB,SOCS2,SOCS3,STAT2,STAT3,STAT5B	
TREM1 Signaling	3.14E00	1.41E-01	2.333	CXCL3,ICAM1,IL1B,MYD88,NLRP3,RELB,STAT3,STAT5B,TLR2,TNF	
Endocannabinoid Cancer Inhibition Pathway	3.13E00	1.08E-01	-0.775	ADCY9,ATF3,ATF4,CASP4,CCND1,CCNE1,CNR2,MAP2K6,PIK3R1,PRKAB1,ROCK2,SMPD3,SRC,TRIB3,VEGFA	
Prostate Cancer Signaling	3.12E00	1.17E-01	NaN	ATF4,CCND1,CCNE1,E2F2,E2F4,FOXO1,HDAC11,HDAC5,HSP90AA1,NFKBIA,PIK3R1,RASD1,RELB	
TNFR1 Signaling	2.98E00	1.6E-01	1.633	MAP3K1,MAP3K14,NFKBIA,RELB,RIPK1,TNF,TNFAIP3,TNFRSF1A	
