© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
EIF2AK3	1.046	kinase	Activated	3.840	bias	9.93E-29	2.81E-25	AARS1,ABCF2,AMY2B,Arf2,ARF4,ARFGAP1,ARFGAP3,ARNTL,ATF3,ATF4,ATF6,BET1L,BIRC2,CBX4,Ccl2,CEBPB,CEBPG,COG8,DNAJB9,ECD,EGR1,ELP3,ERO1A,ETS2,GADD45A,GOLT1B,GOSR2,HSPA5,IARS1,LARS1,MTHFR,MYC,NARS1,NDRG1,NFIL3,NFKB2,PNLIP,RELB,RNASEL,SEC22B,SEC24D,SEC61A1,SLC35B1,SPATA5,STX18,STX5,SYVN1,TMED9,TXNIP,USO1,WARS1,WFS1,XBP1,YARS1,YIPF5,ZFP36	 
ERN1	 	kinase	Activated	5.396	 	2.41E-21	3.41E-18	ARF4,ATF3,ATF4,CAD,CEBPB,CEBPD,CREB3L2,DNAJB11,DNAJB9,ERO1A,G6PC,GOLGA3,HSP90B1,HSPA5,IL1B,MORF4L2,MVD,NARS1,OSBP,PIGA,SDF2L1,SEC22B,SEC24D,SEC61A1,SLC20A1,SLC35B1,SPCS2,SRP19,SRP68,SRPRA,STX5,SYVN1,TMED3,TNF,TXNDC5,USO1,WARS1,WFS1,XBP1	 
Irgm1	1.162	other	Inhibited	-5.939	bias	2.68E-19	2.53E-16	Apol9a/Apol9b,Ccl2,CXCL10,Cxcl11,CXCL13,Cxcl9,DDX58,DHX58,GBP2,GBP4,GBP5,GBP6,GBP7,HERC6,ID2,ID3,IFI35,IFIH1,IFIT1B,IFIT2,IFIT3,IL1B,IRF1,IRF9,IRGM,ISG15,ISG20,LILRB4,MLKL,Mx2,NLRC5,OASL,STAT1,TLR2,TNF,TRIM21,Trim30a/Trim30d,TRIM5,USP18,ZBP1	170 (10)
TICAM1	 	other	Activated	4.349	bias	5.56E-17	3.94E-14	ACOD1,AGTR1,BCL3,CASP4,Ccl2,CCL3L3,CEBPD,CXCL10,Cxcl11,CXCL13,CXCL2,DDX58,DUSP1,EGR1,ETS2,FPR2,ICAM1,Ifi47,IFIT1B,IFIT2,IFIT3,Igtp,IKBKE,IL1B,IRF1,IRGM,Irgm1,ISG15,ISG20,MAFF,Mx2,Nes,NFKB2,NFKBIA,NFKBIZ,OASL,PELI1,RELB,SERPINE1,SOCS3,TLR2,TNF,TNFSF10	178 (15)
STAT1	1.007	transcription regulator	Activated	4.759	 	1.08E-16	6.11E-14	ABCA1,ACOD1,AXL,CASP4,Ccl2,CCL3L3,CDK2,CDKN1A,CEACAM1,Chil3/Chil4,CXCL10,Cxcl11,Cxcl9,EGR1,EIF2AK2,GBP2,GBP5,GBP6,HERC6,ICAM1,Ifi47,IFIT1,IFIT1B,IFIT2,IFIT3,Igtp,IL1B,IRF1,IRF8,IRF9,Irgm1,ISG15,LCN2,Mx2,MYC,OASL,RNF213,RTP4,Serpina3g (includes others),SMAGP,SOCS3,SREBF1,STAT1,STAT2,STAT3,Tgtp1/Tgtp2,TNF,TNFSF10,TP53,Wfdc17,ZBP1	215 (14)
PTGER4	 	G-protein coupled receptor	Inhibited	-5.909	 	7.93E-16	3.75E-13	ADAMTS4,Ccl2,CCL3L3,CCNG2,CXCL10,Cxcl9,CXCR4,DAXX,DDX58,DYRK1B,FBXL20,GBP2,GBP4,GBP6,HCAR2,HERC6,IFI35,Ifi47,IFIH1,IFIT1B,IFIT2,Igtp,IL1B,IRF1,IRGM,Irgm1,ISG20,MAFB,MAFF,Mx2,PARP14,PDK2,RNASEL,RNF213,RNF24,RTP4,S1PR1,Tgtp1/Tgtp2,TNF,TNFSF10,TP53INP1,TRIM21,USP18,YPEL3	204 (11)
STAT3	0.944	transcription regulator	 	-0.741	 	3.86E-15	1.56E-12	AKT1,BCL3,Ccl2,CCL3L3,CCND1,CCND2,CCNE1,CDKN1A,CEBPB,CXCL10,CXCL2,Cxcl9,EGR1,EIF2AK2,FASN,FOS,G6PC,GADD45A,GBP2,GBP5,GBP6,HERC6,ICAM1,IFI35,IFIT1,IFIT1B,IFIT2,IFIT3,IGFBP1,Igtp,IL1B,IL1RN,IL6R,IRF1,Irgm1,ISG15,ITGAM,Mx2,MYC,NFKBIZ,OASL,PCK1,PHLDA1,PIM1,PPARGC1A,RORA,SAA1,Serpina3g (includes others),SERPINE1,SOCS3,SREBF1,STAT1,STAT2,STAT3,TAP1,Tgtp1/Tgtp2,TNF,TNFRSF1B,TNFSF10,TP53,USP18,VEGFA,WARS1,ZFP36	244 (17)
IRF3	 	transcription regulator	Activated	5.613	bias	6.24E-15	2.21E-12	ADAR,Ccl2,CCL3L3,CXCL10,Cxcl11,Cxcl9,DAXX,DDX58,DHX58,EIF2AK2,GBP5,Hamp/Hamp2,ICAM1,Ifi47,IFIH1,IFIT1B,IFIT2,IFIT3,Igtp,IL1B,IRF1,IRGM,Irgm1,ISG15,ISG20,LCN2,Mx2,NLRC5,OASL,PARP14,STAT1,STAT2,TAP1,TNF,TNFSF10,Trim30a/Trim30d,USP18,ZBP1	170 (15)
Ifnar	 	group	Activated	5.396	bias	1.41E-14	4.43E-12	AXL,Ccl2,CXCL10,Cxcl9,DDX58,EIF2AK2,GBP2,IFI35,IFIH1,IFIT1B,IFIT2,IFIT3,IL1B,IRF1,IRF8,IRF9,Irgm1,ISG15,ISG20,Mx2,MYD88,NLRC5,OASL,PNPT1,RNF213,STAT1,STAT2,TAP1,TLR2,TNF,TNFSF10,TRIM21,USP18,ZBP1	174 (15)
IL1B	2.480	cytokine	Activated	2.945	 	7.99E-14	2.26E-11	APCS,ATF3,ATF4,BIRC2,CASP4,Ccl2,CSF1,CSF2RB,CSRNP1,Cxcl11,CXCL2,CXCR4,DDIT4,EGR1,ERRFI1,FOS,FOXO1,GBP6,HSPA5,ICAM1,IL1B,IRF1,IRS1,ITGAM,NFIL3,NFKBIA,NFKBIZ,PHLDA1,PLSCR1,RGS16,RORA,SAA1,Saa3,SLC7A11,SOCS3,STAT1,SYVN1,TLR2,TNF,TSC22D3,TXNIP,UAP1,VEGFA,ZFP36	227 (16)
