"","x"
"1","Flrt2"
"2","Rmdn2"
"3","Gm11225"
"4","Lmbrd2"
"5","Etaa1"
"6","Magt1"
"7","Prrx1"
"8","Gm13007"
"9","Gm5120"
"10","Gm32511"
"11","Zfp740"
"12","Ttc39c"
"13","Rpl22-ps1"
"14","Gm4756"
"15","Abcg8"
"16","Naglu"
"17","Aatk"
"18","Cldn1"
"19","9430064I24Rik"
"20","Sh3pxd2a"
"21","2610528J11Rik"
"22","Hdac11"
"23","Gm16415"
"24","BC024139"
"25","Apol7e"
"26","Apol7b"
"27","1700001C19Rik"
"28","Gpr12"
"29","Cyp3a57"
"30","Hsd3b7"
"31","Lrit1"
"32","Gm14253"
"33","Map3k13"
"34","Gm44117"
"35","Sgms2"
"36","Cdc14b"
"37","Gm5524"
"38","Gask1a"
"39","Ctdsp2-ps"
"40","Gm12543"
"41","Gm12340"
"42","Gm5910"
"43","Txnip"
"44","Gm16199"
"45","Gm9256"
"46","Gpi-ps"
"47","Gm6206"
"48","Gm13141"
"49","Gm42855"
"50","Gm46142"
"51","Gm7516"
"52","Gm28900"
"53","Gm16416"
"54","Rpl28-ps3"
"55","Gm4478"
"56","Gm15682"
"57","Gm11703"
"58","Gm12944"
"59","Gm37670"
"60","Gm14251"
"61","Gm14044"
"62","Gm13216"
"63","Csnk2a1-ps2"
"64","Gm8724"
"65","Gm18859"
"66","Tmem35b"
"67","Gm6382"
"68",NA
"69","Gm19587"
"70","Rpl12-ps1"
"71","Rtraf-ps"
"72","Cd24a"
"73","Krt19"
"74","Gm9645"
"75","Gm15921"
"76","Rps12-ps1"
"77","Gm15702"
"78","Gm44609"
"79","Gm13835"
"80","Gm12164"
"81","Gm11975"
"82","Gm4986"
"83","Gm12038"
"84","Gm17823"
"85","Gm14173"
"86","Gm6065"
"87","Gm12912"
"88","Gm10252"
"89","Dmbt1"
"90","Gm5425"
"91","Slc25a5-ps"
"92","Gm42814"
"93","Gm12009"
"94","Gm3724"
"95","Gm6426"
"96","Gm14491"
"97","Gm8101"
"98","Gm10916"
"99","Rpl17-ps9"
"100","Gm15526"
"101","Gm6043"
"102","Gm7964"
"103","Gm11531"
"104","Gm8330"
"105","Gm47986"
"106","Gm12341"
"107","Gm12643"
"108","Gm46209"
"109","Gm7507"
"110","Gm9658"
"111","Ldha-ps"
"112","Gm4707"
"113","Gm14231"
"114","Gm4754"
"115","Gm14336"
"116","Gm4705"
"117","Gm42845"
"118","Gm17214"
"119","Gm10039"
"120","Tent2-ps1"
"121","Gm12045"
"122","Gm43561"
"123","Rps2-ps9"
"124","Gm8508"
"125","Depp1"
"126","Gm14287"
"127","Gm10653"
"128","Gm12176"
"129","Gm13592"
"130","Gm12669"
"131","Gm7357"
"132","Gm8242"
"133","Gm13750"
"134","Gm14448"
"135","Rbx1-ps"
"136","Grk5"
"137","Gm14706"
"138","Gm12166"
"139","Gas7"
"140","Gm53055"
"141","Gm5558"
"142","Gm10179"
"143","Cyp4b1-ps1"
"144","Plxna2"
"145","Gm5822"
"146","Cox6c2"
"147","Arl4d"
"148","Gm9143"
"149","Ctrb1"
"150","Rpl19-ps12"
"151","Gm16291"
"152","Atg4a-ps"
"153","Gm13991"
"154","Gm6493"
"155","Gm10069"
"156","Gm8109"
"157","Gm9719"
"158","Gm11539"
"159","Gm48633"
"160","Ndufs6b"
"161","Gm45838"
"162","Gm3355"
"163","Rpl21-ps11"
"164","Gm10073"
"165","Gm7290"
"166","Gm5055"
"167","Gm5239"
"168","Ehbp1"
"169","Taldo1"
"170","Fam149a"
"171","Ugt2b35"
"172","Habp2"
"173","Brip1os"
"174","Nrn1"
"175","Cmtm6"
"176","Cyp2c53-ps"
"177","Cyp2c29"
"178","Cyb5b"
"179","Akr1c20"
"180","Ptgr1"
"181","Impa1"
"182","E130308A19Rik"
"183","Aldh1a7"
"184","Tiam1"
"185","Gm7967"
"186","Gm9278"
"187","Vtcn1"
"188","Gm21399"
