"","x"
"1","ENSMUSG00000034936"
"2","ENSMUSG00000047822"
"3","ENSMUSG00000048489"
"4","ENSMUSG00000027398"
"5","ENSMUSG00000047492"
"6","ENSMUSG00000053581"
"7","ENSMUSG00000038393"
"8","ENSMUSG00000008384"
"9","ENSMUSG00000090698"
"10","ENSMUSG00000095388"
"11","ENSMUSG00000095143"
"12","ENSMUSG00000029135"
"13","ENSMUSG00000038092"
"14","ENSMUSG00000090817"
"15","ENSMUSG00000090877"
"16","ENSMUSG00000022951"
"17","ENSMUSG00000027397"
"18","ENSMUSG00000091971"
"19","ENSMUSG00000025936"
"20","ENSMUSG00000027869"
"21","ENSMUSG00000024335"
"22","ENSMUSG00000037797"
"23","ENSMUSG00000030364"
"24","ENSMUSG00000035356"
"25","ENSMUSG00000038253"
"26","ENSMUSG00000022129"
"27","ENSMUSG00000040891"
"28","ENSMUSG00000023034"
"29","ENSMUSG00000024131"
"30","ENSMUSG00000031523"
"31","ENSMUSG00000027313"
"32","ENSMUSG00000030762"
"33","ENSMUSG00000105696"
"34","ENSMUSG00000106129"
"35","ENSMUSG00000045775"
"36","ENSMUSG00000023031"
"37","ENSMUSG00000029650"
"38","ENSMUSG00000062410"
"39","ENSMUSG00000002265"
"40","ENSMUSG00000038459"
"41","ENSMUSG00000032515"
"42","ENSMUSG00000075585"
"43","ENSMUSG00000106456"
"44","ENSMUSG00000067144"
"45","ENSMUSG00000030278"
"46","ENSMUSG00000020706"
"47","ENSMUSG00000030107"
"48","ENSMUSG00000026849"
"49","ENSMUSG00000026944"
"50","ENSMUSG00000109266"
"51","ENSMUSG00000028035"
"52","ENSMUSG00000078817"
"53","ENSMUSG00000027171"
"54","ENSMUSG00000039114"
"55","ENSMUSG00000063590"
"56","ENSMUSG00000081067"
"57","ENSMUSG00000112774"
"58","ENSMUSG00000042041"
"59","ENSMUSG00000060613"
"60","ENSMUSG00000024292"
"61","ENSMUSG00000005483"
"62","ENSMUSG00000063730"
"63","ENSMUSG00000041762"
"64","ENSMUSG00000026848"
"65","ENSMUSG00000030847"
"66","ENSMUSG00000074398"
"67","ENSMUSG00000020261"
"68","ENSMUSG00000099406"
"69","ENSMUSG00000024694"
"70","ENSMUSG00000017677"
"71","ENSMUSG00000059811"
"72","ENSMUSG00000035621"
"73","ENSMUSG00000052562"
"74","ENSMUSG00000110350"
"75","ENSMUSG00000097554"
"76","ENSMUSG00000101262"
"77","ENSMUSG00000043085"
"78","ENSMUSG00000003032"
"79","ENSMUSG00000050541"
"80","ENSMUSG00000009633"
"81","ENSMUSG00000053113"
"82","ENSMUSG00000024236"
"83","ENSMUSG00000034765"
"84","ENSMUSG00000109698"
"85","ENSMUSG00000027048"
"86","ENSMUSG00000071076"
"87","ENSMUSG00000019122"
"88","ENSMUSG00000022893"
"89","ENSMUSG00000018572"
"90","ENSMUSG00000003228"
"91","ENSMUSG00000031232"
"92","ENSMUSG00000004798"
"93","ENSMUSG00000070044"
"94","ENSMUSG00000039934"
"95","ENSMUSG00000003134"
"96","ENSMUSG00000027399"
"97","ENSMUSG00000023341"
"98","ENSMUSG00000026121"
"99","ENSMUSG00000063830"
"100","ENSMUSG00000075044"
"101","ENSMUSG00000020715"
"102","ENSMUSG00000037035"
"103","ENSMUSG00000084231"
"104","ENSMUSG00000080996"
"105","ENSMUSG00000047150"
"106","ENSMUSG00000028167"
"107","ENSMUSG00000061613"
"108","ENSMUSG00000047139"
"109","ENSMUSG00000072964"
"110","ENSMUSG00000097354"
"111","ENSMUSG00000090104"
"112","ENSMUSG00000009772"
"113","ENSMUSG00000043953"
"114","ENSMUSG00000108799"
"115","ENSMUSG00000044676"
"116","ENSMUSG00000056708"
"117","ENSMUSG00000100801"
"118","ENSMUSG00000067656"
"119","ENSMUSG00000039202"
"120","ENSMUSG00000037411"
"121","ENSMUSG00000030849"
"122","ENSMUSG00000016128"
"123","ENSMUSG00000052435"
"124","ENSMUSG00000098142"
"125","ENSMUSG00000039201"
"126","ENSMUSG00000100033"
"127","ENSMUSG00000024900"
"128","ENSMUSG00000103053"
"129","ENSMUSG00000022797"
"130","ENSMUSG00000080054"
"131","ENSMUSG00000089936"
"132","ENSMUSG00000111282"
"133","ENSMUSG00000052928"
"134","ENSMUSG00000032392"
"135","ENSMUSG00000001627"
"136","ENSMUSG00000022751"
"137","ENSMUSG00000047407"
"138","ENSMUSG00000078157"
"139","ENSMUSG00000111875"
"140","ENSMUSG00000108368"
"141","ENSMUSG00000032599"
"142","ENSMUSG00000030670"
"143","ENSMUSG00000053617"
"144","ENSMUSG00000005124"
