© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Acute Phase Response Signaling	8.99E00	5.2E-02	0.447	AHSG,APOA2,FGG,ITIH4,NFKBIA,SERPINA1,SERPINA3,SERPINF2,SOCS3	
LXR/RXR Activation	4.84E00	4.46E-02	2.236	AHSG,APOA2,ITIH4,SERPINA1,SERPINF2	
FXR/RXR Activation	4.79E00	4.35E-02	NaN	AHSG,APOA2,ITIH4,SERPINA1,SERPINF2	
Coagulation System	3.91E00	8.57E-02	NaN	FGG,SERPINA1,SERPINF2	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	3.88E00	2.81E-02	0.447	APOA2,NFKBIA,RHOB,RND3,SERPINA1	
Sumoylation Pathway	2.61E00	3.09E-02	NaN	NFKBIA,RHOB,RND3	
IL-9 Signaling	2.37E00	5.71E-02	NaN	CISH,SOCS3	
IL-17A Signaling in Fibroblasts	2.37E00	5.71E-02	NaN	CEBPD,NFKBIA	
IL-12 Signaling and Production in Macrophages	2.37E00	2.54E-02	NaN	APOA2,NFKBIA,SERPINA1	
IL-23 Signaling Pathway	2.14E00	4.35E-02	NaN	NFKBIA,SOCS3	
Gαq Signaling	1.97E00	1.82E-02	NaN	NFKBIA,RHOB,RND3	
Semaphorin Signaling in Neurons	1.95E00	3.45E-02	NaN	RHOB,RND3	
IL-10 Signaling	1.8E00	2.9E-02	NaN	NFKBIA,SOCS3	
Glioma Invasiveness Signaling	1.79E00	2.86E-02	NaN	RHOB,RND3	
Maturity Onset Diabetes of Young (MODY) Signaling	1.77E00	2.78E-02	NaN	APOA2,KLF11	
mTOR Signaling	1.75E00	1.5E-02	NaN	DDIT4,RHOB,RND3	
IL-8 Signaling	1.74E00	1.49E-02	NaN	NFKBIA,RHOB,RND3	
Integrin Signaling	1.72E00	1.47E-02	NaN	ARHGAP26,RHOB,RND3	
JAK/Stat Signaling	1.66E00	2.44E-02	NaN	CISH,SOCS3	
NRF2-mediated Oxidative Stress Response	1.64E00	1.37E-02	NaN	CYP3A5,DNAJB13,ENC1	
Actin Nucleation by ARP-WASP Complex	1.61E00	2.27E-02	NaN	RHOB,RND3	
Unfolded protein response	1.6E00	2.25E-02	NaN	CEBPD,DNAJB13	
p53 Signaling	1.55E00	2.13E-02	NaN	GADD45G,TP53INP1	
ATM Signaling	1.55E00	2.11E-02	NaN	GADD45G,NFKBIA	
PPAR Signaling	1.47E00	1.9E-02	NaN	NFKBIA,NRIP1	
Regulation of Actin-based Motility by Rho	1.44E00	1.85E-02	NaN	RHOB,RND3	
Sphingosine-1-phosphate Signaling	1.41E00	1.79E-02	NaN	RHOB,RND3	
Cholecystokinin/Gastrin-mediated Signaling	1.41E00	1.77E-02	NaN	RHOB,RND3	
Atherosclerosis Signaling	1.39E00	1.72E-02	NaN	APOA2,SERPINA1	
Extrinsic Prothrombin Activation Pathway	1.36E00	6.25E-02	NaN	FGG	
IL-6 Signaling	1.33E00	1.6E-02	NaN	NFKBIA,SOCS3	
Adipogenesis pathway	1.29E00	1.53E-02	NaN	CEBPD,TXNIP	
Phagosome Formation	1.29E00	1.53E-02	NaN	RHOB,RND3	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.27E00	9.74E-03	NaN	CEBPD,NFKBIA,SOCS3	
STAT3 Pathway	1.27E00	1.48E-02	NaN	CISH,SOCS3	
GADD45 Signaling	1.27E00	5E-02	NaN	GADD45G	
Apelin Endothelial Signaling Pathway	1.26E00	1.46E-02	NaN	APLNR,KLF2	
Bupropion Degradation	1.23E00	4.55E-02	NaN	CYP3A5	
Apelin Cardiac Fibroblast Signaling Pathway	1.21E00	4.35E-02	NaN	APLNR	
Aryl Hydrocarbon Receptor Signaling	1.2E00	1.35E-02	NaN	CYP3A5,NRIP1	
IL-22 Signaling	1.19E00	4.17E-02	NaN	SOCS3	
Type II Diabetes Mellitus Signaling	1.19E00	1.33E-02	NaN	NFKBIA,SOCS3	
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.17E00	4E-02	NaN	SOCS3	
HMGB1 Signaling	1.16E00	1.29E-02	NaN	RHOB,RND3	
Apelin Liver Signaling Pathway	1.16E00	3.85E-02	NaN	APLNR	
CXCR4 Signaling	1.13E00	1.23E-02	NaN	RHOB,RND3	
Germ Cell-Sertoli Cell Junction Signaling	1.13E00	1.23E-02	NaN	RHOB,RND3	
Xenobiotic Metabolism CAR Signaling Pathway	1.11E00	1.2E-02	NaN	CYP3A5,NRIP1	
Acetone Degradation I (to Methylglyoxal)	1.11E00	3.45E-02	NaN	CYP3A5	
Glioblastoma Multiforme Signaling	1.1E00	1.19E-02	NaN	RHOB,RND3	
Xenobiotic Metabolism PXR Signaling Pathway	1.1E00	1.18E-02	NaN	CYP3A5,NRIP1	
TNFR2 Signaling	1.07E00	3.12E-02	NaN	NFKBIA	
Role of JAK2 in Hormone-like Cytokine Signaling	1.07E00	3.12E-02	NaN	SOCS3	
Hepatic Cholestasis	1.06E00	1.12E-02	NaN	CYP3A5,NFKBIA	
4-1BB Signaling in T Lymphocytes	1.06E00	3.03E-02	NaN	NFKBIA	
Pyrimidine Ribonucleotides Interconversion	1.06E00	3.03E-02	NaN	NUDT18	
Clathrin-mediated Endocytosis Signaling	1.05E00	1.1E-02	NaN	APOA2,SERPINA1	
MIF-mediated Glucocorticoid Regulation	1.05E00	2.94E-02	NaN	NFKBIA	
PPARα/RXRα Activation	1.04E00	1.09E-02	NaN	APOA2,NFKBIA	
Role of RIG1-like Receptors in Antiviral Innate Immunity	1.03E00	2.86E-02	NaN	NFKBIA	
Pyrimidine Ribonucleotides De Novo Biosynthesis	1.03E00	2.86E-02	NaN	NUDT18	
ILK Signaling	1.02E00	1.06E-02	NaN	RHOB,RND3	
TWEAK Signaling	1.01E00	2.7E-02	NaN	NFKBIA	
Hepatic Fibrosis Signaling Pathway	9.91E-01	7.41E-03	NaN	NFKBIA,RHOB,RND3	
Intrinsic Prothrombin Activation Pathway	9.87E-01	2.56E-02	NaN	FGG	
Estrogen Biosynthesis	9.87E-01	2.56E-02	NaN	CYP3A5	
Thrombin Signaling	9.63E-01	9.8E-03	NaN	RHOB,RND3	
MIF Regulation of Innate Immunity	9.59E-01	2.38E-02	NaN	NFKBIA	
April Mediated Signaling	9.59E-01	2.38E-02	NaN	NFKBIA	
B Cell Activating Factor Signaling	9.51E-01	2.33E-02	NaN	NFKBIA	
RhoGDI Signaling	9.47E-01	9.62E-03	NaN	RHOB,RND3	
Apelin Pancreas Signaling Pathway	9.32E-01	2.22E-02	NaN	APLNR	
Molecular Mechanisms of Cancer	9.28E-01	6.93E-03	NaN	NFKBIA,RHOB,RND3	
iNOS Signaling	9.21E-01	2.17E-02	NaN	NFKBIA	
Melatonin Degradation I	9.21E-01	2.17E-02	NaN	CYP3A5	
Nicotine Degradation III	9.03E-01	2.08E-02	NaN	CYP3A5	
Apelin Muscle Signaling Pathway	9.03E-01	2.08E-02	NaN	APLNR	
TNFR1 Signaling	8.86E-01	2E-02	NaN	NFKBIA	
FAT10 Cancer Signaling Pathway	8.86E-01	2E-02	NaN	NFKBIA	
Superpathway of Melatonin Degradation	8.79E-01	1.96E-02	NaN	CYP3A5	
Role of IL-17A in Arthritis	8.63E-01	1.89E-02	NaN	NFKBIA	
Activation of IRF by Cytosolic Pattern Recognition Receptors	8.57E-01	1.85E-02	NaN	NFKBIA	
Lymphotoxin β Receptor Signaling	8.57E-01	1.85E-02	NaN	NFKBIA	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	8.57E-01	1.85E-02	NaN	NFKBIA	
CD27 Signaling in Lymphocytes	8.42E-01	1.79E-02	NaN	NFKBIA	
Nicotine Degradation II	8.42E-01	1.79E-02	NaN	CYP3A5	
Cardiac Hypertrophy Signaling	8.21E-01	8.03E-03	NaN	RHOB,RND3	
PXR/RXR Activation	8.15E-01	1.67E-02	NaN	CYP3A5	
IL-17A Signaling in Airway Cells	7.96E-01	1.59E-02	NaN	NFKBIA	
Signaling by Rho Family GTPases	7.9E-01	7.69E-03	NaN	RHOB,RND3	
Induction of Apoptosis by HIV1	7.88E-01	1.56E-02	NaN	NFKBIA	
Mitotic Roles of Polo-Like Kinase	7.88E-01	1.56E-02	NaN	PLK2	
Colorectal Cancer Metastasis Signaling	7.85E-01	7.63E-03	NaN	RHOB,RND3	
CD40 Signaling	7.77E-01	1.52E-02	NaN	NFKBIA	
Xenobiotic Metabolism Signaling	7.77E-01	7.55E-03	NaN	CYP3A5,NRIP1	
