© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
IL1B	 	cytokine	 	-1.403	6.00E-11	5.07E-08	ADAMTS1,CSF1,DDIT4,ERRFI1,IRF1,MYOD1,NFKBIA,SLC25A25,SOCS3,TSC22D3,UCP3,ZFP36	20 (5)
G protein alphai	 	group	 	0.378	1.09E-07	2.70E-05	ADAMTS1,CEBPD,FOSL2,IRGM,KLF4,NR4A3,SOCS3	 
STAT	 	group	 	 	1.60E-07	2.70E-05	BCL2L1,SOCS1,SOCS3	 
METTL3	 	enzyme	 	 	1.60E-07	2.70E-05	CISH,SOCS1,SOCS3	4 (2)
ZMPSTE24	 	peptidase	 	0.842	1.60E-07	2.70E-05	CISH,DDIT4,GADD45G,SOCS1,SOCS2,SOCS3	 
TICAM1	 	other	 	-0.096	4.54E-07	6.40E-05	CEBPD,IFI16,IRF1,IRGM,NFKBIA,RHOB,SOCS1,SOCS3	15 (6)
TLR4	 	transmembrane receptor	 	0.849	6.12E-07	7.39E-05	CEBPD,CISH,DDIT3,GADD45G,IFI16,IRF1,IRGM,NFKBIA,PLK2,SOCS1,SOCS3	21 (7)
IFNG	 	cytokine	 	0.627	1.04E-06	1.10E-04	BCL2L1,CCN2,CEBPD,CSF1,DDIT3,FAM107A,IFI16,IRF1,MYOD1,NFKBIA,PFKFB3,SLC16A9,SOCS1,SOCS3	18 (5)
STAT5A	 	transcription regulator	 	0.849	1.39E-06	1.31E-04	BCL2L1,CISH,FOSL2,GADD45G,SOCS1,SOCS2,SOCS3,ZFP36	12 (4)
IRAK4	 	kinase	 	 	1.62E-06	1.37E-04	ERRFI1,IRF1,NFKBIA,SLC25A25,SOCS1,ZFP36	 
SOCS1	4.324	other	 	-1.000	4.36E-06	3.33E-04	BCL2L1,CISH,IFI16,IRF1,IRGM,SOCS3	13 (5)
ADRB	 	group	 	1.134	4.82E-06	3.33E-04	ANGPTL4,ANKRD1,DDIT3,DDIT4,FAM214A,KLF4,SLC6A9	 
GNAS	 	enzyme	 	-0.447	5.13E-06	3.33E-04	ADAMTS1,ARL4D,FOSL2,KLF4,NR4A3	 
NR3C1	 	ligand-dependent nuclear receptor	 	-1.715	6.20E-06	3.74E-04	ANGPTL4,CEBPD,DDIT4,ERRFI1,NFKBIA,PFKFB3,SLC43A1,TSC22D3,USP54	 
CREB1	 	transcription regulator	 	-0.896	7.70E-06	4.11E-04	APOLD1,CIART,ERRFI1,KLF4,SERTAD1,TIPARP	7 (2)
VDR	 	transcription regulator	 	-0.873	7.78E-06	4.11E-04	BCL2L1,CISH,CSF1,DSG1,F3,GADD45G,SOCS1,SOCS3	 
IKBKB	 	kinase	 	0.412	9.84E-06	4.89E-04	ANKRD1,BCL2L1,CCN2,CEBPD,CSF1,IFI16,NFKBIA,SOCS3	25 (5)
CREM	 	transcription regulator	 	-1.000	1.07E-05	5.01E-04	APOLD1,CIART,ERRFI1,Pln,SERTAD1,TIPARP	 
NFATC2	 	transcription regulator	 	1.633	1.19E-05	5.30E-04	BCL2L1,IRF1,IRGM,NFKBIA,PLK2,SOCS1,SOCS3	23 (7)
HIF1A	 	transcription regulator	 	-0.388	2.72E-05	1.15E-03	CCN2,CSF1,DDIT4,NFKBIA,NRARP,PFKFB3,SOCS3	 
GFI1	 	transcription regulator	 	1.725	3.86E-05	1.55E-03	FOSL2,GADD45G,IRF1,NFKBIA,RASGRP1,S1PR1	 
CASR	 	G-protein coupled receptor	 	-1.633	4.05E-05	1.56E-03	BCL2L1,CISH,CSF1,DSG1,GADD45G,SOCS3	 
ATF4	 	transcription regulator	 	0.714	4.46E-05	1.64E-03	ANKRD1,DDIT3,DDIT4,KLF4,MID1IP1,SLC6A9	 
TLR9	 	transmembrane receptor	 	0.000	4.84E-05	1.70E-03	BCL2L1,CISH,CSF1,IFI16,PFKFB3,SOCS1,SOCS3	16 (4)
TNF	 	cytokine	 	0.831	6.16E-05	2.08E-03	BCL2L1,CEBPD,CSF1,F3,IRF1,MYOD1,NFKBIA,SOCS3,TSC22D3	26 (6)
SLC3A2	 	transporter	 	 	8.88E-05	2.89E-03	ANKRD1,CCN2	 
CLOCK	 	transcription regulator	 	 	1.16E-04	3.64E-03	ANGPTL4,DBP,DDIT3,MID1IP1,PER2,TSPAN4	 
PTGER4	 	G-protein coupled receptor	 	-1.300	1.21E-04	3.65E-03	ARRDC3,IFI16,IRF1,IRGM,S1PR1,TP53INP1	 
ZBTB20	 	transcription regulator	 	-0.762	1.61E-04	4.33E-03	CISH,NFKBIA,SOCS2,SOCS3	 
NFAT5	 	transcription regulator	 	0.000	1.61E-04	4.33E-03	F3,IFI16,IRF1,IRGM	9 (4)
STEAP3	 	transporter	 	1.000	1.61E-04	4.33E-03	CCN2,ERRFI1,NR4A3,S1PR1	 
DDX58	 	enzyme	 	0.343	1.74E-04	4.33E-03	IRF1,KLF4,SOCS1,SOCS3	8 (4)
SERPINE1	 	other	 	-0.577	1.74E-04	4.33E-03	ANKRD1,DBP,UCP3,ZFP36	 
MAPKAPK2	 	kinase	 	-1.886	1.74E-04	4.33E-03	CEBPD,DDIT3,NFKBIA,ZFP36	 
YY1	 	transcription regulator	 	 	1.87E-04	4.45E-03	ANKRD1,BCL2L1,DDIT4,GADD45G,MYOD1,RND3,TP53INP1	 
LEPR	 	transmembrane receptor	 	0.555	1.90E-04	4.45E-03	ANGPTL4,GADD45G,SOCS2,SOCS3,TP53INP1,TSC22D3	 
TLR3	 	transmembrane receptor	 	0.686	2.34E-04	5.34E-03	IFI16,IRF1,PFKFB3,PLK2,SOCS1,SOCS3	18 (6)
OSMR	 	transmembrane receptor	 	 	2.51E-04	5.55E-03	CISH,SOCS1,SOCS3,ZFP36	8 (2)
BDNF	 	growth factor	 	 	2.56E-04	5.55E-03	MYOD1,PER2,PFKFB3,TIPARP,TRIB2	 
SOX15	 	transcription regulator	 	 	2.94E-04	5.84E-03	CCN2,MYOD1	 
TNFAIP3	 	enzyme	 	 	2.97E-04	5.84E-03	BCL2L1,CSF1,NFKBIA	17 (5)
GLI1	 	transcription regulator	 	 	2.97E-04	5.84E-03	CSF1,SOCS2,SOCS3	 
CD14	 	transmembrane receptor	 	 	2.97E-04	5.84E-03	CISH,SOCS1,SOCS3	13 (6)
Il3	 	cytokine	 	 	3.07E-04	5.89E-03	BCL2L1,CISH,CSF1,SOCS1	15 (6)
IL2	 	cytokine	 	1.109	3.69E-04	6.93E-03	BCL2L1,CISH,CSF1,PTGIR,SOCS2,SOCS3	12 (4)
FCGR2B	 	transmembrane receptor	 	 	3.79E-04	6.95E-03	RASGRP1,SOCS1,SOCS3	 
IRAK3	 	kinase	 	 	4.24E-04	7.63E-03	CCN2,NFKBIA,SOCS1	 
CHUK	 	kinase	 	0.074	5.18E-04	9.07E-03	CEBPD,CSF1,IFI16,NFKBIA,SOCS3	 
IRF9	 	transcription regulator	 	 	5.26E-04	9.07E-03	IRF1,SOCS1,SOCS3	7 (4)
KLKB1	 	peptidase	 	 	6.13E-04	9.94E-03	F3,KLF4	 
EPO	 	cytokine	 	 	6.13E-04	9.94E-03	BCL2L1,SOCS3	4 (3)
FLT1	 	kinase	 	 	6.13E-04	9.94E-03	APLNR,DEPP1	 
mir-21	 	microRNA	 	-1.000	6.24E-04	9.94E-03	DBP,IFI16,IRF1,IRGM,PER2	 
IRF2	 	transcription regulator	 	 	6.42E-04	1.00E-02	IRF1,KLF4,PFKFB3	 
CREBBP	 	transcription regulator	 	 	6.99E-04	1.05E-02	FOSL2,MCF2L,MYOD1,PLEKHF1,SLC43A1,SOCS3,TIPARP	 
STAT2	 	transcription regulator	 	 	7.05E-04	1.05E-02	IRF1,SOCS1,SOCS3	7 (2)
IFIH1	 	enzyme	 	 	7.05E-04	1.05E-02	CISH,NFKBIA,RND3	 
STAT3	 	transcription regulator	 	0.868	7.96E-04	1.16E-02	BCL2L1,IFI16,IRF1,MYOD1,SOCS1,SOCS3,ZFP36	15 (3)
IFNAR1	 	transmembrane receptor	 	0.927	8.54E-04	1.21E-02	CSF1,IFI16,IRF1,SOCS1,SOCS3	17 (6)
ID2	 	transcription regulator	 	0.447	8.60E-04	1.21E-02	BCL2L1,CSF1,GADD45G,NR4A3,SOCS3,TNFRSF19	 
GNB2	 	enzyme	 	 	9.99E-04	1.34E-02	FOSL2,PLK2,TSC22D3	 
GNB1	 	enzyme	 	 	9.99E-04	1.34E-02	FOSL2,PLK2,TSC22D3	 
GNAQ	 	enzyme	 	 	9.99E-04	1.34E-02	ADAMTS1,CCN2,SOCS3	 
