"","x"
"1","B230312C02Rik"
"2","A430033K04Rik"
"3","Ciart"
"4","Nudt18"
"5","Nr4a3"
"6","Stk35"
"7","Nrip1"
"8","Per2"
"9","Azgp1"
"10","Mup-ps17"
"11","Fgg"
"12","Serpina1e"
"13","Mug-ps1"
"14","Serpina3m"
"15","Ahsg"
"16","Apoa2"
"17","Serpina3k"
"18","Apoc1"
"19","Cyp3a11"
"20","Serpinf2"
"21","Itih4"
"22","Pzp"
"23","Serpina1c"
"24","Irgm2"
"25","Parp16"
"26","9530077C05Rik"
"27","Slc25a29"
"28","Vgll4"
"29","Zfp503"
"30","Igsf9b"
"31","Adamts20"
"32","Dbp"
"33","D630030B08Rik"
"34",NA
"35","Gm42466"
"36","Ddit3"
"37","Gm9847"
"38","Socs2"
"39","Ptgir"
"40","Dok7"
"41","Tspan4"
"42","Slc6a9"
"43","Hic1"
"44","Mmrn2"
"45","Bhlhe41"
"46","Socs1"
"47","Ankrd1"
"48","Adamts1"
"49","Pcdh18"
"50","Myod1"
"51","Has3"
"52","Aplnr"
"53","Rnd3"
"54","Gm13535"
"55","Trib2"
"56","Dsg1a"
"57","Flg2"
"58","Hrnr"
"59","Pkp1"
"60","Rasgrp1"
"61","Egfl7"
"62","Socs3"
"63","Irf1"
"64","Sertad1"
"65","Sema4c"
"66","Mid1ip1"
"67","Ldlrap1"
"68","Nrarp"
"69","4930517G19Rik"
"70","Gm45244"
"71","Trib1"
"72","Gm18856"
"73","Cish"
"74","Gm45828"
"75","Gm44193"
"76","Ralgds"
"77","Csf1"
"78","F3"
"79","Plk2"
"80","G0s2"
"81","Rab3il1"
"82","Myct1"
"83","Lratd2"
"84","Gm49759"
"85","Xirp1"
