"","x"
"1","ENSMUSG00000003545"
"2","ENSMUSG00000037411"
"3","ENSMUSG00000104235"
"4","ENSMUSG00000022483"
"5","ENSMUSG00000050014"
"6","ENSMUSG00000028341"
"7","ENSMUSG00000029304"
"8","ENSMUSG00000052837"
"9","ENSMUSG00000038007"
"10","ENSMUSG00000021250"
"11","ENSMUSG00000089827"
"12","ENSMUSG00000032515"
"13","ENSMUSG00000020423"
"14","ENSMUSG00000017737"
"15","ENSMUSG00000024042"
"16","ENSMUSG00000028584"
"17","ENSMUSG00000029135"
"18","ENSMUSG00000042622"
"19","ENSMUSG00000069114"
"20","ENSMUSG00000040283"
"21","ENSMUSG00000038894"
"22","ENSMUSG00000040152"
"23","ENSMUSG00000050931"
"24","ENSMUSG00000090698"
"25","ENSMUSG00000085672"
"26","ENSMUSG00000050471"
"27","ENSMUSG00000033107"
"28","ENSMUSG00000032374"
"29","ENSMUSG00000030022"
"30","ENSMUSG00000001542"
"31","ENSMUSG00000099893"
"32","ENSMUSG00000026826"
"33","ENSMUSG00000001348"
"34","ENSMUSG00000041378"
"35","ENSMUSG00000037225"
"36","ENSMUSG00000091712"
"37","ENSMUSG00000028111"
"38","ENSMUSG00000030849"
"39","ENSMUSG00000038304"
"40","ENSMUSG00000034958"
"41","ENSMUSG00000044786"
"42","ENSMUSG00000056071"
"43","ENSMUSG00000019838"
"44","ENSMUSG00000074489"
"45","ENSMUSG00000109916"
"46","ENSMUSG00000112734"
"47","ENSMUSG00000056708"
"48","ENSMUSG00000099406"
"49","ENSMUSG00000038736"
"50","ENSMUSG00000038859"
"51","ENSMUSG00000005483"
"52","ENSMUSG00000090990"
"53","ENSMUSG00000039462"
"54","ENSMUSG00000032332"
"55","ENSMUSG00000017491"
"56","ENSMUSG00000039220"
"57","ENSMUSG00000108784"
"58","ENSMUSG00000028989"
"59","ENSMUSG00000098609"
"60","ENSMUSG00000033871"
"61","ENSMUSG00000103253"
"62","ENSMUSG00000029178"
"63","ENSMUSG00000021750"
"64","ENSMUSG00000015202"
"65","ENSMUSG00000108489"
"66","ENSMUSG00000031849"
"67","ENSMUSG00000112897"
"68","ENSMUSG00000109864"
"69","ENSMUSG00000044167"
"70","ENSMUSG00000041991"
"71","ENSMUSG00000104030"
"72","ENSMUSG00000008384"
"73","ENSMUSG00000031824"
"74","ENSMUSG00000021453"
"75","ENSMUSG00000066595"
"76","ENSMUSG00000006476"
"77","ENSMUSG00000036452"
"78","ENSMUSG00000111394"
"79","ENSMUSG00000003476"
"80","ENSMUSG00000026121"
"81","ENSMUSG00000098343"
"82","ENSMUSG00000020108"
"83","ENSMUSG00000066170"
"84","ENSMUSG00000102844"
"85","ENSMUSG00000002910"
"86","ENSMUSG00000054364"
"87","ENSMUSG00000048489"
"88","ENSMUSG00000022893"
"89","ENSMUSG00000103611"
"90","ENSMUSG00000021025"
"91","ENSMUSG00000037892"
"92","ENSMUSG00000109225"
"93","ENSMUSG00000106837"
"94","ENSMUSG00000097857"
"95","ENSMUSG00000038583"
"96","ENSMUSG00000041773"
