"","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000019850",1.67328685731419,2.13831543538423,39.5464149416524,3.2035399595999e-10,6.03130468193874e-06
"ENSMUSG00000060795",1.17029775400945,3.62551503306633,36.4573554922793,1.5604315116801e-09,1.46891220352006e-05
"ENSMUSG00000094388",1.19828608789722,4.04954418481239,33.7541579816569,6.25352390027071e-09,3.01037158890047e-05
"ENSMUSG00000096592",1.19749107711425,4.04939780606785,33.7103766944355,6.39586038965415e-09,3.01037158890047e-05
"ENSMUSG00000058873",1.18356229753885,3.54170283097084,32.2440565735103,1.35972374737776e-08,4.32772237415187e-05
"ENSMUSG00000018983",-3.27102471440811,-1.3789851989233,32.1469789805554,1.42938782742318e-08,4.32772237415187e-05
"ENSMUSG00000060096",-1.01036592763057,3.49873546944252,31.8159194474181,1.69497787179505e-08,4.32772237415187e-05
"ENSMUSG00000022025",-3.3618193350525,-0.973545579177355,31.6575919232429,1.83894295390742e-08,4.32772237415187e-05
"ENSMUSG00000042293",1.07902548040525,2.02387890046617,31.3335041472332,2.17297137843753e-08,4.54561468242703e-05
"ENSMUSG00000075232",-0.995692417482429,4.96749451538752,29.6312334011382,5.22561020657304e-08,9.83825633591506e-05
"ENSMUSG00000067813",-1.29916770882172,2.79657377933443,28.4808367744653,9.46304867640414e-08,0.000161964379482419
"ENSMUSG00000047669",2.64190387657128,-0.805276375590819,27.7915099883963,1.35117752330954e-07,0.000207137278674339
"ENSMUSG00000022540",1.44269816340687,2.36862513147497,27.5318421529846,1.54529318456219e-07,0.000207137278674339
"ENSMUSG00000063953",-0.978204490509505,4.70775507882142,27.4853362557619,1.5829011830357e-07,0.000207137278674339
"ENSMUSG00000041471",-0.747024568098838,5.08577340818653,27.4046715126645,1.65032091151807e-07,0.000207137278674339
"ENSMUSG00000067071",-1.54342097837067,3.83814858772873,27.2660759187363,1.77294889887174e-07,0.000208620680744114
"ENSMUSG00000095388",-2.74138319235681,3.06290306900855,26.3962304834633,2.78082647361567e-07,0.000290859877168436
"ENSMUSG00000095143",-2.74138319289736,3.06290306900855,26.3962246590575,2.78083485899604e-07,0.000290859877168436
"ENSMUSG00000048503",1.99436334007677,-0.971933451430208,26.2236865030944,3.04069901628226e-07,0.000301301265155506
"ENSMUSG00000020290",0.86893520822961,4.35173386520625,26.018086833764,3.38233746664367e-07,0.000318396337422501
"ENSMUSG00000085834",3.26859625993704,2.04228923792042,25.8254537183218,3.73727289156129e-07,0.000335055412997259
"ENSMUSG00000111282",3.82633498127193,4.02829514112078,25.6358650891815,4.12304530235102e-07,0.000352838972306194
"ENSMUSG00000030946",0.972016192892167,4.31993703045631,25.1136692643697,5.40483723929021e-07,0.000442421176974421
"ENSMUSG00000042406",-0.758873517169155,5.00644356027002,25.028753902021,5.64816946402264e-07,0.000443075360413143
"ENSMUSG00000066357",-1.5517742658596,2.14585021323332,24.9206880299623,5.97379156128257e-07,0.000449874294897068
"ENSMUSG00000037411",1.83827809671753,0.388819825127142,24.5498983831137,7.24101606572231e-07,0.000524333113343669
"ENSMUSG00000015396",1.46306634005503,0.806951748148597,24.3954707972436,7.84529219777728e-07,0.000543817504250372
"ENSMUSG00000030278",3.84831384459855,2.49031946190857,24.3103493597772,8.19973159185441e-07,0.000543817504250372
"ENSMUSG00000088103",2.87603626065074,-1.54503949914986,24.2692331651771,8.37664398112327e-07,0.000543817504250372
"ENSMUSG00000090817",-2.48817682773335,2.7076837966861,24.2014619105024,8.67663946235283e-07,0.000544516970525722
"ENSMUSG00000092274",1.328366915835,6.24223346184898,23.7369047223214,1.10444283579322e-06,0.000670753073208999
"ENSMUSG00000038092",-3.76901191420041,5.29237583111651,23.6077774209641,1.18109178224952e-06,0.000694630794857744
"ENSMUSG00000025936",-2.49562058848663,1.40193658257774,23.540289761344,1.22325207284062e-06,0.000694630794857744
"ENSMUSG00000044026",-0.999607760790769,4.08019875282014,23.4918419920364,1.2544455848071e-06,0.000694630794857744
"ENSMUSG00000019836",-0.925475232269029,2.69824720847036,23.047905982241,1.58014516585878e-06,0.000849982658217807
"ENSMUSG00000025509",1.06998800316068,4.29076761371681,22.8937403436381,1.71208501612361e-06,0.000895372905515533
"ENSMUSG00000032080",3.649095821961,7.51684635304293,22.5966406253913,1.99833720543625e-06,0.00101682958288509
"ENSMUSG00000024045",-0.641933082116332,3.4372842061169,22.4061141798204,2.20670401050961e-06,0.00109272808932846
"ENSMUSG00000030126",-0.693905816089822,4.30840781047047,22.3572418766106,2.26357866276145e-06,0.00109272808932846
"ENSMUSG00000037169",-6.18814362265453,-1.63194535867676,22.2799599883453,2.35653120996404e-06,0.00110916032724983
"ENSMUSG00000022091",1.04747412880824,2.97349859577068,22.1501833790325,2.52131884336353e-06,0.00114188657982076
"ENSMUSG00000103034",0.740174833111334,5.80858955367982,22.1065014625685,2.57934693254342e-06,0.00114188657982076
"ENSMUSG00000033159",0.653837060401441,4.40282613927054,22.085282526434,2.60801630277224e-06,0.00114188657982076
"ENSMUSG00000025260",1.46343452952503,6.61767196883686,22.0102640479135,2.71196301027913e-06,0.00116041199078466
"ENSMUSG00000053841",-0.704056649030339,3.87541751151935,21.7880738025132,3.04486947723958e-06,0.00127390572551088
"ENSMUSG00000048550",0.91820524245804,1.52290044553396,21.5095877601058,3.52064034190612e-06,0.00144093686341449
"ENSMUSG00000051041",-1.26731499386421,1.80859201661957,21.4501599414329,3.63145729822708e-06,0.00145466907561109
"ENSMUSG00000020538",-2.25158199021716,5.64990258238759,21.4017280649884,3.72435359999358e-06,0.00146080010889748
"ENSMUSG00000093610",-1.83422115051277,3.35161950403081,21.3136702770294,3.89940829008468e-06,0.00149824816076376
"ENSMUSG00000105909",1.74971291762039,0.694832425095443,20.8131455344941,5.06342259272638e-06,0.00189635553840252
"ENSMUSG00000037661",2.21683829959759,-1.87241912835036,20.7855193605411,5.13699115411529e-06,0.00189635553840252
"ENSMUSG00000025533",1.49722437968396,8.35011786658534,20.6243629934345,5.58804598559826e-06,0.00196166348163074
"ENSMUSG00000035329",-0.889505336976399,2.87037191584284,20.6175971874757,5.60782871674437e-06,0.00196166348163074
"ENSMUSG00000047822",-1.2072240500288,4.88885186411042,20.6112386376174,5.62648472980612e-06,0.00196166348163074
"ENSMUSG00000030659",-1.43355257518701,-0.192243210129123,20.5728291531708,5.74051048177426e-06,0.00196502892437025
"ENSMUSG00000003032",1.64012500792554,0.397022024841096,20.537450660927,5.84758928355041e-06,0.00196593863288221
"ENSMUSG00000105315",-1.64318452771148,0.513405768772552,20.4965135135162,5.97399689481301e-06,0.00197320069366043
"ENSMUSG00000030499",0.990155239411831,1.88410073660467,20.456239311148,6.10103380607938e-06,0.00198041661150097
"ENSMUSG00000041084",-0.727853492873694,3.79835443642781,20.3412575205169,6.47884214404017e-06,0.0020674095092516
"ENSMUSG00000040213",-0.864213083470158,5.61245269487464,20.2398270957411,6.83157642659581e-06,0.00214363482305866
"ENSMUSG00000052605",1.06058235887546,2.33856824778943,20.0857124643369,7.40477870465599e-06,0.00228540604381243
"ENSMUSG00000096105",1.89013227236008,10.8668387907106,19.9705470095756,7.86442675272727e-06,0.00232998378729975
"ENSMUSG00000030779",-0.602851060725935,4.0071345040847,19.9690132871643,7.87073759807902e-06,0.00232998378729975
"ENSMUSG00000010755",-0.873213058837774,2.31021422657315,19.9569663532806,7.92048453748257e-06,0.00232998378729975
"ENSMUSG00000038323",-0.814903707870301,3.78462562171112,19.8571921534934,8.34481783317514e-06,0.00239296864797034
"ENSMUSG00000057103",-1.44244608040919,5.00507120002471,19.8413048066255,8.41446142033519e-06,0.00239296864797034
"ENSMUSG00000005732",-0.76531182346779,2.22663126091726,19.8031238188929,8.58422686858554e-06,0.00239296864797034
"ENSMUSG00000021427",-0.688870208399271,5.51701629418527,19.7677743115603,8.74446691702487e-06,0.00239296864797034
"ENSMUSG00000040128",0.755232471044672,4.51577628037108,19.7621780708584,8.77010871142261e-06,0.00239296864797034
"ENSMUSG00000054364",0.813443201904864,3.60916686896026,19.4995725433578,1.00622197050671e-05,0.00270630586267569
"ENSMUSG00000031770",-1.44621187767244,7.66461745827081,19.4168313192508,1.05076914781949e-05,0.00278631418957712
"ENSMUSG00000033658",-0.552993307874058,4.24771845164141,19.3696924635495,1.0770283499954e-05,0.00281627954796714
"ENSMUSG00000072889",-1.27961715497944,2.26837622552677,19.3172564643345,1.10701335225832e-05,0.0028427360065177
"ENSMUSG00000086784",0.596523570403407,4.61502831283421,19.2995196109284,1.11734458215493e-05,0.0028427360065177
"ENSMUSG00000075701",-0.673808842146001,4.05572303808021,19.1477329650433,1.20981109376606e-05,0.00301061373311
"ENSMUSG00000030739",0.776645168933036,2.95415411013767,19.1135786562306,1.23165485309354e-05,0.00301061373311
"ENSMUSG00000031808",1.65530442055655,2.96047397558706,19.1016178314074,1.23939780613481e-05,0.00301061373311
"ENSMUSG00000008153",1.65799584710625,1.32212380491191,19.0894987069377,1.24729309599288e-05,0.00301061373311
"ENSMUSG00000044763",-0.671503756607447,3.67739803769088,19.0122875352859,1.29879386130121e-05,0.0030952394970529
"ENSMUSG00000061132",1.75725192503169,-1.02512327500127,18.9672125236407,1.32984122292293e-05,0.00312522767663605
"ENSMUSG00000106129",-2.20068278273795,1.68391019142955,18.9116112129914,1.36916782261517e-05,0.00312522767663605
"ENSMUSG00000097275",0.870567876835016,1.10801819307428,18.8972488340006,1.37951473741395e-05,0.00312522767663605
"ENSMUSG00000105696",-2.19774896520158,1.68339614607159,18.8678249978139,1.40095809360319e-05,0.00312522767663605
"ENSMUSG00000106192",-1.14302678317108,0.85758520678177,18.8571966325602,1.408785811657e-05,0.00312522767663605
"ENSMUSG00000006736",0.711913064477058,5.73125524522002,18.8542341544778,1.41097547412792e-05,0.00312522767663605
"ENSMUSG00000105114",-1.14297914053425,0.856429746355657,18.8125748416971,1.4421316880493e-05,0.00314678102467693
