© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
POR	1.370	enzyme	Activated	3.951	1.77E-36	4.41E-33	ACADL,ACAT2,ACLY,Acot1,ACTG1,ADH4,Akr1c14,Aldh1a7,APOA4,AQP8,ATF5,CD74,Ces2a,CIITA,CPT1A,CYB5B,CYP17A1,CYP1A1,CYP1A2,CYP26A1,CYP2C18,CYP2C8,CYP4A11,CYP51A1,CYP7A1,CYP8B1,DHCR7,ECI1,EHHADH,ELOVL2,ELOVL5,ETHE1,FABP2,FADS2,FDFT1,FDPS,GADD45B,GSTA3,GSTA5,GSTM1,Gstm3,GSTM5,Gstm6,HADHB,HLA-DMA,HLA-DQA1,HLA-DQB1,HMGCS1,HMOX1,HSD17B10,HSD17B11,HSD3B1,Hsd3b4 (includes others),HSPH1,IDI1,INSIG1,KDR,LSS,MAP3K6,MSMO1,MVK,NRG4,NSDHL,PMVK,POR,PRNP,RETSAT,SC5D,SLC23A2,TM7SF2,TMEM229B,TMEM97,VNN1	 
PPARA	 	ligand-dependent nuclear receptor	Activated	4.407	9.73E-27	1.21E-23	AADAC,ABCB11,ABCB4,ABCG5,ABCG8,ACAA1,Acaa1b,ACADL,ACADM,ACAT1,ACAT2,Acot1,ACOT2,ANGPTL4,APOA4,AQP8,ASL,C8A,CDK2,CDKN1A,CHRNA2,CPT1A,CTH,CYB5B,Cyp2c40 (includes others),Cyp2c54 (includes others),CYP2C8,CYP4A11,Cyp4a14,CYP51A1,CYP7A1,CYP8B1,DECR1,DECR2,DHCR7,DYNLL1,ECH1,ECI1,EHHADH,ELOVL5,ETHE1,FABP2,FADS2,FDFT1,FDPS,G6PC,Gsta4,Gstt1,GSTT2/GSTT2B,H2AZ1,HADHA,HADHB,HLA-DQA1,HMGCS1,Hmgn2 (includes others),HNF4A,HSD17B10,HSD17B11,HSD17B4,HSD3B1,IDI1,IL1B,KYAT3,LAMB3,LECT2,LSS,MBL2,MGLL,MOGAT1,MSMO1,MVK,MYC,NSDHL,PC,PEX11A,PHLDA1,PLIN5,PMVK,PNPLA2,POR,PPA1,PTGR1,RBP4,RETSAT,RFX4,S100A8,SC5D,SELENBP1,SERINC2,SLC27A1,SREBF1,SRM,TNF,VNN1	 
NFE2L2	 	transcription regulator	Activated	2.836	9.24E-20	7.65E-17	ABCB11,ABCB4,ACTG1,AKR1B10,ALDOA,AOX1,APBA3,APOA4,ATF3,BHMT,BNIP3,CA3,CCT3,CCT7,CDC34,CELA1,Ces1g,CHORDC1,CLPP,COL3A1,COPS5,CXCL2,CXCL3,Cyp4a14,DDX39B,DHCR7,DYNLL1,EPB41,FKBP5,GAS2,GCLC,GHR,GNA14,GSTA3,Gsta4,GSTA5,GSTM1,Gstm3,GSTM5,Gstm6,Gstt1,GSTT2/GSTT2B,HACD3,HMOX1,HSD3B1,HSP90AA1,HSP90AB1,IDH1,IL1A,IL1B,INMT,LY6E,MAFG,MGLL,MORF4L2,MSMO1,NAT8B,PAFAH1B1,PCBP1,Pmaip1,PSMA7,PSMC1,PSMC3,PSMD1,PSMD12,PSMD13,PSMD3,PSMD7,RRS1,SEC23A,SERPINA6,SLC3A1,SOCS3,SREBF1,SRXN1,STIP1,SYT1,TKT,TNF,UGT2B28,XBP1	273 (8)
ADRB	 	group	 	0.471	6.67E-16	4.14E-13	ACAT2,ADAMTS4,ADGRL4,ANGPTL4,ATF3,ATF5,AXL,BHLHE40,BNIP3,CASP3,CAVIN2,CDKN1A,CXCL2,CYP51A1,DDIT4,FAM214A,FDPS,GADD45A,GSTA3,GSTA5,HMGCS1,HMOX1,HSD3B7,HSPD1,IDH1,INSIG1,KLF4,KLHL6,LBH,LSS,MSMO1,NCL,NSDHL,NUDT18,SRM,SRXN1,TEK,TRAF1,WEE1	 
ACOX1	 	enzyme	Inhibited	-3.711	8.79E-16	4.37E-13	ACAA1,ACADL,ACADM,ACOT2,AKR1C4,CDKN1A,CRAT,CTSV,CYP1A2,CYP26A1,Cyp2c54 (includes others),CYP2C8,Cyp2d9 (includes others),Cyp3a25 (includes others),CYP4A11,Cyp4a14,CYP4F12,EHHADH,FAM214A,G6PC,GADD45A,GOT1,HLA-DQA1,HSD3B1,IGFBP1,IGFBP2,IMPACT,KLF6,LHPP,MBL2,MGLL,PEX11A,PHLDA1,PIGP,RBM3,RGN,RGS2,SELENBP1,SLC20A1,SLC22A25,TRIB3,XBP1	118 (2)
RORC	 	ligand-dependent nuclear receptor	 	 	1.66E-15	6.89E-13	ABCG5,ACOT2,Aox3,APOA4,AQP8,ATP1B1,BHMT,CISH,Cyp2c54 (includes others),Cyp2c70,CYP2C8,Cyp3a25 (includes others),CYP4A11,Cyp4a14,CYP8B1,FDFT1,G6PC,GADD45B,GSTA5,GSTM2,HPGD,HSD3B1,Hsd3b4 (includes others),IGFBP1,IL1B,Keg1,LRTM1,NLRP3,NSDHL,POR,RDH16,S100A8,SDR9C7,SELENBP1,SLC16A10,SLC25A24,SLC30A10,SLC41A2,Slco1a1,UBE2O	 
SLC27A2	 	transporter	Inhibited	-4.642	1.66E-14	5.88E-12	ACAA1,Acaa1b,ACADL,ACADM,Acot1,CRAT,CYP4A11,Cyp4a14,DECR1,DECR2,DHRS4,ECI1,EHHADH,ELOVL5,HADHA,HADHB,HMGCL,MOGAT1,PEX11A,PLIN5,RETSAT,SLC27A1	 
RORA	 	ligand-dependent nuclear receptor	 	0.234	2.09E-14	6.50E-12	ABCG5,ACOT2,Aox3,APOA4,AQP8,ATP1B1,BHMT,CCL3L3,CISH,Cyp2c54 (includes others),Cyp2c70,CYP2C8,Cyp3a25 (includes others),CYP4A11,Cyp4a14,CYP8B1,FDFT1,G6PC,GADD45B,GSTA5,GSTM2,HPGD,HSD3B1,Hsd3b4 (includes others),IGFBP1,IL18,IL1B,Keg1,LRTM1,NSDHL,POR,RDH16,S100A8,SDR9C7,SELENBP1,SLC16A10,SLC25A24,SLC30A10,SLC41A2,Slco1a1,TNF,UBE2O	 
SCAP	 	other	Inhibited	-3.862	1.32E-12	3.64E-10	ABCA3,ACLY,ACSS2,ATF3,ATF5,CYP51A1,DHCR7,EHHADH,FADS2,FDFT1,FDPS,Gstm6,HES6,HMGCS1,ID1,IDI1,INSIG1,LSS,MSMO1,MVK,NSDHL,PCSK9,PMVK,RDH11,SC5D,SREBF1,TM7SF2,TRIB3	 
TP53	 	transcription regulator	Inhibited	-3.253	1.04E-11	2.58E-09	ABCA2,ABCB4,ACADL,ACADM,ACAT1,ACLY,ACO2,ACOT11,ACSF3,ACSM5,ACSS2,AIFM2,ALDOA,AMOTL2,ASL,ATF3,BCL6B,BTG1,CALCRL,CASP3,CCL3L3,CDKN1A,CELSR1,CKB,CLPP,CNN2,COL3A1,COX10,CPT1A,CXCL2,CXCL3,Cyb5r3,CYP1A1,DAPK1,DDIT4,DHFR,DHRS9,DLST,DNAJB2,DNAJC11,DNM1L,DUSP1,ECH1,EPHA2,F2R,FBLN2,FERMT2,FH,FKBP5,FOXA2,FZD6,GADD45A,GADD45B,GATA4,GATM,GNA14,GPR12,GSTM5,HADHA,HADHB,Hmgn2 (includes others),HMOX1,HSP90AA1,HSP90AB1,HSPB1,HSPD1,HSPH1,HYAL1,ID1,ID2,ID3,IDH1,IER3,IER5,IGFBP2,IL1A,IL1B,INMT,IRF5,ITGB5,KDR,KPNA2,LDHA,LIMA1,LRAT,MAFB,MDH2,MRPS2,MYC,MYL9,NDUFA8,NDUFAF1,NDUFS6,NID2,NLRP12,NPNT,NR6A1,OGDH,PDSS2,PFKFB1,PGLYRP2,PIK3R1,PLK2,Pmaip1,PML,PPM1F,PRNP,PSMD1,PSMD12,PSMD3,PTCH1,RAP2A,RBM3,RGS12,Rpl34 (includes others),SAMM50,SCPEP1,SEC61B,SERPINE1,SESN2,SGPL1,SH3BGRL2,SLC2A9,SLC6A6,SQOR,SREBF1,STIP1,SUCLG1,TACC2,TFRC,TIMM10,TKT,Tmsb4x (includes others),TNF,TNFSF10,TOMM40,TRIB3,TSKU,TXN2,TXNRD3,ULK2	304 (16)
CLPP	0.444	peptidase	Inhibited	-4.379	4.01E-11	9.05E-09	ACADL,ACADM,ACO2,ALDOA,CRAT,DECR1,DLST,ECH1,ECI1,ENO1,ETFB,FH,HADHA,HADHB,HSPD1,IDH3A,MDH2,OGDH,PC,PHB2,SAMM50,SUCLG1,TKT	 
NCOA2	 	transcription regulator	Inhibited	-3.270	8.76E-11	1.81E-08	ADH4,APOA4,BMP2,CCL3L3,CIITA,Cxcl11,CYP17A1,Cyp2c40 (includes others),CYP51A1,CYP7A1,G6PC,GLO1,HCAR2,HMGCS1,IDI1,IL1A,IL1B,IP6K2,IRF1,KLF4,LECT2,LIPC,NSDHL,PGM3,PPP1R3B,SLC3A1,SREBF1,TNF,TRIM5	209 (11)
SMARCB1	 	transcription regulator	 	0.538	1.31E-10	2.50E-08	ACAT1,BAG3,BNIP3,BTG1,CA8,CDKN1A,Cyp2c54 (includes others),Cyp2c70,CYP2C8,Cyp2d9 (includes others),Cyp3a25 (includes others),CYP4A11,Cyp4a14,CYP8B1,DAPK1,DSC2,F11,G6PC,GJB2,HES1,IGFBP2,IL1A,PC,PFKFB1	 
