© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.45E00	1.14E-01	NaN	AKT1,CCND1,CEBPA,CEBPB,CEBPD,CSF1,CSNK1D,ELP1,FOS,FZD5,FZD7,ICAM1,IL1B,IL6R,IRAK3,IRAK4,LRP5,LRP6,LTBR,MAP2K6,NFKBIA,PDGFA,PROK1,SOCS3,STAT3,Tlr12,TLR2,TLR5,TLR8,TNF,TNFRSF1A,TNFRSF1B,VCAM1,VEGFA,WNT5B	
GADD45 Signaling	4.23E00	3.5E-01	NaN	CCND1,CCNE1,CDK2,CDKN1A,GADD45A,GADD45G,TP53	
Circadian Rhythm Signaling	3.6E00	2.5E-01	NaN	ARNTL,BHLHE40,CLOCK,CRY1,CSNK1D,PER1,PER2,PER3	
Adipogenesis pathway	3.55E00	1.37E-01	NaN	AKT1,ARNTL,CEBPA,CEBPB,CEBPD,CLOCK,FOXO1,FZD5,FZD7,KAT2B,LPIN1,PER2,SREBF1,STAT5B,TNF,TNFRSF1A,TP53,XBP1	
Acute Phase Response Signaling	3.29E00	1.21E-01	0.728	AKT1,APCS,CEBPB,ELP1,FGB,FOS,HP,IL1B,IL6R,MAP2K6,NFKBIA,SAA1,SAA2-SAA4,Saa3,SERPINE1,SOCS3,STAT3,TAB1,TNF,TNFRSF1A,TNFRSF1B	
Insulin Receptor Signaling	3.27E00	1.3E-01	-0.243	AKT1,EIF2B2,EIF2B3,EIF2B4,FOXO1,FOXO4,INPP5F,IRS2,OCRL,PPP1CA,PPP1R10,PPP1R11,PTPN1,RAPGEF1,SGK1,SOCS3,SYNJ2,TSC1	
Toll-like Receptor Signaling	3.19E00	1.62E-01	1.134	FOS,IL1B,IRAK3,IRAK4,MAP2K6,NFKBIA,TAB1,TAB2,TLR2,TLR5,TLR8,TNF	
Role of PKR in Interferon Induction and Antiviral Response	2.96E00	1.3E-01	1.387	DDX58,ELP1,FOS,HSPA14,IL1B,MAP2K6,MARCO,NFKBIA,NLRP12,PDGFA,STAT2,STAT3,TAB2,TNF,TNFRSF1A,TP53	
p38 MAPK Signaling	2.94E00	1.34E-01	0.535	DUSP1,DUSP10,H3-3A/H3-3B,IL1B,IRAK3,IRAK4,MAP2K6,MEF2D,MKNK2,TAB1,TAB2,TNF,TNFRSF1A,TNFRSF1B,TP53	
TR/RXR Activation	2.89E00	1.5E-01	NaN	AKT1,BCL3,CYP7A1,FASN,G6PC,HP,KLF9,NCOR2,PCK1,PPARGC1A,SCARB1,SREBF1	
TREM1 Signaling	2.81E00	1.55E-01	1.508	AKT1,ICAM1,IL1B,NLRP12,STAT3,STAT5B,Tlr12,TLR2,TLR5,TLR8,TNF	
Estrogen-mediated S-phase Entry	2.63E00	2.31E-01	1.633	CCND1,CCNE1,CDK2,CDKN1A,E2F2,ESR1	
