"","x"
"1","Arl5b"
"2","Jmy"
"3","Foxo3"
"4","Rubcnl"
"5","Slc2a1"
"6","Phf11c"
"7","Setdb2"
"8","Cntrl"
"9","Tmcc3"
"10","Gm15690"
"11","Slc7a2"
"12","Sds"
"13","Tmc7"
"14","Cxcr4"
"15","Ppargc1a"
"16","Trp53inp1"
"17","Lpin2"
"18","Tat"
"19","Rabgef1"
"20","Klhl21"
"21","Clk1"
"22","Arl4a"
"23","C9orf72"
"24","Ccng2"
"25","Pptc7"
"26","Mylip"
"27","Pttg1ip"
"28","Clec1b"
"29","Cebpd"
"30","Lgals4"
"31","E230001N04Rik"
"32","Gm11832"
"33","Krt23"
"34","Cfap43"
"35","Slc25a34"
"36","Mthfr"
"37","Gal3st1"
"38","Grpel2"
"39","Slc25a51"
"40","Glt1d1"
"41","Zmym5"
"42","Per1"
"43","Tmem100"
"44","Fgf21"
"45","Nr4a1"
"46","Gm43314"
"47","Rasd1"
"48","Rad54b"
"49","1700017B05Rik"
"50","Mfsd2a"
"51","Klf3"
"52","Lipg"
"53","1810055G02Rik"
"54","Cln8"
"55","Npc1"
"56","Tob2"
"57","Slc25a47"
"58","Gadd45g"
"59","Itch"
"60","Sh2d2a"
"61","Baiap2l1"
"62","Zbtb16"
"63","Rhobtb1"
"64","Dpy19l1"
"65","Pole4"
"66","Vcam1"
"67","Gm16573"
"68","Serpinb1a"
"69","Susd6"
"70","St3gal5"
"71","Wbp1l"
"72","Pqbp1"
"73","Trp53bp2"
"74","Plk3"
"75","Rgs1"
"76","Slc25a32"
"77","Pim3"
"78","Kcnn2"
"79","N4bp2"
"80","Gm12226"
"81","Oser1"
"82","Nr1i2"
"83","AA986860"
"84","Mknk2"
"85","Hykk"
"86","Slc35e2"
"87","Fam13a"
"88","Cerk"
"89","Smim13"
"90","Il6ra"
"91","Ell2"
"92","Lpin1"
"93","Kcnj16"
"94","Zhx3"
"95","Ccn2"
"96","Foxo1"
"97","Hal"
"98","Gm14026"
"99","Arhgap19"
"100","Sik3"
"101","Myom3"
"102","Gm5424"
"103","Acmsd"
"104","Lrrc8c"
"105","Esrrg"
"106","Ctla2b"
"107","Ermap"
"108","Btg2"
"109","Pgrmc2"
"110","Mrc1"
"111","Unc93a2"
"112","Errfi1"
"113","Rbl2"
"114","Heca"
"115","Pxmp4"
"116","AU022252"
"117","Lgalsl"
"118","Arntl"
"119","B3gat3"
"120","Tent5c"
"121","Mlxip"
"122","Zfand6"
"123","Pbld1"
"124","Bmp1"
"125","Gm4952"
"126","Tgoln1"
"127","Fam210b"
"128","Calcoco1"
"129","Gm2814"
"130","Tymp"
"131","Clpx"
"132","Denn2b"
"133","4833411C07Rik"
"134","Gm37981"
"135","Stag2"
"136","Klf9"
"137","Gldc"
"138","Tmem106b"
"139","Cisd1"
"140","Etnppl"
"141","Lmbr1l"
"142","Gm13142"
"143","Omd"
"144","Sult1d1"
"145","Car14"
"146","Cry1"
"147","Nfe2l1"
"148","Clcc1"
"149","Gata6os"
"150","Arhgef37"
"151","Myo1b"
"152","Wdfy3"
"153","Rnf217"
"154","Lcor"
"155","Prdm2"
"156","Zbtb2"
"157","Rnf214"
"158","4930562C15Rik"
"159","Ceacam2"
"160","Ceacam1"
"161","Slc25a46"
"162","Abca6"
"163","Igfbp1"
"164","Ppp1r3g"
"165","Zkscan14"
"166","Irs2"
"167","Mllt10"
"168","Irf2bp2"
"169","Mgmt"
"170","Klhl24"
"171","Crebrf"
"172","Sult1b1"
"173","Gm16984"
"174","Gm47113"
"175","Slc12a3"
"176","Jmjd1c"
"177","Gm37728"
"178","Amy2a3"
"179","Amy2a4"
"180","Amy2a5"
"181","Amy2a2"
"182","Pnlip"
"183","Cel"
"184","Cyp4b1"
"185",NA
"186","Rgs16"
"187","6030400A10Rik"
"188","Rwdd3"
"189","Nr2c2"
"190","1600014C10Rik"
"191","Gm43611"
"192","Sdr39u1"
"193","Rsrp1"
"194","Arrdc2"
"195","Ip6k2"
"196","Cep85l"
"197","Gm14519"
"198","Slc8b1"
"199","Slc38a2"
"200","Cebpb"
"201","4933431G14Rik"
"202","Dnmbp"
"203","G6pc"
"204","Abtb1"
"205","Ddit4"
"206","Cpeb2"
"207","Irag1"
"208","Khnyn"
"209","Clec1a"
"210","Gm17251"
"211","Rfx4"
"212","Angptl4"
"213","Btg1"
"214","Gm14473"
"215","Ap3s1-ps2"
"216","Ap3s1-ps1"
"217","Mtmr3"
"218","Lrp6"
"219","Dclre1b"
"220","Arhgap18"
"221","Tmem218"
"222","Lsm10"
"223","Gm9791"
"224","Zfp286os"
"225","Cyp2b13"
"226","Gm30784"
"227","Cyp2b10"
"228","Gramd1b"
"229","Itgb8"
"230","Gm38832"
"231","4732465J04Rik"
"232","Sumo3"
"233","1110020A21Rik"
"234","Dag1"
"235","Man1a2"
"236","Slc35g1"
"237","Sec14l2"
"238","Ric8b"
"239","Tlr8"
"240","Cadm1"
"241","Atat1"
"242","4932438A13Rik"
"243","Tab2"
"244","Kansl3"
"245","Gm15889"
"246","Ppp1r3c"
"247","Peli1"
"248","Btbd7"
"249","Coq10a"
"250","Cavin2"
"251","N4bp2l1"
"252","Gpatch8"
"253","Lrtm1"
"254","Map2k6"
"255","Ncam1"
"256","Dlg3"
"257","Zfyve1"
"258","Pum2"
"259","Fnip1"
"260","Epc2"
"261","Ubxn7"
"262","Gng2"
"263","Pigu"
"264","Ubn1"
"265","Mbtd1"
"266","Tbc1d20"
"267","Sesn1"
"268","Gm44421"
"269","Slc19a2"
"270","Fbxl3"
"271","Cbfa2t2"
"272","Plekhf1"
"273","Mxd4"
"274","Srsf4"
"275","Aldh8a1"
"276","Dhfr"
"277","Reck"
"278","Celsr1"
"279","Tfdp2"
"280","Arhgap24"
"281","Ms4a8a"
"282","Mreg"
"283",NA
"284","Nfib"
"285","Aagab"
"286","Gm12929"
"287","H2az2"
"288","Sigmar1"
"289","Mbd5"
"290","Sft2d2"
"291","Septin4"
"292","Glt28d2"
"293","Leprot"
"294","Gm16124"
"295","Stab1"
"296","Slc43a2"
"297","Lnx2"
"298","Sox5"
"299","Cdin1"
"300","Phf7"
"301","Gm8615"
"302","Ppp2r1b"
"303","Pcolce2"
"304","Gm8388"
"305","Dsc2"
"306","Dyrk2"
"307","Fbxl20"
"308","Gm8849"
"309","Lurap1l"
"310","Rora"
"311","Ipmk"
"312","Csnk1d"
"313","Actr6"
"314","Chp2"
"315","Nedd1"
"316","Bag4"
"317","Tsc22d2"
"318","Herpud1"
"319","Syde2"
"320","Desi2"
"321","Mtfr1"
"322","Tesk1"
"323","Anapc16"
"324","Brd1"
"325","Spring1"
"326","Apoa5"
"327","Cyth1"
"328","Adcy1"
"329","Ctdspl2"
"330","Tec"
"331","Klf15"
"332","Sephs2"
"333","Zbtb44"
"334","Dctpp1"
"335","Prpsap1"
"336","Pcf11"
"337","Ormdl3"
"338","Ifi207"
"339","Mef2d"
"340","Yod1"
"341","Stard5"
"342","Lpcat3"
"343","Ankrd33b"
"344","Tcim"
"345","Gna12"
"346","Ranbp10"
"347","Mcc"
"348","Tsc22d3"
"349","Arhgef3"
"350","Rnasel"
"351","Fam117b"
"352","Slc29a1"
"353","Tnfrsf1b"
"354","Adcy9"
"355","Slc45a3"
"356","Sgk1"
"357","Cpsf4l"
"358","Fpgs"
"359","Bok"
"360","Ppm1k"
"361","Anp32a"
"362","Anp32-ps"
"363","Cnnm3"
"364","Rnf169"
"365","Dqx1"
"366","Tsc1"
"367","Sgk2"
"368","Slc47a1"
"369","Evi5"
"370","Scarb1"
"371","Gpld1"
"372","Pcmtd2"
"373","Msh3"
"374","Erlin2"
"375","D230025D16Rik"
"376","Selenoi"
"377","Elovl3"
"378","Slc49a4"
"379","Gucd1"
"380","Coq8a"
"381","Psen2"
"382","Avl9"
"383","Ube2h"
"384",NA
"385","Stat5b"
"386","Pitx3"
"387","Trmt9b"
"388","Gm37174"
"389","Tjp3"
"390","Npas2"
"391","Gm2962"
"392","Enpp3"
"393","Syne1"
"394","Klf12"
"395","Gm16072"
"396","Ldlrad4"
"397","Rgs4"
"398","Magix"
"399","C130074G19Rik"
"400","Tmub2"
"401","Fbxo21"
"402","Fam160a1"
"403","Gm2996"
"404","Rnf125"
"405","Reep4"
"406","Asap2"
"407","Ppp1ca"
"408","Rnf144a"
"409","9030616G12Rik"
"410","Wrnip1"
"411","Tm4sf4"
"412","Ypel3"
"413","Fam20a"
"414","Wdr19"
"415","Capn5"
"416","Rgs2"
"417","Bcl6"
"418","Nr0b2"
"419","Plcb2"
"420","Zfp740"
"421","Zfp949"
"422","Gm44851"
"423","Mindy2"
"424","Frmd4b"
"425","4930523C07Rik"
"426","Slc25a25"
"427","Gm45453"
"428","Klf11"
"429","Adgrg6"
"430","Zfp521"
"431","Gm20319"
"432","Ccdc28a"
"433","Rin2"
"434","Oxld1"
"435","Gm47718"
"436","AW554918"
"437","Cdk17"
"438","Ccnf"
"439","Spata2l"
"440","Ccdc30"
"441","Fgfrl1"
"442","Cirbp"
"443","Tm4sf1"
"444","Gm16023"
"445","Atg101"
"446","Ocln"
"447","Erbb3"
"448","Ptger2"
"449","Zfp281"
"450","Tcp11l2"
"451","Zfp385b"
"452","2210016L21Rik"
"453","Ift46"
"454","Bank1"
"455","Arrdc1"
"456","Trib3"
"457","Gnpda1"
"458","Il22ra1"
"459","Oaf"
"460","Kcnk5"
"461","Zfp592"
"462",NA
"463","Ago4"
"464","Tle1"
"465","Armc9"
"466","Gucy1a1"
"467","Chd6"
"468","Haus4"
"469","Rab43"
"470","Pxdn"
"471","Pla2r1"
"472","Ckb"
"473","Gm12892"
"474","Tasor"
"475","Kat2b"
"476","Ntn4"
"477","Zdhhc20"
"478","Ncapg2"
"479","Pithd1"
"480","Kctd12b"
"481","Gm15708"
"482","Abtb2"
"483","Gm5403"
"484","Gm45253"
"485","Pcdh17"
"486","Mycl"
"487","Sesn2"
"488","Dusp1"
"489","Slc15a4"
"490","Pck1"
"491","Gm20609"
"492","Pdk4"
"493","Rasgef1b"
"494","Mafb"
"495","Tob1"
"496","Taok3"
"497","A930033H14Rik"
"498","Gm26616"
"499","Mat2b"
"500","Tmem63a"
"501","Chd2"
"502","Taf8"
"503","Arhgap25"
"504","Glce"
"505","Vasn"
"506","Tbc1d30"
"507","A130010J15Rik"
"508","Capn10"
"509","Trbc1"
"510","Gm9828"
"511","Hhex"
"512","Flrt2"
"513","Cpm"
"514","Znrf3"
"515","Prkca"
"516","Fbxw7"
"517","Med18"
"518","Zfp963"
"519","Brd3"
"520","Pth1r"
"521","Pcgf3"
"522","Gm32511"
"523","Cfap20"
"524","Ssh2"
"525","Zfp512b"
"526","Irs1"
"527","Olfm3"
"528","Sec22c"
"529","Bbof1"
"530","Dcdc2a"
"531","Amy2a1"
"532","Amy2b"
"533","Rnd1"
"534","Pnrc1"
"535","Nfkbia"
"536","Rabgap1"
"537","Odf3b"
"538","Gm7666"
"539","Lonrf3"
"540","Chka"
"541","Crip2"
"542","Pnkd"
"543","Kansl1l"
"544","Mmd"
"545","Rabgap1l"
"546","Camk1d"
"547","P2ry12"
"548","Gabarapl1"
"549","Ndrg1"
"550","Lipa"
"551","Spg20"
"552","Gm2033"
"553","Gm13306"
"554","Tbxas1"
"555","Wsb1"
"556","Sash1"
"557","Slc9a9"
"558","Cpeb4"
"559","Nfil3"
"560","Ypel2"
"561","Dapk1"
"562","Eml3"
"563","Gm37336"
"564","Sgsm2"
"565","Gm6162"
"566","Rnf111"
"567","Rad21"
"568","Olfr2"
"569","Pank3"
"570","Mier1"
"571","Hipk1"
"572","Pkn2"
"573","Ahctf1"
"574","Prrg2"
"575","Psd3"
"576","Rbm33"
"577","Tesk2"
"578","Rc3h1"
"579","Cables2"
"580","Foxo4"
