"","x"
"1","ENSMUSG00000034936"
"2","ENSMUSG00000023034"
"3","ENSMUSG00000047492"
"4","ENSMUSG00000032515"
"5","ENSMUSG00000030762"
"6","ENSMUSG00000037797"
"7","ENSMUSG00000047822"
"8","ENSMUSG00000029135"
"9","ENSMUSG00000048489"
"10","ENSMUSG00000031258"
"11","ENSMUSG00000070044"
"12","ENSMUSG00000003134"
"13","ENSMUSG00000028680"
"14","ENSMUSG00000038092"
"15","ENSMUSG00000030364"
"16","ENSMUSG00000027397"
"17","ENSMUSG00000025936"
"18","ENSMUSG00000037411"
"19","ENSMUSG00000026944"
"20","ENSMUSG00000095186"
"21","ENSMUSG00000020715"
"22","ENSMUSG00000096519"
"23","ENSMUSG00000075014"
"24","ENSMUSG00000095388"
"25","ENSMUSG00000095143"
"26","ENSMUSG00000097312"
"27","ENSMUSG00000075015"
"28","ENSMUSG00000027171"
"29","ENSMUSG00000035621"
"30","ENSMUSG00000053113"
"31","ENSMUSG00000003032"
"32","ENSMUSG00000096201"
"33","ENSMUSG00000023031"
"34","ENSMUSG00000030849"
"35","ENSMUSG00000090817"
"36","ENSMUSG00000024335"
"37","ENSMUSG00000030946"
"38","ENSMUSG00000044948"
"39","ENSMUSG00000091028"
"40","ENSMUSG00000034591"
"41","ENSMUSG00000095891"
"42","ENSMUSG00000030096"
"43","ENSMUSG00000029771"
"44","ENSMUSG00000097554"
"45","ENSMUSG00000053581"
"46","ENSMUSG00000020261"
"47","ENSMUSG00000008384"
"48","ENSMUSG00000029167"
"49","ENSMUSG00000029650"
"50","ENSMUSG00000090698"
"51","ENSMUSG00000060613"
"52","ENSMUSG00000102269"
"53","ENSMUSG00000081067"
"54","ENSMUSG00000072964"
"55","ENSMUSG00000022091"
"56","ENSMUSG00000027883"
"57","ENSMUSG00000024236"
"58","ENSMUSG00000062410"
"59","ENSMUSG00000095547"
"60","ENSMUSG00000024131"
"61","ENSMUSG00000063830"
"62","ENSMUSG00000024042"
"63","ENSMUSG00000035372"
"64","ENSMUSG00000033295"
"65","ENSMUSG00000039114"
"66","ENSMUSG00000032501"
