© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Hepatic Fibrosis Signaling Pathway	2.9E00	1.48E-02	0.000	Calm1 (includes others),FGF2,FOS,IRS2,KDR,SERPINE1	
RANK Signaling in Osteoclasts	2.63E00	3.37E-02	NaN	Calm1 (includes others),FOS,MAP3K6	
Autophagy	2.48E00	1.94E-02	0.000	Calm1 (includes others),FGF2,FOS,IRS2	
Inhibition of Angiogenesis by TSP1	2.36E00	6.06E-02	NaN	KDR,THBS1	
Sulfate Activation for Sulfonation	2.23E00	5E-01	NaN	PAPSS2	
iNOS Signaling	2.08E00	4.35E-02	NaN	Calm1 (includes others),FOS	
PI3K Signaling in B Lymphocytes	2.07E00	2.13E-02	NaN	Calm1 (includes others),FOS,IRS2	
Corticotropin Releasing Hormone Signaling	2.04E00	2.07E-02	NaN	Calm1 (includes others),CRHR2,FOS	
CD27 Signaling in Lymphocytes	1.92E00	3.57E-02	NaN	FOS,MAP3K6	
SPINK1 General Cancer Pathway	1.92E00	3.57E-02	NaN	Mt1,Mt2	
Thrombopoietin Signaling	1.82E00	3.17E-02	NaN	FOS,IRS2	
GNRH Signaling	1.77E00	1.65E-02	NaN	Calm1 (includes others),FOS,MAP3K6	
UDP-N-acetyl-D-glucosamine Biosynthesis II	1.75E00	1.67E-01	NaN	GFPT2	
Ceramide Degradation	1.75E00	1.67E-01	NaN	ACER2	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.74E00	1.6E-02	NaN	FGF2,KDR,SERPINE1	
GDNF Family Ligand-Receptor Interactions	1.68E00	2.67E-02	NaN	FOS,IRS2	
Chemokine Signaling	1.68E00	2.67E-02	NaN	Calm1 (includes others),FOS	
HIF1α Signaling	1.66E00	1.49E-02	NaN	FGF2,KDR,SERPINE1	
Thyroid Cancer Signaling	1.66E00	2.6E-02	NaN	FOS,IRS2	
Sphingosine and Sphingosine-1-phosphate Metabolism	1.63E00	1.25E-01	NaN	ACER2	
VEGF Family Ligand-Receptor Interactions	1.61E00	2.44E-02	NaN	FOS,KDR	
NRF2-mediated Oxidative Stress Response	1.56E00	1.37E-02	NaN	FOS,JUNB,MAFF	
TGF-β Signaling	1.5E00	2.13E-02	NaN	FOS,SERPINE1	
IGF-1 Signaling	1.43E00	1.96E-02	NaN	FOS,IRS2	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	1.42E00	1.21E-02	NaN	Calm1 (includes others),FOS,LILRB4	
Acyl-CoA Hydrolysis	1.42E00	7.69E-02	NaN	THEM4	
Bladder Cancer Signaling	1.35E00	1.77E-02	NaN	FGF2,THBS1	
Opioid Signaling Pathway	1.35E00	1.13E-02	NaN	Calm1 (includes others),FOS,FOSB	
Nitric Oxide Signaling in the Cardiovascular System	1.34E00	1.74E-02	NaN	Calm1 (includes others),KDR	
HGF Signaling	1.25E00	1.55E-02	NaN	FOS,MAP3K6	
STAT3 Pathway	1.21E00	1.48E-02	NaN	FGF2,KDR	
Apelin Endothelial Signaling Pathway	1.2E00	1.46E-02	NaN	Calm1 (includes others),FOS	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.2E00	9.74E-03	NaN	Calm1 (includes others),FGF2,FOS	
IL-17A Signaling in Gastric Cells	1.18E00	4.35E-02	NaN	FOS	
Apelin Cardiac Fibroblast Signaling Pathway	1.18E00	4.35E-02	NaN	SERPINE1	
eNOS Signaling	1.12E00	1.31E-02	NaN	Calm1 (includes others),KDR	
HMGB1 Signaling	1.11E00	1.29E-02	NaN	FOS,SERPINE1	
Erythropoietin Signaling Pathway	1.06E00	1.2E-02	NaN	FOS,IRS2	
TNFR2 Signaling	1.04E00	3.12E-02	NaN	FOS	
Role of JAK2 in Hormone-like Cytokine Signaling	1.04E00	3.12E-02	NaN	IRS2	
