© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
PRKAG3	-1.104	other	 	 	1.59E-05	1.64E-02	FTL,GADD45G,GOLM1,IGFBP5,NOS1,SLC7A2,XPR1	 
PLIN5	 	other	Activated	2.414	2.90E-05	1.64E-02	HMOX1,MAFK,NFE2L2,POR,PPARG,PPARGC1B	 
PDE6B	 	enzyme	 	 	1.07E-04	3.53E-02	CAT,HMOX1,NFE2L2	 
TLR3	 	transmembrane receptor	 	0.952	1.25E-04	3.53E-02	Apol11b (includes others),CSRP3,HMOX1,IER3,IFI16,LILRB4,NOS2,RARB,SERPINE1,SOCS3	 
TTN	 	kinase	 	 	1.70E-04	3.53E-02	ANKRD2,Calm1 (includes others),Pln	 
ALOX15	 	enzyme	 	1.954	1.89E-04	3.53E-02	FOSL1,HMOX1,NOS2,PPARG	 
STRA6	 	transporter	 	 	2.18E-04	3.53E-02	PPARG,SOCS3	 
CASR	 	G-protein coupled receptor	 	0.000	3.14E-04	4.07E-02	CISH,Clec2d (includes others),GADD45G,IER3,IGFBP5,KIF22,PPARG,SOCS3	 
mir-223	 	microRNA	 	0.563	3.33E-04	4.07E-02	AMPD3,Clec2d (includes others),FNIP2,FOXO1,IFI16,Mt2,TLR4,TOB1	 
CREM	 	transcription regulator	 	1.408	4.05E-04	4.07E-02	CIART,CSRNP1,IRS2,Pln,SERTAD1,Sik1,THBS1	 
FOS	 	transcription regulator	 	 	4.09E-04	4.07E-02	ANKRD2,ARID3A,CADM1,CAT,HMOX1,IGFBP5,IRS2,MAFK,Mt2,NFE2L2,SEMA6D,SOCS3	 
KCNE3	 	ion channel	 	 	5.05E-04	4.07E-02	CISH,CSRNP1,FOSB,OSGIN1,PLK3,Sik1	 
ZMPSTE24	 	peptidase	 	-0.200	5.16E-04	4.07E-02	CISH,FMO2,GADD45G,IGFBP5,SOCS3	 
PTGES	 	enzyme	 	-1.131	5.43E-04	4.07E-02	NOS1,NOS2,PPARG,SERPINE1	 
IL1B	 	cytokine	 	1.629	5.62E-04	4.07E-02	CSRNP1,FGF2,FOSB,FOXO1,Mt1,Mt2,NOS2,PPARGC1B,SOCS3	 
G protein alphai	 	group	Activated	2.425	5.90E-04	4.07E-02	FOSL1,MAFF,NR4A3,SOCS3,THBS1,TUBB6	 
mir-155	 	microRNA	 	-0.760	6.32E-04	4.07E-02	HMOX1,MAF,NOS2,PPARG,SOCS3	 
METTL3	 	enzyme	 	 	6.48E-04	4.07E-02	CISH,SOCS3	 
PRKG1	 	kinase	 	 	1.03E-03	6.16E-02	NOS2,PPARG,SERPINE1	 
BACH1	1.071	transcription regulator	 	 	1.28E-03	6.60E-02	FTL,HMOX1,PPARG	 
NOX4	 	enzyme	 	 	1.28E-03	6.60E-02	HMOX1,NFE2L2,SERPINE1	 
ELK3	 	transcription regulator	 	 	1.28E-03	6.60E-02	HMOX1,SERPINE1	 
LIPE	 	enzyme	 	 	1.62E-03	7.57E-02	ANKRD2,CSRP3,ELL,PPARG,RARB,RXRG,SDC4	 
IKBKG	 	kinase	 	0.943	1.71E-03	7.57E-02	AMPD3,IFI16,Mt1,Mt2,PPARG,SOCS3,TNFAIP2	 
CREB1	 	transcription regulator	 	1.633	1.74E-03	7.57E-02	CIART,CSRNP1,IRS2,PPARG,SERTAD1,Sik1	8 (2)
MED1	 	transcription regulator	 	 	1.74E-03	7.57E-02	AURKA,FOXO1,PPARG,RARB,TET1,THBS1	 
AHR	 	ligand-dependent nuclear receptor	 	0.711	1.89E-03	7.69E-02	FMO2,FOSL1,KDSR,Mt1,Mt2,NFE2L2,PI4K2A,PPARG,SERPINE1,SLC16A10,SOCS3,THBS1	 
GNAQ	 	enzyme	Activated	2.000	1.90E-03	7.69E-02	FOSL1,MAFF,SERPINE1,SOCS3	 
CEBPB	 	transcription regulator	 	-0.105	2.22E-03	8.65E-02	APLNR,AURKA,FTL,HMGB2,IER3,IRS2,KIF22,NOS2,PCTP,PPARG,SERPINE1,TLR4,TMEM50B,ZKSCAN1	 
MEF2D	 	transcription regulator	 	1.951	2.33E-03	8.69E-02	FOSB,HMOX1,NFE2L2,SRXN1	 
JUN	 	transcription regulator	 	-0.152	2.38E-03	8.69E-02	ANKRD2,FOSL1,IFI16,KDR,MAF,NOS2,SOCS3	 
BSCL2	 	other	 	 	2.74E-03	9.62E-02	IER3,IGFBP5,NOS2,PPARG,PPARGC1B	 
CYB5R4	 	enzyme	 	 	3.03E-03	9.62E-02	HMOX1,Mt1,Mt2	 
ENG	 	transmembrane receptor	 	 	3.03E-03	9.62E-02	KDR,SERPINE1,THBS1	 
RNA polymerase II	 	complex	 	 	3.11E-03	9.62E-02	ARID5A,FOSL1,NOS2,OSGIN1,PPARG,RARB,SOCS3	 
PNPLA8	 	enzyme	 	 	3.15E-03	9.62E-02	HMOX1,Mt1	 
ACOT13	 	enzyme	 	 	3.15E-03	9.62E-02	PCTP,PPARG	 
RORC	 	ligand-dependent nuclear receptor	 	 	3.39E-03	1.01E-01	CISH,LPIN2,LRTM1,Mt1,Mt2,POR,SLC16A10	 
let-7	 	microRNA	 	 	3.50E-03	1.02E-01	IRS2,THBS1,TLR4	 
IFNAR1	 	transmembrane receptor	 	0.648	3.84E-03	1.03E-01	Apol11b (includes others),IFI16,NOS2,SERPINE1,SOCS3,THBS1,TNFAIP2	 
SQSTM1	 	transcription regulator	 	1.964	4.00E-03	1.03E-01	ARID5A,HMOX1,NFE2L2,NOS2	13 (2)
AKT1	 	kinase	 	1.000	4.00E-03	1.03E-01	HMOX1,IRS2,NFE2L2,PPARG	 
NLRP12	 	other	 	 	4.01E-03	1.03E-01	MAP3K14,NOS2,TLR4	 
ID3	 	transcription regulator	Activated	2.236	4.31E-03	1.03E-01	DUSP4,FOXO1,GADD45G,MAF,MAP3K14,NR4A3,SOCS3,SOX4	 
PROC	 	peptidase	 	 	4.36E-03	1.03E-01	NOS2,SERPINE1	 
FBXL5	 	enzyme	 	 	4.36E-03	1.03E-01	HMOX1,Mt2	 
NOX1	 	enzyme	 	 	4.36E-03	1.03E-01	CAT,HMOX1	 
PON1	 	phosphatase	 	 	4.36E-03	1.03E-01	HMOX1,PPARG	 
TLR9	 	transmembrane receptor	 	1.937	4.46E-03	1.03E-01	CISH,HMOX1,IER3,IFI16,LILRB4,NOS2,SERPINE1,SOCS3	 
GNAS	 	enzyme	 	0.762	4.70E-03	1.06E-01	MAFF,NR4A3,PPARG,THBS1	 
NR3C2	 	ligand-dependent nuclear receptor	 	 	5.08E-03	1.12E-01	CAT,DUSP4,NOS2,SERPINE1	 
LPIN1	 	phosphatase	 	 	5.16E-03	1.12E-01	LPIN2,NOS2,PPARG	 
GSK3B	 	kinase	 	-1.067	5.48E-03	1.17E-01	DNMT3A,KDR,NOS2,TET1	 
mir-221	 	microRNA	 	 	5.76E-03	1.18E-01	KDR,MAF	 
PTGDR	 	G-protein coupled receptor	 	 	5.76E-03	1.18E-01	IFI16,NOS2	 
JAK2	 	kinase	 	 	5.90E-03	1.19E-01	FOXO1,NOS2,SDC4,SOCS3	 
SOCS1	 	other	 	-1.038	6.00E-03	1.19E-01	CISH,IFI16,IRS2,NOS2,SOCS3	 
VDR	 	transcription regulator	 	0.000	6.21E-03	1.20E-01	CISH,Clec2d (includes others),GADD45G,IER3,IGFBP5,KIF22,PPARG,SOCS3	 
NCOA1	 	transcription regulator	 	0.580	6.33E-03	1.20E-01	Calm1 (includes others),FGF2,KDR,PPARG,RARB	 
DLL4	 	other	 	 	6.48E-03	1.20E-01	KDR,MAF,NOS2	 
SLC9A3	 	ion channel	 	 	6.48E-03	1.20E-01	Mt1,Mt2,NOS2	 
Gsk3	 	group	 	 	7.21E-03	1.26E-01	KDR,NOS2,PPARG	 
NCOA3	 	transcription regulator	 	 	7.21E-03	1.26E-01	FGF2,KDR,PPARG	 
TFE3	 	transcription regulator	 	 	7.21E-03	1.26E-01	IRS2,PPARG,PPARGC1B	 
MECOM	 	transcription regulator	 	 	7.33E-03	1.26E-01	GADD45G,MAP3K14	 
AEBP1	 	peptidase	 	 	7.33E-03	1.26E-01	NOS2,PPARG	 
IKBKB	 	kinase	 	0.677	7.48E-03	1.26E-01	AMPD3,HMOX1,IFI16,Mt1,Mt2,NOS2,SOCS3,TNFAIP2	 
RORA	 	ligand-dependent nuclear receptor	 	 	7.83E-03	1.30E-01	CISH,LPIN2,LRTM1,Mt1,Mt2,POR,SLC16A10	 
ASXL1	 	transcription regulator	 	 	7.99E-03	1.30E-01	PPARG,PPARGC1B,SERPINE1	 
IFN Beta	 	group	 	1.715	8.86E-03	1.30E-01	IFI16,SERPINE1,THBS1,TLR4	 
TCF12	 	transcription regulator	 	0.152	8.86E-03	1.30E-01	FOXO1,LILRB4,MAF,PPARG	 
Ccl2	 	cytokine	 	0.152	8.86E-03	1.30E-01	KDR,PPARG,SDC4,TLR4	 
CHUK	 	kinase	 	1.501	8.93E-03	1.30E-01	AMPD3,IFI16,Mt1,Mt2,SOCS3,TNFAIP2	 
ANKRD17	 	other	 	 	9.08E-03	1.30E-01	ARID5A,SOCS3	 
SRD5A2	 	enzyme	 	 	9.08E-03	1.30E-01	IRS2,Mt1	 
FBN1	 	other	 	 	9.08E-03	1.30E-01	PPARG,SERPINE1	 
KAT2B	 	transcription regulator	 	 	9.08E-03	1.30E-01	FOSB,RARB	 
NOS2	-1.890	enzyme	 	0.808	9.26E-03	1.30E-01	FOXO1,HMGB2,IRS2,KDR,LILRB4,NOS2,TNK2	 
NFE2L2	0.728	transcription regulator	Activated	2.332	9.36E-03	1.30E-01	Calm1 (includes others),CAT,FTL,HACD3,HMOX1,Mt1,NFE2L2,NOS2,PKIA,PPARG,SOCS3,SRXN1	 
DUSP1	 	phosphatase	 	-0.762	9.43E-03	1.30E-01	FOSL1,IER3,NOS2,SERPINE1	 
Gcg	 	other	 	-1.000	9.43E-03	1.30E-01	CSRP3,NCALD,SLC25A15,SLC7A2	 
BACH2	 	transcription regulator	 	0.655	9.43E-03	1.30E-01	FOXO1,HMOX1,MAF,RARB	 
EBF1	 	transcription regulator	 	0.228	9.64E-03	1.31E-01	CD160,FOXO1,PPARG,PRKAG3,SOCS3,TLR4	 
KLF11	 	transcription regulator	 	-0.447	1.04E-02	1.31E-01	PPARG,SERPINE1,SMAD3,TGIF1,THBS1	 
ID2	 	transcription regulator	 	1.633	1.06E-02	1.31E-01	DUSP4,FOXO1,GADD45G,MAF,MAP3K14,NR4A3,SOCS3,SOX4	 
CEBPD	 	transcription regulator	 	 	1.06E-02	1.31E-01	FBXW7,IGFBP5,PPARG	 
DYSF	 	other	 	 	1.08E-02	1.31E-01	FTL,HSPB1,IFI16,LILRB4,TMEM50B	 
PDE3B	 	enzyme	 	 	1.10E-02	1.31E-01	SERPINE1,SOCS3	 
ODC1	 	enzyme	 	 	1.10E-02	1.31E-01	NOS2,SERPINE1	 
TICAM1	 	other	 	1.516	1.12E-02	1.31E-01	Apol11b (includes others),IFI16,MAFF,SERPINE1,SLC7A2,SOCS3	 
