"","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000020108",-4.43409967162311,4.97743725877059,172.050090803051,2.63889141835052e-39,5.66253320549654e-35
"ENSMUSG00000002910",-3.48090139721157,5.23302503331391,159.239657208781,1.65873297319037e-36,1.77965460693595e-32
"ENSMUSG00000066170",-2.89297034578986,1.53573433133942,116.67430954077,3.38300260435532e-27,2.41974899614188e-23
"ENSMUSG00000021453",-2.48341803306821,3.98540984229789,82.5287194972059,1.04145869776096e-19,5.58690518413868e-16
"ENSMUSG00000102844",-1.93700957206805,3.48951527954771,70.6737173546684,4.21470189055052e-17,1.80878146334866e-13
"ENSMUSG00000074794",-2.32040507358141,6.37613825996586,67.0609902581162,2.63236007126805e-16,9.41419706821163e-13
"ENSMUSG00000109225",-3.14290580182449,2.95673984249511,59.1841056783105,1.43588968440219e-14,4.40161726398603e-11
"ENSMUSG00000037892",1.24922454547202,2.22255806602081,53.9960212697762,2.00896001503505e-13,5.38853300032777e-10
"ENSMUSG00000029321",-2.28845423163614,1.2558052668665,52.0895238664177,5.30270795747331e-13,1.26428341501625e-09
"ENSMUSG00000088022",-6.95705638995309,-1.28231038857259,51.5246218769644,7.0704775592501e-13,1.50011617500462e-09
"ENSMUSG00000022893",1.49938136832488,5.28273371974028,51.359718768549,7.69003538309758e-13,1.50011617500462e-09
"ENSMUSG00000028211",-1.38037799519105,5.1990723044094,50.3288454393198,1.30024204990318e-12,2.3250494922352e-09
"ENSMUSG00000111394",1.80309126596431,3.32092656067077,48.2945509370906,3.66769986592151e-12,6.05396182484182e-09
"ENSMUSG00000112734",-1.56056636734362,1.5143431530611,47.4497337550861,5.64326095069569e-12,8.64950667714487e-09
"ENSMUSG00000021701",1.57812592189052,2.0590806542796,46.9929246388073,7.12434330248676e-12,1.01916105723174e-08
"ENSMUSG00000089827",-2.37857982957516,0.593455548446714,45.5452458938449,1.49153263137183e-11,2.00033170024855e-08
"ENSMUSG00000048489",-3.98189426550578,4.54318272931817,42.9567432029042,5.59636733937465e-11,7.06393237460595e-08
"ENSMUSG00000028967",-1.16854966653215,5.36901121300237,42.0213329191364,9.02830823374452e-11,1.07627465599828e-07
"ENSMUSG00000030256",1.66398833713388,3.88122887325241,41.5197026073579,1.16688947184176e-10,1.31784812035686e-07
"ENSMUSG00000103611",-1.81341895250731,0.982051304138847,41.307055596085,1.30098453390494e-10,1.39582630642661e-07
