"","x"
"1","B3galt1"
"2","Gm42613"
"3","Gm43605"
"4","Gm47844"
"5","Timp4"
"6","Ell2"
"7","Gm29113"
"8","Wbp1l"
"9","Rbp7"
"10","Gm43800"
"11","Gm27019"
"12","Hecw2"
"13","5330406M23Rik"
"14","Gm13833"
"15","Chac1"
"16","Bet1"
"17","A1bg"
"18","Gadd45g"
"19","Gm16093"
"20","Gm44694"
"21","Asb4"
"22","Tnfrsf19"
"23","Gm37531"
"24","E230001N04Rik"
"25","Gm37195"
"26",NA
"27","Gm38034"
"28","Pfkfb3"
"29","Slc25a25"
"30","Gm13369"
"31","Klf15"
"32","Gm44187"
"33","Plekhf1"
"34","Tcim"
"35","Gm15943"
"36","Arrdc2"
"37","4930481A15Rik"
"38","Gm11827"
"39","Lrrc30"
"40","Enc1"
"41","Nfkbia"
"42","4930551O13Rik"
"43","Rhob"
"44","Dclre1b"
"45","Tiparp"
"46","4930513N20Rik"
"47","Ddit4"
"48","Gm44117"
"49","Depp1"
"50","D930015M05Rik"
"51","Fosb"
"52","Gm17034"
"53","Apold1"
"54","Gm17197"
"55","Btg2"
"56","Rnf125"
"57","Serpine1"
"58","Fos"
"59","Junb"
"60","Fosl2"
"61","Zfp36"
"62","Klhl38"
"63","Angptl4"
"64","Gm18258"
"65","Errfi1"
"66","Egfros"
"67","Arl4d"
"68","Ucp3"
"69","Arrdc3"
"70","Slc10a6"
"71","Lncpint"
"72","Trp53inp1"
"73","Ccn2"
"74","Cebpd"
"75","Zfp874a"
"76","Mcf2l"
"77","Slc43a1"
"78","Gpihbp1"
"79","Kcna5"
"80","S1pr1"
"81","Slc16a9"
"82","Acer2"
"83","Btnl9"
"84","Irs2"
"85","Sik1"
"86","Usp54"
"87","Bcl2l1"
"88","Fam214a"
"89","Fam117b"
"90","Fam107a"
"91","Tsc22d3"
"92","Cdhr3"
"93","Map3k6"
"94","Ifi207"
"95","Ifi204"
"96","Ifi211"
"97","Ifi205"
"98","Hif3a"
"99","Gm43019"
"100","Gm37728"
