"","x"
"1","ENSMUSG00000003545"
"2","ENSMUSG00000028967"
"3","ENSMUSG00000104235"
"4","ENSMUSG00000028341"
"5","ENSMUSG00000042622"
"6","ENSMUSG00000009471"
"7","ENSMUSG00000090293"
"8","ENSMUSG00000038894"
"9","ENSMUSG00000102838"
"10","ENSMUSG00000037411"
"11","ENSMUSG00000029135"
"12","ENSMUSG00000024042"
"13","ENSMUSG00000085479"
"14","ENSMUSG00000021750"
"15","ENSMUSG00000076431"
"16","ENSMUSG00000099406"
"17","ENSMUSG00000073490"
"18","ENSMUSG00000032515"
"19","ENSMUSG00000038304"
"20","ENSMUSG00000020423"
"21","ENSMUSG00000028989"
"22","ENSMUSG00000035860"
"23","ENSMUSG00000028584"
"24","ENSMUSG00000040152"
"25","ENSMUSG00000050471"
"26","ENSMUSG00000038550"
"27","ENSMUSG00000031765"
"28","ENSMUSG00000053199"
"29","ENSMUSG00000026956"
"30","ENSMUSG00000037225"
"31","ENSMUSG00000112023"
"32","ENSMUSG00000027397"
"33","ENSMUSG00000112734"
"34","ENSMUSG00000028680"
"35","ENSMUSG00000044786"
"36","ENSMUSG00000050014"
"37","ENSMUSG00000033107"
"38","ENSMUSG00000001542"
"39","ENSMUSG00000045776"
"40","ENSMUSG00000021250"
"41","ENSMUSG00000024899"
"42","ENSMUSG00000104030"
"43","ENSMUSG00000038007"
"44","ENSMUSG00000026536"
"45","ENSMUSG00000026586"
"46","ENSMUSG00000028862"
"47","ENSMUSG00000042246"
"48","ENSMUSG00000048007"
"49","ENSMUSG00000020363"
"50","ENSMUSG00000031762"
"51","ENSMUSG00000020601"
"52","ENSMUSG00000056708"
"53","ENSMUSG00000062960"
"54","ENSMUSG00000089827"
"55","ENSMUSG00000048279"
"56","ENSMUSG00000052837"
"57","ENSMUSG00000031482"
"58","ENSMUSG00000108514"
"59","ENSMUSG00000106049"
"60","ENSMUSG00000034936"
"61","ENSMUSG00000038736"
"62","ENSMUSG00000110131"
"63","ENSMUSG00000046844"
"64","ENSMUSG00000054520"
"65","ENSMUSG00000091712"
"66","ENSMUSG00000036438"
"67","ENSMUSG00000097815"
"68","ENSMUSG00000090698"
"69","ENSMUSG00000003476"
"70","ENSMUSG00000045664"
"71","ENSMUSG00000002274"
"72","ENSMUSG00000084781"
"73","ENSMUSG00000028145"
"74","ENSMUSG00000109600"
"75","ENSMUSG00000090990"
"76","ENSMUSG00000108489"
"77","ENSMUSG00000111394"
"78","ENSMUSG00000005413"
"79","ENSMUSG00000019838"
"80","ENSMUSG00000025269"
"81","ENSMUSG00000017491"
"82","ENSMUSG00000038583"
"83","ENSMUSG00000040653"
"84","ENSMUSG00000037977"
"85","ENSMUSG00000089075"
"86","ENSMUSG00000004360"
"87","ENSMUSG00000047061"
"88","ENSMUSG00000105622"
"89","ENSMUSG00000100815"
"90","ENSMUSG00000098609"
"91","ENSMUSG00000039220"
"92","ENSMUSG00000085348"
"93","ENSMUSG00000070002"
"94","ENSMUSG00000004951"
"95","ENSMUSG00000062382"
"96","ENSMUSG00000055435"
"97","ENSMUSG00000070871"
"98","ENSMUSG00000110710"
"99","ENSMUSG00000020846"
"100","ENSMUSG00000084960"
"101","ENSMUSG00000030089"
"102","ENSMUSG00000103253"
"103","ENSMUSG00000068742"
"104","ENSMUSG00000042515"
"105","ENSMUSG00000103593"
"106","ENSMUSG00000040350"
"107","ENSMUSG00000021556"
"108","ENSMUSG00000104125"
"109","ENSMUSG00000031543"
"110","ENSMUSG00000031824"
"111","ENSMUSG00000087410"
"112","ENSMUSG00000112897"
"113","ENSMUSG00000025425"
"114","ENSMUSG00000105442"
"115","ENSMUSG00000046668"
"116","ENSMUSG00000009291"
"117","ENSMUSG00000082062"
"118","ENSMUSG00000022803"
"119","ENSMUSG00000038248"
"120","ENSMUSG00000053113"
"121","ENSMUSG00000099893"
"122","ENSMUSG00000038127"
"123","ENSMUSG00000021453"
"124","ENSMUSG00000029178"
"125","ENSMUSG00000050708"
"126","ENSMUSG00000032766"
"127","ENSMUSG00000097012"
"128","ENSMUSG00000047747"
"129","ENSMUSG00000058542"
"130","ENSMUSG00000074063"
"131","ENSMUSG00000078915"
"132","ENSMUSG00000032402"
"133","ENSMUSG00000005514"
"134","ENSMUSG00000025873"
"135","ENSMUSG00000025612"
"136","ENSMUSG00000098788"
"137","ENSMUSG00000035606"
"138","ENSMUSG00000032802"
"139","ENSMUSG00000019933"
"140","ENSMUSG00000107906"
"141","ENSMUSG00000106229"
"142","ENSMUSG00000102098"
"143","ENSMUSG00000105976"
"144","ENSMUSG00000003541"
"145","ENSMUSG00000024423"
"146","ENSMUSG00000081113"
"147","ENSMUSG00000054978"
"148","ENSMUSG00000102459"
"149","ENSMUSG00000097053"
"150","ENSMUSG00000015843"
"151","ENSMUSG00000026185"
"152","ENSMUSG00000025272"
"153","ENSMUSG00000061175"
"154","ENSMUSG00000057963"
"155","ENSMUSG00000034958"
"156","ENSMUSG00000040430"
"157","ENSMUSG00000073529"
"158","ENSMUSG00000037447"
"159","ENSMUSG00000090523"
"160","ENSMUSG00000102411"
"161","ENSMUSG00000075297"
"162","ENSMUSG00000022094"
"163","ENSMUSG00000046949"
"164","ENSMUSG00000018143"
"165","ENSMUSG00000025982"
"166","ENSMUSG00000034714"
"167","ENSMUSG00000025178"
"168","ENSMUSG00000099954"
"169","ENSMUSG00000109864"
"170","ENSMUSG00000032939"
"171","ENSMUSG00000103577"
"172","ENSMUSG00000032076"
"173","ENSMUSG00000066170"
"174","ENSMUSG00000040283"
"175","ENSMUSG00000021275"
"176","ENSMUSG00000058013"
"177","ENSMUSG00000047996"
"178","ENSMUSG00000112707"
"179","ENSMUSG00000035969"
"180","ENSMUSG00000033629"
"181","ENSMUSG00000097296"
"182","ENSMUSG00000020546"
"183","ENSMUSG00000034235"
"184","ENSMUSG00000079278"
"185","ENSMUSG00000043385"
"186","ENSMUSG00000039005"
"187","ENSMUSG00000021903"
"188","ENSMUSG00000020268"
"189","ENSMUSG00000039765"
"190","ENSMUSG00000021203"
"191","ENSMUSG00000044499"
"192","ENSMUSG00000044338"
"193","ENSMUSG00000021281"
"194","ENSMUSG00000041991"
"195","ENSMUSG00000017009"
"196","ENSMUSG00000044676"
"197","ENSMUSG00000050846"
"198","ENSMUSG00000050777"
"199","ENSMUSG00000058873"
"200","ENSMUSG00000109336"
"201","ENSMUSG00000025172"
"202","ENSMUSG00000030157"
"203","ENSMUSG00000085672"
"204","ENSMUSG00000038859"
"205","ENSMUSG00000047988"
"206","ENSMUSG00000098987"
"207","ENSMUSG00000049313"
"208","ENSMUSG00000030677"
"209","ENSMUSG00000105199"
"210","ENSMUSG00000108414"
"211","ENSMUSG00000029361"
"212","ENSMUSG00000004508"
"213","ENSMUSG00000079428"
"214","ENSMUSG00000031596"
"215","ENSMUSG00000025085"
"216","ENSMUSG00000108784"
"217","ENSMUSG00000056468"
"218","ENSMUSG00000073489"
"219","ENSMUSG00000029816"
"220","ENSMUSG00000040936"
"221","ENSMUSG00000097705"
"222","ENSMUSG00000087312"
"223","ENSMUSG00000032578"
"224","ENSMUSG00000022529"
"225","ENSMUSG00000029729"
"226","ENSMUSG00000035620"
"227","ENSMUSG00000029862"
"228","ENSMUSG00000079550"
"229","ENSMUSG00000027777"
"230","ENSMUSG00000032177"
"231","ENSMUSG00000044167"
"232","ENSMUSG00000029189"
"233","ENSMUSG00000097462"
"234","ENSMUSG00000000440"
"235","ENSMUSG00000005686"
"236","ENSMUSG00000096641"
"237","ENSMUSG00000050592"
"238","ENSMUSG00000028057"
"239","ENSMUSG00000037266"
"240","ENSMUSG00000001175"
"241","ENSMUSG00000000305"
"242","ENSMUSG00000020743"
"243","ENSMUSG00000021180"
"244","ENSMUSG00000006221"
"245","ENSMUSG00000046761"
"246","ENSMUSG00000048351"
"247","ENSMUSG00000098128"
"248","ENSMUSG00000055489"
"249","ENSMUSG00000028086"
"250","ENSMUSG00000097714"
"251","ENSMUSG00000098343"
"252","ENSMUSG00000103114"
"253","ENSMUSG00000027963"
"254","ENSMUSG00000004105"
"255","ENSMUSG00000032643"
"256","ENSMUSG00000007812"
"257","ENSMUSG00000095865"
"258","ENSMUSG00000026469"
"259","ENSMUSG00000041328"
"260","ENSMUSG00000055865"
"261","ENSMUSG00000020439"
"262","ENSMUSG00000026662"
"263","ENSMUSG00000024269"
"264","ENSMUSG00000040859"
"265","ENSMUSG00000003382"
"266","ENSMUSG00000036693"
"267","ENSMUSG00000033590"
"268","ENSMUSG00000101655"
"269","ENSMUSG00000073643"
"270","ENSMUSG00000033323"
"271","ENSMUSG00000009030"
"272","ENSMUSG00000023336"
"273","ENSMUSG00000110656"
"274","ENSMUSG00000040170"
"275","ENSMUSG00000093884"
"276","ENSMUSG00000034430"
"277","ENSMUSG00000081194"
"278","ENSMUSG00000087079"
"279","ENSMUSG00000035161"
"280","ENSMUSG00000105445"
"281","ENSMUSG00000020553"
"282","ENSMUSG00000033793"
"283","ENSMUSG00000046152"
"284","ENSMUSG00000092268"
"285","ENSMUSG00000054717"
"286","ENSMUSG00000006542"
"287","ENSMUSG00000037885"
"288","ENSMUSG00000097900"
"289","ENSMUSG00000031530"
"290","ENSMUSG00000071042"
"291","ENSMUSG00000004988"
"292","ENSMUSG00000021185"
"293","ENSMUSG00000053799"
"294","ENSMUSG00000101609"
"295","ENSMUSG00000022964"
"296","ENSMUSG00000045211"
"297","ENSMUSG00000105731"
"298","ENSMUSG00000030095"
"299","ENSMUSG00000112105"
"300","ENSMUSG00000076437"
"301","ENSMUSG00000086290"
"302","ENSMUSG00000038506"
"303","ENSMUSG00000059796"
"304","ENSMUSG00000021339"
"305","ENSMUSG00000096599"
"306","ENSMUSG00000019777"
"307","ENSMUSG00000026173"
"308","ENSMUSG00000101188"
"309","ENSMUSG00000024188"
"310","ENSMUSG00000027499"
"311","ENSMUSG00000024912"
"312","ENSMUSG00000042354"
"313","ENSMUSG00000027200"
"314","ENSMUSG00000015839"
"315","ENSMUSG00000001755"
"316","ENSMUSG00000027496"
"317","ENSMUSG00000096937"
"318","ENSMUSG00000002625"
"319","ENSMUSG00000054823"
"320","ENSMUSG00000096755"
"321","ENSMUSG00000081120"
"322","ENSMUSG00000031790"
"323","ENSMUSG00000024052"
"324","ENSMUSG00000101257"
"325","ENSMUSG00000019927"
"326","ENSMUSG00000029685"
"327","ENSMUSG00000103611"
"328","ENSMUSG00000105166"
"329","ENSMUSG00000064120"
"330","ENSMUSG00000042487"
