"","x"
"1","CLPX"
"2","MLX"
"3","AP5M1"
"4","TRAPPC8"
"5","CDK14"
"6","TADA2B"
"7","AFG3L2"
"8","RMND5A"
"9","ZFYVE9"
"10","POLR2C"
"11","DIAPH1"
"12","SCYL2"
"13","PTDSS1"
"14","BCL2L13"
"15","STIM1"
"16","GUCD1"
"17","UQCRFS1"
"18","GHITM"
"19","MRPL37"
"20","TACO1"
"21","MRPL19"
"22","TMBIM6"
"23","SDHB"
"24","ETFA"
"25","RAB4A"
"26","KAT2B"
"27","NCOA4"
"28","MRPL45"
"29","TMEM184C"
"30","MRS2"
"31","NDUFS2"
"32","MDH1"
"33","ANO6"
"34","FBXW2"
"35","SCAP"
"36","CPNE3"
"37","TEX2"
"38","ILRUN"
"39","PPM1A"
"40","DCUN1D1"
"41","KIAA1958"
"42","ZDHHC3"
"43","ALS2"
"44","ARHGAP35"
