© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Ephrin Receptor Signaling	5.6E00	4.52E-02	NaN	CXCL12,EPHA3,GNA14,GNG11,GNG2,ITGA11,ITGA4,SH2D3C,WIPF1	
Phospholipase C Signaling	4.98E00	2.72E-02	NaN	ADCY4,ARHGEF3,CD3E,CD3G,GNG11,GNG2,IGHM,ITGA11,ITGA4,LCK,MEF2C,ZAP70	
Sperm Motility	4.88E00	3.69E-02	NaN	EPHA3,FLT4,GNA14,GNG11,GNG2,LCK,LTK,MATK,ZAP70	
Thrombin Signaling	4.57E00	3.9E-02	NaN	ADCY4,ARHGEF3,F2R,F2RL2,GNA14,GNG11,GNG2,MAPK12	
IL-15 Production	4.14E00	5E-02	NaN	EPHA3,FLT4,LCK,LTK,MATK,ZAP70	
G Protein Signaling Mediated by Tubby	3.95E00	9.3E-02	NaN	GNA14,GNG11,GNG2,LCK	
Leukocyte Extravasation Signaling	3.92E00	3.7E-02	NaN	CXCL12,ITGA4,JAM2,MAPK12,SPN,TIMP2,WIPF1	
Apelin Endothelial Signaling Pathway	3.8E00	4.35E-02	NaN	ADCY4,GNA14,GNG11,GNG2,MAPK12,MEF2C	
Signaling by Rho Family GTPases	3.79E00	3.02E-02	NaN	ARHGEF3,GNA14,GNG11,GNG2,ITGA11,ITGA4,MAPK12,WIPF1	
Primary Immunodeficiency Signaling	3.76E00	8.33E-02	NaN	CD3E,IGHM,LCK,ZAP70	
Tec Kinase Signaling	3.66E00	2.56E-02	NaN	CD3E,CD3G,GNA14,GNG11,GNG2,ITGA11,ITGA4,LCK,MAPK12	
IL-1 Signaling	3.65E00	5.32E-02	NaN	ADCY4,GNA14,GNG11,GNG2,MAPK12	
Role of NFAT in Regulation of the Immune Response	3.58E00	2.5E-02	NaN	CD3E,CD3G,GNA14,GNG11,GNG2,IGHM,LCK,MEF2C,ZAP70	
CXCR4 Signaling	3.4E00	3.66E-02	NaN	ADCY4,CXCL12,GNA14,GNG11,GNG2,MAPK12	
Ephrin B Signaling	3.08E00	5.56E-02	NaN	CXCL12,GNA14,GNG11,GNG2	
Natural Killer Cell Signaling	3.03E00	3.11E-02	NaN	COL1A2,LCK,MAPK12,NCR3,WIPF1,ZAP70	
Gα12/13 Signaling	2.96E00	3.76E-02	NaN	F2R,F2RL2,LPAR6,MAPK12,MEF2C	
SAPK/JNK Signaling	2.9E00	2.51E-02	NaN	CD3E,CD3G,GNG11,GNG2,LCK,MAP4K1,MAPK12	
RhoGDI Signaling	2.82E00	2.83E-02	NaN	ARHGEF3,GNA14,GNG11,GNG2,ITGA11,ITGA4	
Endocannabinoid Neuronal Synapse Pathway	2.78E00	3.42E-02	NaN	ADCY4,GNA14,GNG11,GNG2,MAPK12	
Axonal Guidance Signaling	2.65E00	1.84E-02	NaN	CXCL12,EPHA3,GNA14,GNG11,GNG2,ITGA11,ITGA4,ROBO1,WIPF1	
CREB Signaling in Neurons	2.62E00	1.69E-02	NaN	ADCY4,CYSLTR2,F2R,F2RL2,FLT4,GNA14,GNG11,GNG2,LPAR6,S1PR4	
Apelin Muscle Signaling Pathway	2.56E00	6.25E-02	NaN	GNA14,GNG11,GNG2	
α-Adrenergic Signaling	2.49E00	3.85E-02	NaN	ADCY4,GNA14,GNG11,GNG2	
Cardiac β-adrenergic Signaling	2.46E00	2.89E-02	NaN	ADCY4,ATP2A3,GNA14,GNG11,GNG2	
Cardiac Hypertrophy Signaling	2.44E00	2.37E-02	NaN	ADCY4,GNA14,GNG11,GNG2,MAPK12,MEF2C	
