"","x"
"1","PLXDC2"
"2","CHRD"
"3","SENP7"
"4","SCAPER"
"5","LRRC55"
"6","OLFM1"
"7","CALCRL"
"8","GPR182"
"9","HECW2"
"10","SCN4A"
"11","ARHGAP33"
"12","CD34"
"13","ENSG00000284669"
"14","SNORD14E"
"15","TNFSF9"
"16","RN7SL472P"
"17","ENSG00000286360"
"18","FTCD-AS1"
"19","SYNE1"
"20","RFX3"
"21","AKR1C8P"
"22","DNAH1"
"23","CRYZL2P-SEC16B"
"24","ENSG00000258457"
"25","HSP90B2P"
"26","APBB3"
"27","MYH3"
"28","IRF1-AS1"
"29","NRARP"
"30","DHDH"
"31","BEND4"
"32","RNF122"
"33","ENSG00000276718"
"34","GATA3"
"35","HOTAIRM1"
"36","MXRA5"
"37","SLFN11"
"38","SLC2A3"
"39","GRAMD1B"
"40","TBX21"
"41","GNLY"
"42","CLN3"
"43","KCNQ1OT1"
"44","LBH"
"45","ENSG00000279283"
"46","RCN3"
"47","ANKRD36"
"48","EGLN3"
"49","HOXA1"
"50","MUSK"
"51","ENSG00000271366"
"52","CACNB1"
"53","SNAI1"
"54","MALAT1"
"55","ENSG00000250461"
"56","GATA2"
"57","EGR3"
"58","SMAD7"
"59","ZNF135"
"60","SLFN12"
"61","CBX2"
"62","ZNF677"
"63","ZNF70"
"64","ENSG00000280063"
"65","C8orf58"
"66","LZTS2"
"67","ANKRD13D"
"68","HIC1"
"69","SLC25A36"
"70","NOD1"
"71","PHIP"
"72","CEP290"
"73","CRACR2B"
"74","TNXB"
"75","HOXA-AS2"
"76","IFITM10"
"77","ARHGEF17"
"78","FBN1"
"79","KIF17"
"80","FMO2"
"81","STAB2"
"82","ZNF160"
"83","NOTCH4"
"84","MYCT1"
"85","LINC01197"
"86","SEMA6A"
"87","C11orf21"
"88","USHBP1"
"89","AMHR2"
"90","ENSG00000288669"
"91","CAVIN2"
"92","PABPC4L"
"93","BCL11A"
"94","TRERF1"
"95","NLRP1"
"96","HOXB3"
"97","HOXB2"
"98","PPBP"
"99","ALMS1P1"
"100","ZMAT1"
"101","LPAR6"
"102","DNASE1"
"103","PDCL3P4"
"104","RGL3"
"105","ARHGAP15"
"106","LRRC17"
"107","DACT1"
"108","FGF23"
"109","COL16A1"
"110","ZNF793"
"111","HOXB4"
"112","FAM110D"
"113","FAM171A2"
"114","MAPK12"
"115","ZNF521"
"116","ZNF93"
"117","CC2D2A"
"118","NHS"
"119","CYS1"
"120","EPOR"
"121","SULT1C4"
"122","CCDC191"
"123","FAM228B"
"124","LINC01144"
"125","AATK"
"126","TBX2-AS1"
"127","STPG3-AS1"
"128","C1QTNF7"
"129","LINC00899"
"130","LINC00174"
"131","STOX2"
"132","A1BG"
"133","SLC29A2"
"134","LINC02484"
"135","DOC2A"
"136","GABRE"
"137","LRRTM1"
"138","FCGR2C"
"139","TRAF3IP3"
"140","ENSG00000215068"
"141","GVINP1"
"142","NLRC3"
"143","ENSG00000256433"
"144","ENSG00000280128"
"145","LINC00865"
"146","ENSG00000279759"
"147","GARS1-DT"
"148","TTLL3"
"149","LINC00894"
"150","CFAP44"
"151","ATG16L2"
"152","ENSG00000262881"
"153","ENSG00000274979"
"154","ATP6V0D1-DT"
"155","IFT172"
"156","SPEF2"
"157","SCAI"
"158","MAF"
"159","KANTR"
"160","HNF1A-AS1"
"161","CFAP57"
"162","ZNF738"
"163","ODF3L2"
"164","HMGCLL1"
"165","VIPR1-AS1"
"166","GAL3ST4"
"167","HHIP-AS1"
"168","CCDC3"
"169","CD248"
"170","CXCL12"
"171","BMP5"
"172","LRAT"
"173","ZNF25"
"174","ENSG00000215246"
"175","ENSG00000236754"
"176","ZNF423"
"177","NALCN"
"178","HHIP"
"179","ST6GAL2"
"180","HAND2-AS1"
"181","MIR503HG"
"182","RUNX1T1"
"183","HAND2"
"184","EFS"
"185","MXRA8"
"186","LINC00924"
"187","C2orf88"
"188","KLF8"
"189","SLC14A1"
"190","RFTN2"
"191","CTTNBP2"
"192","ANKRD55"
"193","RPS3AP54"
"194","TMEM200C"
"195","C9orf147"
"196","MYL3"
"197","ENSG00000232611"
"198","AMIGO2"
"199","DENND2A"
"200","AFAP1L2"
"201","CPT1C"
"202","PPP1R14A"
"203","SYNPO2"
"204","NR2F2-AS1"
"205","RASGRP2"
"206","MSRB3"
"207","ENSG00000232855"
