"","x"
"1","LONRF1"
"2","DDX3X"
"3","ZNF106"
"4","SAMD4B"
"5","STK40"
"6","PI4KB"
"7","IRGQ"
"8","BAZ2A"
"9","IL6ST"
"10","G3BP2"
"11","MBNL1"
"12","RELA"
"13","CSNK1A1"
"14","ETF1"
"15","COPS2"
"16","VAPA"
"17","URGCP"
"18","YTHDF2"
"19","TRAF4"
"20","TYW3"
"21","TXNL4B"
"22","FADD"
"23","ZDHHC18"
"24","ZNF143"
"25","TAF2"
"26","NUP54"
"27","POLR1G"
"28","RPF2"
"29","MAK16"
"30","NOL11"
"31","UTP15"
"32","NOC3L"
"33","NIFK"
"34","UTP14A"
"35","ISG20L2"
"36","QTRT2"
"37","GNL2"
"38","WDR36"
"39","PSMA6"
"40","PGAM5"
"41","LSG1"
"42","SRPRB"
"43","DOHH"
"44","SRP72"
"45","GOSR2"
"46","BUB3"
"47","EIF6"
"48","SNU13"
"49","BCCIP"
"50","PTRH2"
"51","DDX18"
"52","FAM135A"
"53","ITGAV"
"54","CAMSAP2"
"55","CASP4"
"56","LGALS8"
"57","ZSCAN25"
"58","DYRK2"
"59","NUTM2A-AS1"
"60","LINC02693"
"61","CD2BP2"
"62","COX19"
"63","S100A10"
"64","PURB"
"65","BMP2K"
"66","MOAP1"
"67","CRY1"
"68","JOSD1"
"69","TMEM11"
"70","ATG16L1"
"71","DPM1"
"72","CTNNAL1"
"73","CNTF"
"74","CPNE8"
"75","NCR3LG1"
"76","ENSG00000260196"
"77","ETNK1"
"78","FASTKD5"
"79","EXTL3"
"80","EXOC5"
"81","SLMAP"
"82","ROCK2"
"83","CEP350"
"84","ATP13A3"
"85","RIF1"
"86","UBE3A"
"87","CDK12"
"88","SEC24A"
"89","AP1G1"
"90","FAM91A1"
"91","ZNF710"
"92","DMXL1"
"93","PPP4R2"
"94","ABHD13"
"95","HMOX2"
"96","RAP1BL"
"97","ATL3"
"98","ELMO2"
"99","ZNF777"
"100","TRIP4"
"101","BRAP"
"102","STX12"
"103","RNF6"
"104","SMCR8"
"105","SMIM15"
"106","C12orf29"
"107","MOCS3"
"108","THUMPD3"
"109","SUPV3L1"
"110","AAR2"
"111","TRIM15"
"112","RBBP5"
"113","ALKBH1"
"114","PLAA"
"115","STRAP"
"116","HCCS"
"117","ANKRD13C"
"118","ABT1"
"119","ZNHIT2"
"120","WDR44"
"121","TOMM34"
"122","SDAD1"
"123","NOL10"
"124","NIP7"
"125","GTPBP4"
"126","DDX21"
"127","NOLC1"
"128","POLR3C"
"129","RSL1D1"
"130","CEBPZ"
"131","SDHAF2"
"132","ENSG00000253882"
"133","ANKRD53"
"134","LARP4"
"135","TOX4"
"136","ACSL3"
"137","TCAF2"
"138","WBP2"
"139","ABL1"
"140","NPC1"
"141","GRPEL1"
"142","SPAG1"
"143","ELOC"
"144","IPMK"
"145","TNKS2"
