"","fat","viability","timepoint","replicate","identifier","Group"
"FV11","F","V",1,1,"X1","FV1"
"FV12","F","V",1,2,"X24","FV1"
"FV13","F","V",1,3,"X13","FV1"
"FV21","F","V",2,1,"X3","FV2"
"FV22","F","V",2,2,"X2","FV2"
"FV23","F","V",2,3,"X14","FV2"
"FV31","F","V",3,1,"X8","FV3"
"FV32","F","V",3,2,"X15","FV3"
"FV33","F","V",3,3,"X27","FV3"
"FN11","F","N",1,1,"X5","FN1"
"FN12","F","N",1,2,"X4","FN1"
"FN13","F","N",1,3,"X34","FN1"
"FN21","F","N",2,1,"X16","FN2"
"FN22","F","N",2,2,"X6","FN2"
"FN23","F","N",2,3,"X35","FN2"
"FN31","F","N",3,1,"X29","FN3"
"FN32","F","N",3,2,"X25","FN3"
"LV11","L","V",1,1,"X18","LV1"
"LV12","L","V",1,2,"X10","LV1"
"LV13","L","V",1,3,"X17","LV1"
"LV21","L","V",2,1,"X30","LV2"
"LV22","L","V",2,2,"X12","LV2"
"LV23","L","V",2,3,"X22","LV2"
"LV31","L","V",3,1,"X23","LV3"
"LV32","L","V",3,2,"X7","LV3"
"LV33","L","V",3,3,"X31","LV3"
"LN11","L","N",1,1,"X32","LN1"
"LN12","L","N",1,2,"X21","LN1"
"LN13","L","N",1,3,"X19","LN1"
"LN21","L","N",2,1,"X26","LN2"
"LN22","L","N",2,2,"X11","LN2"
"LN23","L","N",2,3,"X20","LN2"
"LN31","L","N",3,1,"X28","LN3"
"LN32","L","N",3,2,"X33","LN3"
"LN33","L","N",3,3,"X9","LN3"
