"","fat","viability","timepoint","replicate","identifier","prepost","Group"
"FV11","F","V","pre","one","X1","pre","FV1"
"FV12","F","V","pre","two","X24","pre","FV1"
"FV13","F","V","pre","three","X13","pre","FV1"
"FV21","F","V","three","one","X3","post","FV2"
"FV22","F","V","three","two","X2","post","FV2"
"FV23","F","V","three","three","X14","post","FV2"
"FV31","F","V","six","one","X8","post","FV3"
"FV32","F","V","six","two","X15","post","FV3"
"FV33","F","V","six","three","X27","post","FV3"
"FN11","F","N","pre","one","X5","pre","FN1"
"FN12","F","N","pre","two","X4","pre","FN1"
"FN13","F","N","pre","three","X34","pre","FN1"
"FN21","F","N","three","one","X16","post","FN2"
"FN22","F","N","three","two","X6","post","FN2"
"FN23","F","N","three","three","X35","post","FN2"
"FN31","F","N","six","one","X29","post","FN3"
"FN32","F","N","six","two","X25","post","FN3"
"LV11","L","V","pre","one","X18","pre","LV1"
"LV12","L","V","pre","two","X10","pre","LV1"
"LV13","L","V","pre","three","X17","pre","LV1"
"LV21","L","V","three","one","X30","post","LV2"
"LV22","L","V","three","two","X12","post","LV2"
"LV23","L","V","three","three","X22","post","LV2"
"LV31","L","V","six","one","X23","post","LV3"
"LV32","L","V","six","two","X7","post","LV3"
"LV33","L","V","six","three","X31","post","LV3"
"LN11","L","N","pre","one","X32","pre","LN1"
"LN12","L","N","pre","two","X21","pre","LN1"
"LN13","L","N","pre","three","X19","pre","LN1"
"LN21","L","N","three","one","X26","post","LN2"
"LN22","L","N","three","two","X11","post","LN2"
"LN23","L","N","three","three","X20","post","LN2"
"LN31","L","N","six","one","X28","post","LN3"
"LN32","L","N","six","two","X33","post","LN3"
"LN33","L","N","six","three","X9","post","LN3"
