"","x"
"1","cDNA, FLJ94440, highly similar to Homo sapiens chaperonin containing TCP1, subunit 6A (zeta 1)(CCT6A), mRNA"
"2","Ras-related protein Rab-18"
"3","Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin)"
"4","Vacuolar protein sorting-associated protein 35 (hVPS35) (Maternal-embryonic 3) (Vesicle protein sorting 35)"
"5","[F-actin]-monooxygenase MICAL2 (EC 1.14.13.225) (Molecule interacting with CasL protein 2) (MICAL-2)"
"6","Tubulin beta-2A chain (Tubulin beta class IIa)"
"7","Tubulin beta chain"
"8","Tubulin beta-6 chain (Tubulin beta class V)"
"9","Adenylyl cyclase-associated protein 1"
"10","Caprin-1 (Cell cycle-associated protein 1) (Cytoplasmic activation- and proliferation-associated protein 1) (GPI-anchored membrane protein 1) (GPI-anchored protein p137) (GPI-p137) (p137GPI) (Membrane component chromosome 11 surface marker 1) (RNA granule protein 105)"
"11","40S ribosomal protein S6"
"12","Poly(rC)-binding protein 3"
"13","Poly(rC)-binding protein 2 (Alpha-CP2) (Heterogeneous nuclear ribonucleoprotein E2) (hnRNP E2)"
"14","Epididymis secretory protein Li 85 (Poly(RC) binding protein 1) (cDNA, FLJ94964, highly similar to Homo sapiens poly(rC) binding protein 1 (PCBP1), mRNA)"
"15","Clathrin heavy chain"
"16","Protein transport protein Sec31A"
"17","Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110)"
"18","Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB) (Serine/threonine protein kinase IKBKB) (EC 2.7.11.1)"
"19","Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)"
"20","Kinesin light chain"
"21","cDNA FLJ76257, highly similar to Homo sapiens DIP13 beta (DIP13B), mRNA"
"22","Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) (HEP-COP) (HEPCOP) [Cleaved into: Xenin (Xenopsin-related peptide); Proxenin]"
"23","Glutathione S-transferase (EC 2.5.1.18)"
"24","Glutathione S-transferase Mu 3 (EC 2.5.1.18) (GST class-mu 3) (GSTM3-3) (hGSTM3-3)"
"25","Tubulin beta chain"
"26","Ribosomal protein L27a"
"27","N-acetylglutamate synthase, mitochondrial (Fragment)"
"28","Histone H4"
"29","GTP-binding nuclear protein Ran (Androgen receptor-associated protein 24) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)"
"30","T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta) (Chaperonin containing T-complex polypeptide 1 subunit 8) (Renal carcinoma antigen NY-REN-15)"
"31","E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (600 kDa retinoblastoma protein-associated factor) (N-recognin-4) (RING-type E3 ubiquitin transferase UBR4) (Retinoblastoma-associated factor of 600 kDa) (RBAF600) (p600) (Zinc finger UBR1-type protein 1)"
"32","Fatty acid synthase (EC 2.3.1.85) (Type I fatty acid synthase) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]"
"33","cDNA FLJ51284, highly similar to Adapter-relatedprotein complex 3 mu-1 subunit"
"34","Leucine-rich repeat-containing protein 59 (Ribosome-binding protein p34) (p34) [Cleaved into: Leucine-rich repeat-containing protein 59, N-terminally processed]"
"35","Far upstream element-binding protein 1 (FBP) (FUSE-binding protein 1) (DNA helicase V) (hDH V)"
"36","Mannose-1-phosphate guanyltransferase alpha (GDP-mannose pyrophosphorylase A) (GMPP-alpha) (GTP-mannose-1-phosphate guanylyltransferase alpha)"
"37","cDNA FLJ56054, highly similar to 26S proteasome non-ATPase regulatory subunit 3"
"38","Protein S100 (S100 calcium-binding protein)"
"39","Mitogen-activated protein kinase (EC 2.7.11.24)"
"40","Mitogen-activated protein kinase (EC 2.7.11.24)"
"41","RNA-binding protein 14 (Paraspeckle protein 2) (PSP2) (RNA-binding motif protein 14) (RRM-containing coactivator activator/modulator) (Synaptotagmin-interacting protein) (SYT-interacting protein)"
"42","ER membrane protein complex subunit 8 (Fragment)"
"43","Heterogeneous nuclear ribonucleoprotein F, isoform CRA_a"
"44","AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin)"
"45","T-complex protein 1 subunit delta (TCP-1-delta) (CCT-delta) (Stimulator of TAR RNA-binding)"
"46","LIM and senescent cell antigen-like-containing domain protein 1 (Particularly interesting new Cys-His protein 1) (PINCH-1) (Renal carcinoma antigen NY-REN-48)"
"47","Serine/threonine-protein kinase Nek9 (EC 2.7.11.1) (Nercc1 kinase) (Never in mitosis A-related kinase 9) (NimA-related protein kinase 9) (NimA-related kinase 8) (Nek8)"
"48","Ubiquitin-activating enzyme E1 (EC 6.2.1.45)"
"49","Four and a half LIM domains protein 2 (FHL-2) (LIM domain protein DRAL) (Skeletal muscle LIM-protein 3) (SLIM-3)"
"50","Coatomer subunit gamma-1 (Gamma-1-coat protein) (Gamma-1-COP)"
"51","40S ribosomal protein S11 (Small ribosomal subunit protein uS17)"
"52","Signal recognition particle subunit SRP72"
"53","Heat shock 70 kDa protein 4"
"54","Basic leucine zipper and W2 domain-containing protein 2"
"55","BZW1 protein variant (Fragment)"
"56","Septin"
"57","Dihydropyrimidinase-related protein 2 (DRP-2) (Collapsin response mediator protein 2) (CRMP-2) (N2A3) (Unc-33-like phosphoprotein 2) (ULIP-2)"
"58","Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin)"
"59","Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)"
"60","NADH-cytochrome b5 reductase (EC 1.6.2.2)"
"61","Nucleophosmin"
"62","Beta actin variant (Fragment)"
"63","26S proteasome regulatory subunit 10B"
"64","Cofilin, non-muscle isoform (Cofilin-1)"
"65","Proteasome 26S ATPase subunit 1 variant (Fragment)"
"66","26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG)"
"67","UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)"
"68","Ras-related protein Rab-5C (EC 3.6.5.2) (L1880) (RAB5L)"
"69","Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)"
"70","Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)"
"71","Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4)"
"72","Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP) (p102)"
"73","ATP-binding cassette sub-family F member 3"
"74","Phosphatidylinositol-3-phosphatase SAC1"
"75","Constitutive coactivator of peroxisome proliferator-activated receptor gamma"
"76","Ubiquitin carboxyl-terminal hydrolase isozyme L1 (UCH-L1) (EC 3.4.19.12) (Neuron cytoplasmic protein 9.5) (PGP 9.5) (PGP9.5) (Ubiquitin thioesterase L1)"
"77","Peroxiredoxin-1 (EC 1.11.1.24) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2) (Thioredoxin-dependent peroxiredoxin 1)"
"78","Elongation factor 1-alpha (Fragment)"
"79","Coatomer subunit gamma-2 (Gamma-2-coat protein) (Gamma-2-COP)"
"80","Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95)"
"81","Poly(rC)-binding protein 2 (Alpha-CP2) (Heterogeneous nuclear ribonucleoprotein E2) (hnRNP E2)"
"82","Talin-1"
"83","Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)"
"84","Nucleolar protein 6"
"85","ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)"
"86","Translation initiation factor eIF-2B subunit delta"
"87","Pyruvate kinase (EC 2.7.1.40)"
"88","Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58)"
"89","Ribonuclease inhibitor (Placental ribonuclease inhibitor) (Placental RNase inhibitor) (Ribonuclease/angiogenin inhibitor 1) (RAI)"
"90","Heterogeneous nuclear ribonucleoprotein K"
"91","SAR1a gene homolog 2 variant (Fragment)"
"92","Glycogen [starch] synthase (EC 2.4.1.11)"
"93","cDNA, FLJ92106, highly similar to Homo sapiens adaptor-related protein complex 3, sigma 1 subunit(AP3S1), mRNA"
"94","DnaJ homolog subfamily C member 13 (Required for receptor-mediated endocytosis 8) (RME-8)"
"95","Cytoskeleton-associated protein 4, isoform CRA_c"
"96","Neuroblast differentiation-associated protein AHNAK (Desmoyokin)"
"97","Eukaryotic translation initiation factor 3 subunit L (eIF3l) (Eukaryotic translation initiation factor 3 subunit 6-interacting protein) (Eukaryotic translation initiation factor 3 subunit E-interacting protein)"
"98","cAMP-dependent protein kinase type I-alpha regulatory subunit (Tissue-specific extinguisher 1) (TSE1)"
"99","Coatomer subunit delta"
"100","Metavinculin (Vinculin)"
"101","Talin-2"
"102","Talin-1"
"103","Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1)"
"104","Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein [Includes: dTTP/UTP pyrophosphatase (dTTPase/UTPase) (EC 3.6.1.9) (Nucleoside triphosphate pyrophosphatase) (Nucleotide pyrophosphatase) (Nucleotide PPase); N-acetylserotonin O-methyltransferase-like protein (ASMTL) (EC 2.1.1.-)]"
"105","Ubiquitin carboxyl-terminal hydrolase 15 (EC 3.4.19.12) (Deubiquitinating enzyme 15) (Ubiquitin thioesterase 15) (Ubiquitin-specific-processing protease 15) (Unph-2) (Unph4)"
"106","Elongation factor 2 (EF-2)"
"107","Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)"
"108","Ribosome-binding protein 1 (180 kDa ribosome receptor homolog) (RRp) (ES/130-related protein) (Ribosome receptor protein)"
"109","Staphylococcal nuclease domain-containing protein (EC 3.1.31.1)"
"110","Copine III, isoform CRA_a"
"111","DEAD box protein 5 (EC 3.6.4.13) (Probable ATP-dependent RNA helicase DDX5)"
"112","Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17) (DEAD box protein p72) (DEAD box protein p82) (RNA-dependent helicase p72)"
"113","Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein)"
"114","G1 to S phase transition 1"
"115","RuvB-like 2 (EC 3.6.4.12) (48 kDa TATA box-binding protein-interacting protein) (48 kDa TBP-interacting protein) (51 kDa erythrocyte cytosolic protein) (ECP-51) (INO80 complex subunit J) (Repressing pontin 52) (Reptin 52) (TIP49b) (TIP60-associated protein 54-beta) (TAP54-beta)"
"116","Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75)"
"117","cDNA FLJ59571, highly similar to Eukaryotic translation initiation factor 4gamma 2"
"118","Deleted."
"119","Septin 9, isoform CRA_a"
"120","Thrombospondin type-1 domain-containing protein 4 (A disintegrin and metalloproteinase with thrombospondin motifs-like protein 6) (ADAMTS-like protein 6) (ADAMTSL-6)"
"121","Epididymis luminal protein 33 (Epididymis secretory sperm binding protein) (Epididymis secretory sperm binding protein Li 72p) (Heat shock 70kDa protein 8, isoform CRA_a)"
"122","Heat shock cognate 71 kDa protein (Fragment)"
"123","HECT-type E3 ubiquitin transferase (EC 2.3.2.26)"
"124","Latent-transforming growth factor beta-binding protein 4 (LTBP-4)"
"125","Triosephosphate isomerase (EC 5.3.1.1)"
"126","Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)"
"127","Putative heat shock protein HSP 90-beta 2 (Heat shock protein 90-beta b) (Heat shock protein 90Bb)"
"128","NADPH:adrenodoxin oxidoreductase, mitochondrial (EC 1.18.1.6)"
"129","Endophilin-B1 (Bax-interacting factor 1) (Bif-1) (SH3 domain-containing GRB2-like protein B1)"
"130","Palladin (SIH002) (Sarcoma antigen NY-SAR-77)"
"131","60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B) (Large ribosomal subunit protein uL3)"
"132","Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS) (Cell proliferation-inducing gene 40 protein)"
"133","Protein unc-45 homolog A (Unc-45A) (GCUNC-45) (Smooth muscle cell-associated protein 1) (SMAP-1)"
"134","Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)"
"135","Peroxisome proliferator activated receptor interacting complex protein"
"136","Acetyl-CoA C-myristoyltransferase (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.176) (Non-specific lipid-transfer protein) (Propanoyl-CoA C-acyltransferase) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (SCP-chi) (Sterol carrier protein 2) (Sterol carrier protein X)"
"137","Interferon, gamma-inducible protein 16, isoform CRA_a (Interferon, gamma-inducible protein 16, isoform CRA_b)"
"138","UMP-CMP kinase (EC 2.7.4.14) (Deoxycytidylate kinase) (CK) (dCMP kinase) (Nucleoside-diphosphate kinase) (EC 2.7.4.6) (Uridine monophosphate/cytidine monophosphate kinase) (UMP/CMP kinase) (UMP/CMPK)"
"139","3'-phosphoadenosine-5'-phosphosulfate synthase (EC 2.7.1.25) (EC 2.7.7.4) (APS kinase) (ATP-sulfurylase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylyl-sulfate kinase) (Adenylylsulfate 3'-phosphotransferase) (Sulfate adenylate transferase) (Sulfate adenylyltransferase)"
"140","LIM and SH3 domain protein 1"
"141","Peroxiredoxin-1 (EC 1.11.1.24) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2) (Thioredoxin-dependent peroxiredoxin 1)"
"142","Epididymis secretory sperm binding protein Li 2a (Peroxiredoxin 2, isoform CRA_b)"
"143","Bifunctional purine biosynthesis protein ATIC (AICAR transformylase/inosine monophosphate cyclohydrolase) (ATIC) [Cleaved into: Bifunctional purine biosynthesis protein ATIC, N-terminally processed] [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR formyltransferase) (AICAR transformylase); Inosine 5'-monophosphate cyclohydrolase (IMP cyclohydrolase) (EC 3.5.4.10) (IMP synthase) (Inosinicase)]"
"144","DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)"
"145","C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) (Epididymis secretory sperm binding protein) [Cleaved into: C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed] [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]"
"146","Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)"
"147","Chloride intracellular channel protein (Fragment)"
"148","Annexin"
"149","Actin, aortic smooth muscle (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]"
"150","Actin, alpha skeletal muscle (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]"
"151","Beta actin variant (Fragment)"
"152","POTE ankyrin domain family member J"
"153","Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35)"
"154","Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IRS) (IleRS)"
"155","40S ribosomal protein S27-like (Small ribosomal subunit protein eS27-like)"
"156","cDNA FLJ56285, highly similar to ADP-ribosylation factor-like protein 8B"
"157","Enoyl-CoA hydratase (EC 4.2.1.17)"
"158","Atlastin-3"
"159","Atlastin-3 (EC 3.6.5.-)"
"160","Rap1 GTPase-GDP dissociation stimulator 1 (Exchange factor smgGDS) (SMG GDS protein) (SMG P21 stimulatory GDP/GTP exchange protein)"
"161","26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5) (Fragment)"
"162","Myosin-10 (Cellular myosin heavy chain, type B) (Myosin heavy chain 10) (Myosin heavy chain, non-muscle IIb) (Non-muscle myosin heavy chain B) (NMMHC-B) (Non-muscle myosin heavy chain IIb) (NMMHC II-b) (NMMHC-IIB)"
"163","Myosin, heavy polypeptide 9, non-muscle, isoform CRA_a"
"164","Myosin-14 (Myosin heavy chain 14) (Myosin heavy chain, non-muscle IIc) (Non-muscle myosin heavy chain IIc) (NMHC II-C)"
