"","original.FBgn","updated.FBgn","Entrez.NCBI.gene.ID","Symbol","KEGG.ID","cluster","mt","Chromosome","Location"
"FBgn0000003","FBgn0000003","FBgn0000003","3771948","7SLRNA:CR32864","dme:Dmel_CR32864",0,0,"3R",-6820132
"FBgn0000008","FBgn0000008","FBgn0000008","43852","a","dme:Dmel_CG6741",5,0,"2R",22137432
"FBgn0000014","FBgn0000014","FBgn0000014","42037","abd-A","dme:Dmel_CG10325",0,0,"3R",-16807626
"FBgn0000015","FBgn0000015","FBgn0000015","47763","Abd-B","dme:Dmel_CG11648",3,0,"3R",-16927666
"FBgn0000017","FBgn0000017","FBgn0000017","45821","Abl","dme:Dmel_CG4032",5,0,"3L",-16622369
"FBgn0000018","FBgn0000018","FBgn0000018","44793","abo","dme:Dmel_CG6093",0,0,"2L",-10973442
"FBgn0000024","FBgn0000024","FBgn0000024","41625","Ace","dme:Dmel_CG17907",0,0,"3R",-13228241
"FBgn0000028","FBgn0000028","FBgn0000028","47080","acj6","dme:Dmel_CG9151",0,0,"X",-15352356
"FBgn0000032","FBgn0000032","FBgn0000032","48445","Acph-1","dme:Dmel_CG7899",0,0,"3R",-29991143
"FBgn0000036","FBgn0000036","FBgn0000036","42918","nAChRalpha1","dme:Dmel_CG5610",0,0,"3R",-24401096
"FBgn0000037","FBgn0000037","FBgn0000037","37892","mAChR-A","dme:Dmel_CG4356",0,0,"2R",-24378629
"FBgn0000038","FBgn0000038","FBgn0000038","38545","nAChRbeta1","dme:Dmel_CG11348",1,0,"3L",4429348
"FBgn0000042","FBgn0000042","FBgn0000042","31521","Act5C","dme:Dmel_CG4027",3,0,"X",5901981
"FBgn0000043","FBgn0000043","FBgn0000043","35526","Act42A","dme:Dmel_CG12051",4,0,"2R",-6013909
"FBgn0000044","FBgn0000044","FBgn0000044","37368","Act57B","dme:Dmel_CG10067",3,0,"2R",20944020
"FBgn0000045","FBgn0000045","FBgn0000045","40444","Act79B","dme:Dmel_CG7478",5,0,"3L",21985209
"FBgn0000046","FBgn0000046","FBgn0000046","48632","Act87E","dme:Dmel_CG18290",5,0,"3R",13425982
"FBgn0000047","FBgn0000047","FBgn0000047","41885","Act88F","dme:Dmel_CG5178",2,0,"3R",15439968
"FBgn0000052","FBgn0000052","FBgn0000052","33847","ade2","dme:Dmel_CG9127",2,0,"2L",-6041180
"FBgn0000053","FBgn0000053","FBgn0000053","33986","ade3","dme:Dmel_CG31628",2,0,"2L",-7014860
"FBgn0267654","FBgn0267654","FBgn0283501","26067432","CR46115","dme:Dmel_CR46115",0,0,"3R",30697379
"FBgn0000055","FBgn0000055","FBgn0000055","3771877","Adh","dme:Dmel_CG3481",2,0,"2L",14616266
"FBgn0000057","FBgn0000057","FBgn0000057","37073","adp","dme:Dmel_CG5124",0,0,"2R",18151703
"FBgn0000061","FBgn0000061","FBgn0000061","33208","al","dme:Dmel_CG3935",0,0,"2L",378111
"FBgn0000063","FBgn0000063","FBgn0000063","42126","Mps1","dme:Dmel_CG7643",1,0,"3R",17671270
"FBgn0000064","FBgn0000064","FBgn0000064","43183","Ald","dme:Dmel_CG6058",2,0,"3R",-26255965
"FBgn0000071","FBgn0000071","FBgn0000071","40831","Ama","dme:Dmel_CG2198",0,0,"3R",6762592
"FBgn0000075","FBgn0000075","FBgn0000075","35188","amd","dme:Dmel_CG10501",0,0,"2L",19110153
"FBgn0000077","FBgn0000077","FBgn0000077","43869","amx","dme:Dmel_CG12127",5,0,"X",-9245914
"FBgn0000078","FBgn0000078","FBgn0000078","36932","Amy-d","dme:Dmel_CG17876",0,0,"2R",17124763
"FBgn0000079","FBgn0000079","FBgn0000079","47764","Amy-p","dme:Dmel_CG18730",0,0,"2R",-17118708
"FBgn0000083","FBgn0000083","FBgn0000083","42492","AnxB9","dme:Dmel_CG5730",5,0,"3R",21065240
"FBgn0000084","FBgn0000084","FBgn0000084","33019","AnxB10","dme:Dmel_CG9579",5,0,"X",-20171444
"FBgn0000092","FBgn0000092","FBgn0000092","31252","CG2650","dme:Dmel_CG2650",0,0,"X",-2692731
"FBgn0000094","FBgn0000094","FBgn0000094","43595","Anp","dme:Dmel_CG1361",5,0,"3R",30209947
